case_id,stage,condition_id,condition_label,range_class,rationale,speed_rpm,iq_ref_A,id_ref_A,Vdc_V,controller_Lq_factor,steps,Jd_limit_A2,Jq_limit_A2,Jd_error_limit_A,Jq_error_limit_A,refinement_basis,is_default,completed_steps,id_steady_bias_A,iq_steady_bias_A,rmse_d_A,rmse_q_A,id_ripple_pp_A,iq_ripple_pp_A,id_peak_error_A,iq_peak_error_A,phase_a_thd,phase_b_thd,phase_c_thd,three_phase_thd_mean,thd_valid,thd_status,thd_window_cycles,thd_window_samples,thd_fundamental_rms_A,source_phase_a_thd,mean_torque_Nm,mean_torque_full_Nm,torque_peak_to_peak_Nm,torque_std_Nm,torque_std_full_Nm,torque_ripple_ratio,torque_ripple_status,total_switching_actions,average_switching_frequency_Hz,single_vector_ratio,double_vector_ratio,three_vector_ratio,zero_vector_dwell_ratio,mean_control_compute_time_s,max_control_compute_time_s,compute_deadline_miss_count,actual_Jd_mean_A2,actual_Jq_mean_A2,actual_Jd_max_A2,actual_Jq_max_A2,Jd_violation_ratio,Jq_violation_ratio,Jd_satisfaction_ratio,Jq_satisfaction_ratio,both_constraints_satisfied_ratio,mean_rectangle_area_V2,min_rectangle_corner_hex_margin_V,mean_rectangle_corner_inside_fraction,mean_voltage_utilization,max_voltage_utilization,voltage_saturation_ratio,illegal_command_count,mean_voltage_realization_error_V,max_voltage_realization_error_V,negative_duration_count,duration_sum_anomaly_count,nan_count,inf_count,current_limit_exceed_count,early_termination,diverged,simulation_stable,case_success,failure_identifier,failure_message,current_ripple_norm_A,numerically_feasible,unsaturated_feasible,core_feasible,pareto,pareto_three_objective,mode_change_L1_vs_default
A_C01_001,coarse_scan,C01,low_speed_light_load,reasonable_extension_range,"100 rpm paper/source speed; interpolated light load",100,2.5,0,48,1,1551,0.01,0,0.1,0,coarse amplitude grid,0,1551,-0.0052848014634881,-3.58273422745749e-05,0.0370062937624129,0.0259222999490619,0.196517509450034,0.0516398448786743,0.0994120972841036,0.66094209764132,0.0144662559733583,0.0148065238323476,0.0144078429755656,0.0145602075937572,1,a=valid known-frequency integer-cycle FFT; b=valid known-frequency integer-cycle FFT; c=valid known-frequency integer-cycle FFT,3,1500,1.76639488369821,0.206428913045657,1.21507773167379,1.19326661083552,0.0267386804757888,0.000949479636864764,0.136046871141302,0.0220057365704132,valid,5732,12318.9340210617,0.000644745325596389,0.286911669890393,0.71244358478401,0.873869205803864,0.000242905415860735,0.0408181,1312,0.00137331872648567,5.22574371887289e-16,0.00999223300387192,1.54489162411517e-15,0,0,1,1,1,0,16.9529732785257,1,0.126130794196137,0.387355519119456,0,0,2.72471950597001e-16,1.83102671940889e-15,0,0,0,0,0,0,0,1,1,,,0.203189087058183,1,1,1,1,1,1.42359767891683
A_C01_002,coarse_scan,C01,low_speed_light_load,reasonable_extension_range,"100 rpm paper/source speed; interpolated light load",100,2.5,0,48,1,1551,0.01,0.0225,0.1,0.15,coarse amplitude grid,0,1551,-0.00733712702568323,-0.0305461177002773,0.0508172281304555,0.0674804312668782,0.200711359512824,0.283494969855249,0.100983238338846,0.66094209764132,0.0286536264111587,0.0287540510804069,0.029902264202086,0.0291033138978839,1,a=valid known-frequency integer-cycle FFT; b=valid known-frequency integer-cycle FFT; c=valid known-frequency integer-cycle FFT,3,1500,1.74576123189081,0.207882808974396,1.20027791649586,1.17846507341698,0.136695413100576,0.0251936760814065,0.138146643983426,0.113886468476943,valid,5428,11665.592091124,0.000644745325596389,0.477756286266925,0.521598968407479,0.873895518907907,0.000228590135396518,0.0085027,1466,0.00257309038964039,0.00369149071140896,0.00999100190223933,0.0224675142939576,0,0,1,1,1,5.76000000000001,15.1538614698674,1,0.126104481092093,0.387355519119456,0,0,3.27213191264915e-16,1.98602732259782e-15,0,0,0,0,0,0,0,1,1,,,0.347353491087559,1,1,1,0,0,1.04190844616376
A_C01_003,coarse_scan,C01,low_speed_light_load,reasonable_extension_range,"100 rpm paper/source speed; interpolated light load",100,2.5,0,48,1,1551,0.01,0.04,0.1,0.2,coarse amplitude grid,0,1551,-0.0146700693834867,-0.0686120765097752,0.057898243854696,0.1072056049701,0.201300855646083,0.202462293255315,0.101442529065352,0.66094209764132,0.0391248877227124,0.0398141628303345,0.0396245674207027,0.0395212059912499,1,a=valid known-frequency integer-cycle FFT; b=valid known-frequency integer-cycle FFT; c=valid known-frequency integer-cycle FFT,3,1500,1.71890900567548,0.210465431240773,1.18190345910999,1.16042560075271,0.0997537577984771,0.0371237452069128,0.14019744222312,0.0844009356513727,valid,5194,11162.6907371588,0.000644745325596389,0.607350096711799,0.392005157962605,0.874266836584589,0.000201609735654417,0.0009824,1489,0.00339033888905989,0.0106207010905104,0.00997882930688782,0.0399215917707815,0,0,1,1,1,7.67999999999996,14.5541575336479,1,0.125733163415411,0.387355519119456,0,0,3.47547940161887e-16,1.83102671940889e-15,0,0,0,0,0,0,0,1,1,,,0.285504841769884,1,1,1,1,1,0.782720825274016
A_C01_004,coarse_scan,C01,low_speed_light_load,reasonable_extension_range,"100 rpm paper/source speed; interpolated light load",100,2.5,0,48,1,1551,0.01,0.16,0.1,0.4,coarse amplitude grid,0,1551,0.00368990137691183,-0.183587878812303,0.0467198928213079,0.244187722008194,0.205569463269995,0.711836405091635,0.102824039575307,0.66094209764132,0.0715714684153873,0.0687022690073005,0.0695996319273708,0.0699577897833529,1,a=valid known-frequency integer-cycle FFT; b=valid known-frequency integer-cycle FFT; c=valid known-frequency integer-cycle FFT,3,1500,1.63670980767415,0.219753386963354,1.1257124767413,1.10398802096643,0.344035479903247,0.0752784296838977,0.154015882990676,0.305615765136722,valid,3404,7315.7102944337,0.372018052869117,0.295938104448743,0.332043842682141,0.874272133131983,0.000257436428110896,0.0022598,1484,0.00209073243472579,0.0575843715415006,0.00996122196914239,0.159690901104573,0,0,1,1,1,15.3599999999999,12.1553417887702,1,0.125727866868017,0.387355519119456,0,0,2.88897906431932e-16,3.5527136788005e-15,0,0,0,0,0,0,0,1,1,,,0.740925010944357,1,1,1,0,0,0.74661508704062
A_C01_005,coarse_scan,C01,low_speed_light_load,reasonable_extension_range,"100 rpm paper/source speed; interpolated light load",100,2.5,0,48,1,1551,0.01,0.64,0.1,0.8,coarse amplitude grid,0,1551,0.0165282240455358,-0.429943803261168,0.0592318842583966,0.522908814562002,0.2244962021058,1.33140310702889,0.114673914878083,0.883387653823327,0.130694702732339,0.136124478089112,0.138331395052491,0.135050191957981,1,a=valid known-frequency integer-cycle FFT; b=valid known-frequency integer-cycle FFT; c=valid known-frequency integer-cycle FFT,3,1500,1.45998933221096,0.256279023156066,1.00577447142763,0.984432862043749,0.643531385000557,0.142421369549436,0.193682886986654,0.639836666451779,valid,2868,6163.76531270148,0.429400386847195,0.392649903288201,0.177949709864603,0.874362640711788,0.000166446228239845,0.000791,1357,0.00305729361119533,0.271719628313497,0.00988930108535987,0.638968316079607,0,0,1,1,1,30.7199999999998,4.68154131838502,1,0.125637359288212,0.483725018218744,0,0,3.64415012408798e-16,5.32907051820075e-15,0,0,0,0,0,0,0,1,1,,,1.35019731082761,1,1,1,0,0,0.553191489361702
A_C01_006,coarse_scan,C01,low_speed_light_load,reasonable_extension_range,"100 rpm paper/source speed; interpolated light load",100,2.5,0,48,1,1551,0.01,1,0.1,1,coarse amplitude grid,0,1551,0.0232728306792117,-0.523410638483256,0.0544706675456643,0.636289536453739,0.221859125284081,1.96555897048388,0.116662986069205,1.08839518925559,0.177615658438036,0.18930212292362,0.180210654022179,0.182376145127945,1,a=valid known-frequency integer-cycle FFT; b=valid known-frequency integer-cycle FFT; c=valid known-frequency integer-cycle FFT,3,1500,1.39189909537525,0.276245778695739,0.96028136681087,0.938718528705317,0.952488355968415,0.173596117589572,0.217080771488795,0.991884658901239,valid,2648,5690.9520739308,0.453900709219858,0.379754996776273,0.166344294003868,0.871444147023243,0.000164576918117344,0.0008519,1377,0.00274900529020462,0.403614175835962,0.00990060295840622,0.997297276158393,0,0,1,1,1,38.3999999999997,-0.105652477085872,0.999838813668601,0.128555852976757,0.703425593416201,0,0,3.54468917253659e-16,6.46603649670442e-15,0,0,0,0,0,0,0,1,1,,,1.97804032767825,1,1,1,0,0,0.578981302385558
A_C01_007,coarse_scan,C01,low_speed_light_load,reasonable_extension_range,"100 rpm paper/source speed; interpolated light load",100,2.5,0,48,1,1551,0.04,0,0.2,0,coarse amplitude grid,0,1551,-0.00586756479523677,-3.64112656766752e-05,0.092555202029502,0.0259367390179281,0.3972398578979,0.0550430008975971,0.199215863549224,0.66094209764132,0.0367769039916587,0.0367252884413689,0.0370374912809027,0.0368465612379768,1,a=valid known-frequency integer-cycle FFT; b=valid known-frequency integer-cycle FFT; c=valid known-frequency integer-cycle FFT,3,1500,1.76494233112527,0.208821107402457,1.21508799159908,1.1932748554619,0.0296035665947958,0.00187488805230798,0.136033794514447,0.0243633109696335,valid,5288,11364.710939179,0.000644745325596389,0.568020631850419,0.431334622823985,0.87404934270629,0.000139443907156673,0.0010026,1151,0.00859373436113901,4.08486053842428e-16,0.0399395509565641,2.31769801733973e-15,0,0,1,1,1,0,16.9278446712632,1,0.12595065729371,0.387355519119456,0,0,4.30813349944147e-16,2.22044604925031e-15,0,0,0,0,0,0,0,1,1,,,0.401035206248225,1,1,1,0,1,0.861379754996776
A_C01_008,coarse_scan,C01,low_speed_light_load,reasonable_extension_range,"100 rpm paper/source speed; interpolated light load",100,2.5,0,48,1,1551,0.04,0.0225,0.2,0.15,coarse amplitude grid,0,1551,-0.00677717047856627,-0.0443167351520633,0.122519891138535,0.0749734575337592,0.39928355473467,0.205661131333529,0.200396520574143,0.66094209764132,0.0487689766999366,0.0470357786957121,0.0474947300984354,0.0477664951646947,1,a=valid known-frequency integer-cycle FFT; b=valid known-frequency integer-cycle FFT; c=valid known-frequency integer-cycle FFT,3,1500,1.73569462979483,0.213611428206482,1.19357678846293,1.17189082717547,0.0994006925842699,0.0254361537118674,0.138311109906712,0.0832796796528494,valid,4556,9791.53234472383,0.000644745325596389,0.973565441650548,0.0257898130238556,0.873946088270073,0.000130973243068988,0.0006234,1538,0.0149583479085981,0.00471171220844053,0.0399832056446189,0.0224840204501358,0,0,1,1,1,11.52,15.1287328626049,1,0.126053911729927,0.387355519119456,0,0,6.45302807789743e-16,2.80866677486136e-15,0,0,0,0,0,0,0,1,1,,,0.449136792105636,1,1,1,1,1,0.65892972275951
A_C01_009,coarse_scan,C01,low_speed_light_load,reasonable_extension_range,"100 rpm paper/source speed; interpolated light load",100,2.5,0,48,1,1551,0.04,0.04,0.2,0.2,coarse amplitude grid,0,1551,-0.0104179984201258,-0.0800609632399876,0.127427426976301,0.112737502786743,0.403747177888101,0.378171086698353,0.20360946696675,0.66094209764132,0.055474282988744,0.0542124955644886,0.0518945334034002,0.0538604373188776,1,a=valid known-frequency integer-cycle FFT; b=valid known-frequency integer-cycle FFT; c=valid known-frequency integer-cycle FFT,3,1500,1.70935304801284,0.216160530108015,1.1762683157253,1.15486360374439,0.177368206976749,0.0356975799858001,0.139591443974757,0.150788901312353,valid,4426,9512.14270363206,0.000644745325596389,0.966473243068988,0.0328820116054159,0.873336573689752,0.000143593423597679,0.0006169,1545,0.0162554398947042,0.0117988821760006,0.0399004269745852,0.0399162688550399,0,0,1,1,1,15.3599999999999,14.5290289263854,1,0.126663426310248,0.387355519119456,0,0,6.53858962641174e-16,2.84355838317334e-15,0,0,0,0,0,0,0,1,1,,,0.553195403512375,1,1,1,1,1,0.65892972275951
A_C01_010,coarse_scan,C01,low_speed_light_load,reasonable_extension_range,"100 rpm paper/source speed; interpolated light load",100,2.5,0,48,1,1551,0.04,0.16,0.2,0.4,coarse amplitude grid,0,1551,0.00607371790543141,-0.243205435802014,0.118552123144264,0.278911607136669,0.397791745758451,0.403616861408397,0.202165599495675,0.66094209764132,0.0786285774783332,0.0803384043692963,0.0813417418023893,0.0801029078833396,1,a=valid known-frequency integer-cycle FFT; b=valid known-frequency integer-cycle FFT; c=valid known-frequency integer-cycle FFT,3,1500,1.59421504332858,0.221672287996751,1.0967084032485,1.07545724824724,0.195549495025245,0.0630862481940896,0.147909009338438,0.178305823540713,valid,3724,8003.43864173651,0.193423597678917,0.752417794970986,0.0541586073500967,0.874757528103463,0.000133728562217924,0.0009451,1491,0.0140451276746946,0.0758786928816343,0.0395359995746153,0.15948842804563,0,0,1,1,1,30.7199999999998,12.1302131815077,1,0.125242471896537,0.387355519119456,0,0,6.20476603083431e-16,3.66205343881779e-15,0,0,0,0,0,0,0,1,1,,,0.566696430028213,1,1,1,1,1,0.273372018052868
