run_id,scenario,speed_rpm,id_ref_A,iq_ref_A,motor_model,dc_bus_V,voltage_vector_scale,active_vector_magnitude_V,reference_ramp_s,sampling_period_s,Ld_H,Lq_H,alpha_mode,F_estimator,completed_0p2s,illegal,first_illegal_time_s,first_selected_illegal_time_s,minimum_d0,maximum_voltage_utilization_ratio,maximum_reference_voltage_V,maximum_hex_exceedance_V,id_rmse_A,iq_rmse_A,steady_thd_percent,torque_mean_Nm,torque_ripple_Nm,switching_actions,trace_rows,steady_maximum_utilization_ratio,steady_negative_d0,steady_id_rmse_A,steady_iq_rmse_A,peak_abs_rectangle_center_d_V,peak_abs_rectangle_center_q_V,Fd_residual_rmse,Fq_residual_rmse,strategy,run_status,illegal_command_count,original_illegal_command_count,negative_duration_count,fallback_cycles,fallback_fraction,max_consecutive_fallback_cycles,predicted_d_constraint_satisfaction_rate,predicted_q_constraint_satisfaction_rate,actual_d_constraint_violation_rate,actual_q_constraint_violation_rate,execution_time_average_s,execution_time_p95_s,execution_time_max_s,feasibility_layer_time_average_s,target_offset_average_V,target_offset_maximum_V,modified_command_fraction
20260713_110320_feasibility_control,A0_P1_500rpm_20A_48V_5ms,500,0,20,P1,48,0.666666666666667,32,0.005,0.0001,0.0008,0.0012,axis_specific,algebraic_iter11,0,1,0.0045,0.0044,-0.0521185943684268,1.05211859436843,29.9295633080311,1.482614961873,0.286359317028547,0.834791319927837,NaN,NaN,NaN,168,46,NaN,0,NaN,NaN,13.2208530731136,28.2120137700352,892.929781968902,121.826343050892,original_zhou,FAIL,1,1,1,0,0,0,1,1,0.0652173913043478,0.978260869565217,0.000637669047619048,0.001466405,0.0026085,0,0,0,0
20260713_110320_feasibility_control,A0_P1_500rpm_20A_48V_5ms,500,0,20,P1,48,0.666666666666667,32,0.005,0.0001,0.0008,0.0012,axis_specific,algebraic_iter11,1,0,NaN,NaN,-2.22044604925031e-16,1,28.4469483461581,0,0.138878835294746,0.187124679700685,0.939449998596308,9.70361927320631,0.0429320042938683,7316,2000,0.944267847109598,0,0.132464432142265,0.131669960622983,17.8965402860688,28.2120137700352,181.475189502239,69.029412506386,radial_hex_projection,PASS,0,1,0,0,0,0,1,1,0.021,0.0255,0.000478892944444444,0.001004385,0.0021558,3.85383888888889e-05,0.000741307480936501,1.482614961873,0.0005
20260713_110320_feasibility_control,A0_P1_500rpm_20A_48V_5ms,500,0,20,P1,48,0.666666666666667,32,0.005,0.0001,0.0008,0.0012,axis_specific,algebraic_iter11,1,0,NaN,NaN,1.11022302462516e-16,1,30.3365101958965,0,0.139475512966558,0.186643695719979,0.93944999859612,9.70361927320604,0.0429320042938011,7316,2000,0.944267847110035,0,0.132464432142264,0.131669960623056,17.8965402659547,28.2120137700352,181.832246420144,69.3217747648143,proposed_feasibility_aware,PASS,0,1,0,0,0,0,1,1,0.0215,0.0255,0.000339306166666667,0.00073603,0.0015347,2.52051666666666e-05,0.000723587607508253,1.44717521501651,0.0005
