scenario_id,case_category,range_class,case_id,sample_count,S2_sample_count,mean_unique_candidate_count,minimum_unique_candidate_count,maximum_unique_candidate_count,candidate_evaluation_count,invalid_bank_entry_count,avg_ul_prediction_gap_max_A,avg_ul_identity_tolerance_A,avg_ul_identity_pass,recorded_avg_prediction_gap_max_A,recorded_avg_reproduction_pass,avg_ul_top1_flip_count,avg_ul_top1_flip_rate,avg_ul_top3_set_flip_count,avg_ul_top3_set_flip_rate,avg_ul_case_flip_rate,avg_ul_mode_flip_rate,avg_plant_top1_flip_count,avg_plant_top1_flip_rate,avg_plant_top3_set_flip_count,avg_plant_top3_set_flip_rate,avg_plant_case_flip_rate,avg_plant_mode_flip_rate,top1_avg_vs_seq_ul_flip_rate,top1_avg_vs_seq_plant_flip_rate,top3_avg_vs_seq_ul_flip_rate,top3_avg_vs_seq_plant_flip_rate,mode_avg_vs_seq_plant_flip_rate,sequence_driven_top1_flip_count,sequence_driven_top1_flip_rate,model_F_aggregate_top1_flip_count,model_F_aggregate_top1_flip_rate,avg_final_selected_feasible_rate,ul_final_selected_feasible_rate,plant_final_selected_feasible_rate,avg_to_ul_feasibility_flip_rate,avg_safe_ul_unsafe_rate,avg_unsafe_ul_safe_rate,avg_to_plant_feasibility_flip_rate,avg_safe_plant_unsafe_rate,avg_unsafe_plant_safe_rate,actual_feasible_rate,avg_false_safe_rate,ul_false_safe_rate,plant_false_safe_rate,avg_false_safe_d_rate,avg_false_safe_q_rate,ul_false_safe_d_rate,ul_false_safe_q_rate,plant_false_safe_d_rate,plant_false_safe_q_rate,avg_false_alarm_rate,ul_false_alarm_rate,plant_false_alarm_rate,avg_false_alarm_d_rate,avg_false_alarm_q_rate,ul_false_alarm_d_rate,ul_false_alarm_q_rate,plant_false_alarm_d_rate,plant_false_alarm_q_rate,avg_to_ul_selected_prediction_gap_max_A,avg_to_plant_selected_prediction_gap_rms_A,avg_to_plant_candidate_gap_max_A,S2_avg_ul_top1_flip_rate,S2_avg_plant_top1_flip_rate,nonS2_avg_ul_top1_flip_rate,nonS2_avg_plant_top1_flip_rate,mean_avg_evaluation_time_s,mean_ul_evaluation_time_s,mean_plant_evaluation_time_s,bank_semantics,attribution_rule
D02_id_step,dynamic,reasonable_extension,D02_id_step,1198,0,14,14,14,50316,0,1.07410850191483e-14,2e-10,1,0,1,0,0,0,0,0,0,2,0.00166944908180301,8,0.00667779632721202,0.00166944908180301,0.00166944908180301,0,0.00166944908180301,0,0.00667779632721202,0.00166944908180301,0,0,2,0.00166944908180301,1,1,0.982470784641068,0,0,0,0.0175292153589316,0.0175292153589316,0,0.982470784641068,0.0175292153589316,0.0175292153589316,0,0.0125208681135225,0.00751252086811352,0.0125208681135225,0.00751252086811352,0,0,0,0,0,0,0,0,0,0,0,6.25209743202487e-15,0.0148266895441478,0.18189460613234,NaN,NaN,0,0.00166944908180301,0.000156473622704508,8.73953255425709e-05,0.00292211644407346,offline_diagnostic_candidate_bank_not_native_controller_candidates,avg_vs_UL=sequence_only;avg_vs_plant_with_UL_identity=model_F_aggregate
D03_id_iq_step,dynamic,reasonable_extension,D03_id_iq_step,1198,0,14.0033388981636,14,15,50313,5,1.25056656943989e-14,2e-10,1,0,1,0,0,0,0,0,0,5,0.00417362270450751,24,0.0200333889816361,0.00333889816360601,0.00333889816360601,0,0.00417362270450751,0,0.0200333889816361,0.00333889816360601,0,0,5,0.00417362270450751,0.995826377295493,0.995826377295493,0.969115191986644,0,0,0,0.0267111853088481,0.0267111853088481,0,0.969115191986644,0.0267111853088481,0.0267111853088481,0,0.0225375626043406,0.00500834724540901,0.0225375626043406,0.00500834724540901,0,0,0,0,0,0,0,0,0,0,0,9.56597433645091e-15,0.0400467406454868,0.562003220600175,NaN,NaN,0,0.00417362270450751,0.000147661769616027,8.45237061769616e-05,0.00288338739565943,offline_diagnostic_candidate_bank_not_native_controller_candidates,avg_vs_UL=sequence_only;avg_vs_plant_with_UL_identity=model_F_aggregate
D04_torque_ramp,dynamic,normal,D04_torque_ramp,1198,0,14,14,14,50316,0,1.92155199630405e-14,2e-10,1,0,1,0,0,0,0,0,0,20,0.01669449081803,48,0.0400667779632721,0.00834724540901502,0.00834724540901502,0,0.01669449081803,0,0.0400667779632721,0.00834724540901502,0,0,20,0.01669449081803,1,1,0.960767946577629,0,0,0,0.0392320534223706,0.0392320534223706,0,0.960767946577629,0.0392320534223706,0.0392320534223706,0,0.0392320534223706,0,0.0392320534223706,0,0,0,0,0,0,0,0,0,0,0,0,1.65425604845669e-14,0.0287389240764037,0.189769677431727,NaN,NaN,0,0.01669449081803,0.00013757061769616,8.05959933222037e-05,0.00269791644407345,offline_diagnostic_candidate_bank_not_native_controller_candidates,avg_vs_UL=sequence_only;avg_vs_plant_with_UL_identity=model_F_aggregate
D05_torque_step,dynamic,normal,D05_torque_step,457,0,14.0153172866521,14,15,19194,7,7.58859974442808e-15,2e-10,1,0,1,0,0,0,0,0,0,6,0.0131291028446389,12,0.0262582056892779,0.00656455142231947,0.00656455142231947,0,0.0131291028446389,0,0.0262582056892779,0.00656455142231947,0,0,6,0.0131291028446389,0.984682713347921,0.984682713347921,0.919037199124726,0,0,0,0.0656455142231947,0.0656455142231947,0,0.919037199124726,0.0656455142231947,0.0656455142231947,0,0.0656455142231947,0.0109409190371991,0.0656455142231947,0.0109409190371991,0,0,0,0,0,0,0,0,0,0,0,6.31266993159829e-15,0.07246496122437,0.574940931468469,NaN,NaN,0,0.0131291028446389,0.000153781400437637,8.81214442013129e-05,0.00292247768052517,offline_diagnostic_candidate_bank_not_native_controller_candidates,avg_vs_UL=sequence_only;avg_vs_plant_with_UL_identity=model_F_aggregate
P01_Ld_minus10,parameter,reasonable_extension,P01_Ld_minus10,1198,0,14,14,14,50316,0,1.51006657275581e-14,2e-10,1,0,1,0,0,0,0,0,0,25,0.0208681135225376,87,0.0726210350584307,0.0208681135225376,0.0208681135225376,0,0.0208681135225376,0,0.0726210350584307,0.0208681135225376,0,0,25,0.0208681135225376,1,1,0.945742904841402,0,0,0,0.0542570951585977,0.0542570951585977,0,0.945742904841402,0.0542570951585977,0.0542570951585977,0,0.0534223706176962,0.00166944908180301,0.0534223706176962,0.00166944908180301,0,0,0,0,0,0,0,0,0,0,0,1.48081653568585e-14,0.0366821539178527,0.627520026015497,NaN,NaN,0,0.0208681135225376,0.00015514265442404,8.91887312186978e-05,0.00291618522537563,offline_diagnostic_candidate_bank_not_native_controller_candidates,avg_vs_UL=sequence_only;avg_vs_plant_with_UL_identity=model_F_aggregate
P02_Ld_plus10,parameter,reasonable_extension,P02_Ld_plus10,1198,0,14,14,14,50316,0,1.44584971516257e-14,2e-10,1,0,1,0,0,0,0,0,0,12,0.010016694490818,111,0.0926544240400668,0.00918196994991653,0.00918196994991653,0,0.010016694490818,0,0.0926544240400668,0.00918196994991653,0,0,12,0.010016694490818,1,1,0.990818030050084,0,0,0,0.00918196994991653,0.00918196994991653,0,0.990818030050084,0.00918196994991653,0.00918196994991653,0,0.00751252086811352,0.00166944908180301,0.00751252086811352,0.00166944908180301,0,0,0,0,0,0,0,0,0,0,0,1.42543597352413e-14,0.0345095783032616,0.58321879029749,NaN,NaN,0,0.010016694490818,0.000133937228714524,7.8715692821369e-05,0.00269344883138564,offline_diagnostic_candidate_bank_not_native_controller_candidates,avg_vs_UL=sequence_only;avg_vs_plant_with_UL_identity=model_F_aggregate
P03_Lq_minus10,parameter,reasonable_extension,P03_Lq_minus10,1198,0,14,14,14,50316,0,1.78756250358158e-14,2e-10,1,0,1,0,0,0,0,0,0,42,0.0350584307178631,100,0.0834724540901502,0.0350584307178631,0.0350584307178631,0,0.0350584307178631,0,0.0834724540901502,0.0350584307178631,0,0,42,0.0350584307178631,1,1,0.932387312186978,0,0,0,0.0676126878130217,0.0676126878130217,0,0.932387312186978,0.0676126878130217,0.0676126878130217,0,0.0191986644407346,0.0567612687813022,0.0191986644407346,0.0567612687813022,0,0,0,0,0,0,0,0,0,0,0,1.15570230763467e-14,0.0350420940802899,0.497809285171796,NaN,NaN,0,0.0350584307178631,0.000151461185308848,8.68730383973289e-05,0.00287585083472454,offline_diagnostic_candidate_bank_not_native_controller_candidates,avg_vs_UL=sequence_only;avg_vs_plant_with_UL_identity=model_F_aggregate
P04_Lq_plus10,parameter,reasonable_extension,P04_Lq_plus10,1198,0,14,14,14,50316,0,1.48885833566228e-14,2e-10,1,0,1,0,0,0,0,0,0,9,0.00751252086811352,182,0.151919866444073,0.00667779632721202,0.00667779632721202,0,0.00751252086811352,0,0.151919866444073,0.00667779632721202,0,0,9,0.00751252086811352,1,1,0.973288814691152,0,0,0,0.0267111853088481,0.0267111853088481,0,0.973288814691152,0.0267111853088481,0.0267111853088481,0,0.0267111853088481,0,0.0267111853088481,0,0,0,0,0,0,0,0,0,0,0,0,1.19473568149314e-14,0.0380172978682791,0.427552959507328,NaN,NaN,0,0.00751252086811352,0.000151463772954925,8.74010016694491e-05,0.00289416919866444,offline_diagnostic_candidate_bank_not_native_controller_candidates,avg_vs_UL=sequence_only;avg_vs_plant_with_UL_identity=model_F_aggregate
P05_cross_mismatch,parameter,reasonable_extension,P05_cross_mismatch,1198,0,14,14,14,50316,0,1.65270411275817e-14,2e-10,1,0,1,0,0,0,0,0,0,11,0.00918196994991653,67,0.0559265442404007,0.00751252086811352,0.00751252086811352,0,0.00918196994991653,0,0.0559265442404007,0.00751252086811352,0,0,11,0.00918196994991653,1,1,0.937395659432387,0,0,0,0.0626043405676127,0.0626043405676127,0,0.937395659432387,0.0626043405676127,0.0626043405676127,0,0.0626043405676127,0,0.0626043405676127,0,0,0,0,0,0,0,0,0,0,0,0,1.59814060248858e-14,0.0551605899174975,0.720647722487102,NaN,NaN,0,0.00918196994991653,0.000152612270450751,8.85743739565944e-05,0.00290293096828047,offline_diagnostic_candidate_bank_not_native_controller_candidates,avg_vs_UL=sequence_only;avg_vs_plant_with_UL_identity=model_F_aggregate
P06_controller_high_L,parameter,reasonable_extension,P06_controller_high_L,1198,0,14,14,14,50316,0,1.72453054849232e-14,2e-10,1,0,1,0,0,0,0,0,0,22,0.0183639398998331,169,0.141068447412354,0.015025041736227,0.015025041736227,0,0.0183639398998331,0,0.141068447412354,0.015025041736227,0,0,22,0.0183639398998331,1,1,0.924040066777963,0,0,0,0.0759599332220367,0.0759599332220367,0,0.924040066777963,0.0759599332220367,0.0759599332220367,0,0.0717863105175292,0.0500834724540902,0.0717863105175292,0.0500834724540902,0,0,0,0,0,0,0,0,0,0,0,1.5013540923187e-14,0.0840644706076637,1.52038946977008,NaN,NaN,0,0.0183639398998331,0.000142975125208681,8.43181135225375e-05,0.0027950387312187,offline_diagnostic_candidate_bank_not_native_controller_candidates,avg_vs_UL=sequence_only;avg_vs_plant_with_UL_identity=model_F_aggregate
P07_controller_low_L,parameter,reasonable_extension,P07_controller_low_L,1198,0,14,14,14,50316,0,1.96656822608472e-14,2e-10,1,0,1,0,0,0,0,0,0,41,0.0342237061769616,87,0.0726210350584307,0.0308848080133556,0.0308848080133556,0,0.0342237061769616,0,0.0726210350584307,0.0308848080133556,0,0,41,0.0342237061769616,1,1,0.98330550918197,0,0,0,0.01669449081803,0.01669449081803,0,0.98330550918197,0.01669449081803,0.01669449081803,0,0.01669449081803,0,0.01669449081803,0,0,0,0,0,0,0,0,0,0,0,0,1.62321689845896e-14,0.0730717537750592,1.06538653072848,NaN,NaN,0,0.0342237061769616,0.000152075208681135,8.84371452420701e-05,0.0029113745409015,offline_diagnostic_candidate_bank_not_native_controller_candidates,avg_vs_UL=sequence_only;avg_vs_plant_with_UL_identity=model_F_aggregate
P08_opposed_20pct,parameter,reasonable_extension,P08_opposed_20pct,1198,0,14,14,14,50316,0,1.85457098725382e-14,2e-10,1,0,1,0,0,0,0,0,0,55,0.0459098497495826,498,0.415692821368948,0.0317195325542571,0.0317195325542571,0,0.0459098497495826,0,0.415692821368948,0.0317195325542571,0,0,55,0.0459098497495826,1,1,0.926544240400668,0,0,0,0.0734557595993322,0.0734557595993322,0,0.926544240400668,0.0734557595993322,0.0734557595993322,0,0.00918196994991653,0.0642737896494157,0.00918196994991653,0.0642737896494157,0,0,0,0,0,0,0,0,0,0,0,1.58882185807825e-14,0.0796480143773168,1.22090068870184,NaN,NaN,0,0.0459098497495826,0.0001548867278798,9.01020868113522e-05,0.00296174373956594,offline_diagnostic_candidate_bank_not_native_controller_candidates,avg_vs_UL=sequence_only;avg_vs_plant_with_UL_identity=model_F_aggregate
B01_500rpm_20A_48V_fast,boundary,stress_test,B01_500rpm_20A_48V_fast,3,2,14.6666666666667,14,15,126,2,4.96506830649455e-16,2e-10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.51828035988303e-16,0.0789785469828948,0.232766538376734,0,0,0,0,0.000148366666666667,9.44666666666667e-05,0.00297503333333333,offline_diagnostic_candidate_bank_not_native_controller_candidates,avg_vs_UL=sequence_only;avg_vs_plant_with_UL_identity=model_F_aggregate
B02_500rpm_negid_48V,boundary,stress_test,B02_500rpm_negid_48V,451,0,14,14,14,18939,1,8.37905845335083e-15,2e-10,1,0,1,0,0,0,0,0,0,2,0.00443458980044346,32,0.0709534368070953,0.00221729490022173,0.00221729490022173,0,0.00443458980044346,0,0.0709534368070953,0.00221729490022173,0,0,2,0.00443458980044346,0.997782705099778,0.997782705099778,0.951219512195122,0,0,0,0.0465631929046563,0.0465631929046563,0,0.951219512195122,0.0465631929046563,0.0465631929046563,0,0.0465631929046563,0,0.0465631929046563,0,0,0,0,0,0,0,0,0,0,0,0,7.27344378244474e-15,0.0713869824819618,0.376480044172897,NaN,NaN,0,0.00443458980044346,0.000147426164079823,8.72782705099778e-05,0.0028792733924612,offline_diagnostic_candidate_bank_not_native_controller_candidates,avg_vs_UL=sequence_only;avg_vs_plant_with_UL_identity=model_F_aggregate
