run_id,scenario,speed_rpm,id_ref_A,iq_ref_A,motor_model,dc_bus_V,voltage_vector_scale,active_vector_magnitude_V,reference_ramp_s,sampling_period_s,Ld_H,Lq_H,alpha_mode,F_estimator,completed_0p2s,illegal,first_illegal_time_s,first_selected_illegal_time_s,minimum_d0,maximum_voltage_utilization_ratio,maximum_reference_voltage_V,maximum_hex_exceedance_V,id_rmse_A,iq_rmse_A,steady_thd_percent,torque_mean_Nm,torque_ripple_Nm,switching_actions,trace_rows,steady_maximum_utilization_ratio,steady_negative_d0,steady_id_rmse_A,steady_iq_rmse_A,peak_abs_rectangle_center_d_V,peak_abs_rectangle_center_q_V,Fd_residual_rmse,Fq_residual_rmse,method,illegal_command_count,original_illegal_command_count,negative_duration_count,fallback_cycles,fallback_fraction,max_consecutive_fallback_cycles,predicted_d_constraint_satisfaction_rate,predicted_q_constraint_satisfaction_rate,actual_d_constraint_violation_rate,actual_q_constraint_violation_rate,execution_time_average_s,execution_time_p95_s,execution_time_max_s,feasibility_layer_time_average_s,target_offset_average_V,target_offset_maximum_V,modified_command_fraction,aligned_actual_d_violation_rate,aligned_actual_q_violation_rate,aligned_joint_actual_violation_rate,false_safe_rate,certification_rate,epsilon_d_mean_A,epsilon_q_mean_A,epsilon_d_p95_A,epsilon_q_p95_A,epsilon_d_max_A,epsilon_q_max_A,tightened_rectangle_area_ratio_mean,R_H_nonempty_ratio,S2_ratio,S3_ratio,maximum_consecutive_S3_cycles,robust_bound_exceeds_tolerance_rate,bound_execution_time_average_s,tightening_execution_time_average_s,geometry_execution_time_average_s
20260715_131154_sequence_decomposition,C01_nominal_100rpm_10A,100,0,10,P1,48,0.666666666666667,32,0.005,0.0001,0.0008,0.0012,axis_specific,algebraic_iter11,1,0,NaN,NaN,0.57907216744273,0.42092783255727,11.7652524976903,0,0.229979620259571,0.262974441115294,2.89379783227378,4.76643380631396,0.0776243508119623,2644,1200,0.366295168865196,0,0.232407560029841,0.247929555835717,4.66120308203844,11.0488070261864,42.2957232383762,23.5742793519518,C0_original_feasibility_control,0,0,0,0,0,0,1,1,0.0025,0.0408333333333333,0.000396310925925926,0.00065967,0.0015686,5.96981481481482e-06,0,0,0,0.00250417362270451,0.000834724540901503,0.00250417362270451,0.00250417362270451,1,0,0,0,0,0,0,1,1,0,0,0,0,2.5062962962963e-06,4.14824074074074e-06,6.44974074074074e-05
20260715_131154_sequence_decomposition,C02_light_100rpm_4A,100,0,4,P1,48,0.666666666666667,32,0.01,0.0001,0.0008,0.0012,axis_specific,algebraic_iter11,1,0,NaN,NaN,0.611054318477832,0.388945681522168,12.4462618087094,0,0.20660746576449,0.256994710366897,6.72194632884954,1.84603626309362,0.07330525989986,2238,1200,0.281605826192047,0,0.205884660160236,0.251975240592283,3.80337883522931,8.95820984061423,37.8429964698174,21.1009166427354,C0_original_feasibility_control,0,0,0,0,0,0,1,1,0.000833333333333333,0.0341666666666667,0.00043718212962963,0.0008376,0.0020105,7.78462962962963e-06,0,0,0,0.000834724540901503,0.000834724540901503,0.000834724540901503,0.000834724540901503,1,0,0,0,0,0,0,1,1,0,0,0,0,3.26018518518519e-06,5.08212962962963e-06,6.89312037037037e-05
20260715_131154_sequence_decomposition,C03_light_200rpm_6A,200,0,6,P1,48,0.666666666666667,32,0.008,0.0001,0.0008,0.0012,axis_specific,algebraic_iter11,1,0,NaN,NaN,0.538550422547317,0.461449577452683,13.3610501618367,0,0.240583923794592,0.227380409411313,4.81002083718736,2.83971387110885,0.0736758665559048,3496,1200,0.461449577452198,0,0.241163259305831,0.218096250821448,4.96288919290943,13.0151500654031,56.2240924509525,42.5580638693253,C0_original_feasibility_control,0,0,0,0,0,0,1,1,0.00416666666666667,0.0258333333333333,0.000419472407407408,0.00072804,0.0019088,6.6162037037037e-06,0,0,0,0.00417362270450751,0.00166944908180301,0.00500834724540901,0.00500834724540901,1,0,0,0,0,0,0,1,1,0,0,0,0,3.09620370370371e-06,5.16388888888889e-06,6.36786111111111e-05
20260715_131154_sequence_decomposition,C04_high_200rpm_18A,200,0,18,P1,48,0.666666666666667,32,0.005,0.0001,0.0008,0.0012,axis_specific,algebraic_iter11,1,0,NaN,NaN,0.383852493388559,0.616147506611441,17.0818286781589,0,0.198566873272919,0.26764709848928,1.42679095651912,8.70222583193883,0.0702412070475203,3846,1200,0.509212458556008,0,0.197915625059668,0.21544880509985,8.61523845015419,16.7659028610299,84.6432689524046,45.0030929158373,C0_original_feasibility_control,0,0,0,0,0,0,1,1,0.0108333333333333,0.0408333333333333,0.000329761481481481,0.000528815,0.0009586,9.57620370370371e-06,0,0,0,0.0108514190317195,0.000834724540901503,0.011686143572621,0.011686143572621,1,0,0,0,0,0,0,1,1,0,0,0,0,2.02277777777777e-06,3.6325e-06,5.44252777777777e-05
20260715_131154_sequence_decomposition,C05_negative_id,300,-4,15,P1,48,0.666666666666667,32,0.007,0.0001,0.0008,0.0012,axis_specific,algebraic_iter11,1,0,NaN,NaN,0.348113597106535,0.651886402893465,19.2502008251605,0,0.191660672342329,0.231604322786241,1.69908264644488,7.6867535125136,0.0781048957717905,4052,1200,0.601568775785433,0,0.190635377328513,0.201779640065798,10.4098684518643,17.9071330574482,110.407633634305,55.3108582901723,C0_original_feasibility_control,0,0,0,0,0,0,1,1,0.0108333333333333,0.0558333333333333,0.000367338981481482,0.000608045,0.0024086,1.59108333333333e-05,0,0,0,0.010016694490818,0.000834724540901503,0.0108514190317195,0.0108514190317195,1,0,0,0,0,0,0,1,1,0,0,0,0,2.37666666666667e-06,4.09324074074074e-06,6.65630555555555e-05
20260715_131154_sequence_decomposition,C06_low_bus_43p2V,300,0,15,P1,43.2,0.666666666666667,28.8,0.006,0.0001,0.0008,0.0012,axis_specific,algebraic_iter11,1,0,NaN,NaN,0.237773078524933,0.762226921475067,19.6276087683519,0,0.184549045180702,0.218754737037062,1.67067343564144,7.26513822025492,0.0659391738234271,4124,1200,0.681514193336722,0,0.184577639520724,0.181766574895432,10.0206535956386,18.9010845925897,106.982176446056,54.8574070624218,C0_original_feasibility_control,0,0,0,0,0,0,1,1,0.0141666666666667,0.0508333333333333,0.000330697037037037,0.000550535,0.0012844,1.52586111111111e-05,0,0,0,0.0141903171953255,0.00417362270450751,0.0183639398998331,0.0183639398998331,1,0,0,0,0,0,0,1,1,0,0,0,0,2.0599074074074e-06,3.73814814814815e-06,6.14572222222222e-05
20260715_131154_sequence_decomposition,C07_known_false_safe,500,0,20,P1,48,0.666666666666667,32,0.003,0.0001,0.0008,0.0012,axis_specific,algebraic_iter11,0,1,0.003,0.0029,-0.0550641751899916,1.05506417518999,33.7620536060797,1.76205360607973,0.408357552797313,1.47474112127068,NaN,NaN,NaN,116,31,NaN,0,NaN,NaN,14.6674483066221,33.8872368521689,1409.76065684202,167.686273771122,C0_original_feasibility_control,1,11,1,3,0.0967741935483871,3,1,0.870967741935484,0.709677419354839,0.967741935483871,0.000861614285714286,0.00221822,0.0065576,0.000495632142857143,1.17224782646401,6.9537895233799,0.32258064516129,0.758620689655172,0.172413793103448,0.793103448275862,0.655172413793103,0.870967741935484,0,0,0,0,0,0,1,0.870967741935484,0.225806451612903,0.0967741935483871,3,0,2.77857142857143e-06,4.375e-06,0.000552335714285714
20260715_131154_sequence_decomposition,C08_S2_nontrigger,100,0,10,P1,48,0.666666666666667,32,0.005,0.0001,0.0008,0.0012,axis_specific,algebraic_iter11,1,0,NaN,NaN,-2.22044604925031e-16,1,30.7902358825505,3.5527136788005e-15,0.232714267744217,0.565638649706787,2.89379783227372,4.76643380631395,0.07762435081196,2638,1200,0.366295168865164,0,0.232407560029842,0.247929555835719,7.95552804255186,123.392987348236,63.9170582601709,32.3091190412416,C0_original_feasibility_control,0,4,0,4,0.00333333333333333,4,0.9975,0.996666666666667,0.005,0.00666666666666667,0.000345569907407407,0.000578375,0.0012779,5.39703703703704e-06,0.190363451505717,93.9912479924182,0.00333333333333333,0.00500834724540901,0.00500834724540901,0.00667779632721202,0.00333889816360601,0.996666666666667,0,0,0,0,0,0,1,0.996666666666667,0,0.00333333333333333,4,0,2.145e-06,3.82851851851852e-06,5.58083333333333e-05
20260715_131154_sequence_decomposition,C09_S2_boundary,500,0,20,P1,48,0.666666666666667,32,0.005,0.0001,0.0008,0.0012,axis_specific,algebraic_iter11,1,0,NaN,NaN,1.11022302462516e-16,1,30.3365101958965,0,0.14395999678253,0.21564275140388,0.939449998598272,9.70361927320651,0.0429463364606722,4388,1200,0.944267847110031,0,0.132464432142285,0.13166996062295,17.8965402659547,28.2120137700352,218.150038810669,70.8732787300997,C0_original_feasibility_control,0,1,0,0,0,0,1,1,0.0225,0.0425,0.000346219166666667,0.00060483,0.001489,2.26187962962963e-05,0.00120597934584709,1.44717521501651,0.000833333333333333,0.0225375626043406,0.000834724540901503,0.0233722871452421,0.0233722871452421,1,0,0,0,0,0,0,1,1,0.000833333333333333,0,0,0,2.30555555555555e-06,4.14138888888889e-06,7.11033333333333e-05
20260715_131154_sequence_decomposition,D01_iq_step,300,0,18,P1,48,0.666666666666667,32,0.003,0.0001,0.0008,0.0012,axis_specific,algebraic_iter11,0,1,0.0452,0.0451,-2.07148788821788,3.07148788821788,98.2876124229721,66.2876124229721,0.191820873022484,0.739439250243945,NaN,NaN,NaN,1538,453,NaN,0,NaN,NaN,7.25827628806286,119.085519100332,134.026829581629,55.9869790715082,C0_original_feasibility_control,1,2,1,1,0.0022075055187638,1,1,0.997792494481236,0.0286975717439294,0.0706401766004415,0.000347449264705882,0.000549525,0.0013055,1.83480392156863e-05,0.192518295084123,87.2107876731076,0.0022075055187638,0.0288248337028825,0.00665188470066519,0.0354767184035477,0.0332594235033259,0.997792494481236,0,0,0,0,0,0,1,0.995584988962472,0,0.0022075055187638,1,0,2.2578431372549e-06,3.8703431372549e-06,6.69132352941176e-05
20260715_131154_sequence_decomposition,D02_id_step,300,-5,0,P1,48,0.666666666666667,32,0.003,0.0001,0.0008,0.0012,axis_specific,algebraic_iter11,1,0,NaN,NaN,0.336828379036257,0.663171620963743,21.2214918708398,0,0.277902093373691,0.212939550640464,6.08578560797894,-0.0827808017545658,0.0808065143906044,3668,1200,0.50470280695018,0,0.261502293390316,0.221457322406992,19.2362886018076,14.3069119895945,80.1704287859758,69.8546768608466,C0_original_feasibility_control,0,0,0,0,0,0,1,1,0.02,0.0075,0.000387958611111111,0.000685485,0.0017838,7.95027777777778e-06,0,0,0,0.0125208681135225,0.00751252086811352,0.0175292153589316,0.0175292153589316,1,0,0,0,0,0,0,1,1,0,0,0,0,2.43324074074074e-06,4.22148148148148e-06,6.28991666666667e-05
20260715_131154_sequence_decomposition,D03_id_iq_step,300,-4,16,P1,48,0.666666666666667,32,0.003,0.0001,0.0008,0.0012,axis_specific,algebraic_iter11,1,0,NaN,NaN,0,1,32,3.5527136788005e-15,0.24773634583108,0.467898447426163,1.54609860744114,8.20430387046771,0.0773921959593337,4046,1200,0.608884382207189,0,0.183380709300304,0.19916809570038,23.2700320967317,106.4392399617,161.26068103979,57.0667074043161,C0_original_feasibility_control,0,5,0,5,0.00416666666666667,5,0.996666666666667,0.995833333333333,0.0275,0.035,0.000335478055555556,0.000553555,0.0017211,1.63687037037037e-05,0.178869160249495,77.0676740029496,0.00416666666666667,0.0258764607679466,0.00918196994991653,0.0308848080133556,0.0267111853088481,0.995833333333333,0,0,0,0,0,0,1,0.995833333333333,0,0.00416666666666667,5,0,2.19046296296296e-06,3.85407407407407e-06,6.32975e-05
