case_id,evidence_role,cohort,offset_samples,event_count,mean_e_d,mean_e_q,mean_residual_magnitude,mean_periodic_6_magnitude,mean_periodic_12_magnitude,mean_Jd_boundary_distance,mean_Jq_boundary_distance,mean_voltage_utilization,S2_fraction,false_safe_fraction
C05_negative_id,ENGINEERING_PRIMARY,false_safe,-10,2,0.00572049964759504,-0.00839421923754993,0.0156839806218839,0.00709441391149257,0.00385554572028028,0.226139845625442,0.217362896435766,0.415742556267691,0,0
C05_negative_id,ENGINEERING_PRIMARY,false_safe,-9,2,0.00191032088293521,-0.00338947988874947,0.0140564469095914,0.00527106622734977,0.00405903967170307,0.258694986015891,0.3014213175681,0.493237049888677,0,0
C05_negative_id,ENGINEERING_PRIMARY,false_safe,-8,2,0.00542954363494519,-0.00433510809274917,0.00725188606080937,0.00445117948420508,0.00458155638735589,0.371802680121714,0.332781731757983,0.405211825284287,0,0
C05_negative_id,ENGINEERING_PRIMARY,false_safe,-7,2,0.00623858957329993,-0.00458847284984998,0.00774941809436025,0.00464983717356666,0.00447695249103828,0.148059365391377,0.149198284701384,0.428299104181301,0,0
C05_negative_id,ENGINEERING_PRIMARY,false_safe,-6,2,-0.000613013891990198,-0.00152937756620019,0.00175649630225187,0.00462279379491719,0.00388693420025359,0.307952384179787,0.13490785984898,0.36065039180559,0,0
C05_negative_id,ENGINEERING_PRIMARY,false_safe,-5,2,-0.00623838847639034,0.00112124611479913,0.00673079739902866,0.00438274889108157,0.00395385009661879,0.111529448294777,0.122232756113041,0.498068736099237,0,0
C05_negative_id,ENGINEERING_PRIMARY,false_safe,-4,2,-0.00360982399868481,0.00162438286269939,0.00479771761044884,0.00572135001627192,0.00410705063950389,0.319686871222311,0.224132530308136,0.37183263662467,0,0
C05_negative_id,ENGINEERING_PRIMARY,false_safe,-3,2,-0.00232175063543982,0.0036770585703998,0.00671577167559645,0.00747292357331203,0.00383986820966471,0.35028405262938,0.373667421221404,0.469800372540803,0,0
C05_negative_id,ENGINEERING_PRIMARY,false_safe,-2,2,0.00187477372300518,0.00302191291164979,0.0126657494546281,0.00884926074780683,0.00409542311658012,0.36730854837186,0.399993551239482,0.422326238964861,0,0
C05_negative_id,ENGINEERING_PRIMARY,false_safe,-1,2,0.00931082078656489,-0.00304562759134974,0.0157726192819865,0.00977612757357983,0.00459450600579416,0.287926194600129,0.322012237095683,0.438626167269817,0,0
C05_negative_id,ENGINEERING_PRIMARY,false_safe,0,2,0.0101736097935749,-0.0061196644410506,0.0245358925761149,0.0102056496635702,0.00445124195793844,0.00175312592008326,0.00162019691406157,0.410470123505315,0,1
C05_negative_id,ENGINEERING_PRIMARY,false_safe,1,2,0.00095705997650495,-0.00280781665740015,0.0243535563444341,0.0101157822209646,0.0038625177125708,0.399999850356759,0.22690094806037,0.438106644944827,0,0
C05_negative_id,ENGINEERING_PRIMARY,false_safe,2,2,-0.01155583004871,0.00237797079114979,0.0146487362400367,0.0095111331483787,0.00397239859750566,0.138517805832939,0.184694256205056,0.434456551681987,0,0
C05_negative_id,ENGINEERING_PRIMARY,false_safe,3,2,-0.0109725443600497,0.00448778955065077,0.0120189913322256,0.0084227732462557,0.00410106024030126,0.399995311816611,0.399981543213986,0.511422411596824,0,0
C05_negative_id,ENGINEERING_PRIMARY,false_safe,4,2,0.00049232643544506,0.00164621205100079,0.00551768385429211,0.00690726038222861,0.00382601205644971,0.0980641802350619,0.05970329895758,0.413781670703781,0,0
C05_negative_id,ENGINEERING_PRIMARY,false_safe,5,2,0.0050409175501598,-0.00202473252640001,0.00683692588067722,0.00505364100442892,0.00413214275128581,0.399997492977887,0.285243704697768,0.438244273198348,0,0
C05_negative_id,ENGINEERING_PRIMARY,false_safe,6,2,-0.000400718721539795,-0.000273715010499665,0.00448630230574908,0.00448291668831169,0.0046052788302776,0.324286573359565,0.272784337937781,0.438666115402717,0,0
C05_negative_id,ENGINEERING_PRIMARY,false_safe,7,2,-0.00192091910364467,0.00241150686960001,0.00757567052249941,0.00465830954150521,0.00442377517500395,0.399995533051182,0.399985055592545,0.491254254214515,0,0
C05_negative_id,ENGINEERING_PRIMARY,false_safe,8,2,0.0004801253832849,0.00222549452314968,0.00664827738442967,0.00460556445923514,0.0038416281285742,0.351580244333948,0.303259902208329,0.403846662215268,0,0
C05_negative_id,ENGINEERING_PRIMARY,false_safe,9,2,-0.00204471914471505,0.00370627314454985,0.00488068805652273,0.00435705831241773,0.00399038857311804,0.274094957797134,0.254433489451149,0.422091553089451,0,0
C05_negative_id,ENGINEERING_PRIMARY,false_safe,10,2,-0.00566052846695532,0.00694566762699986,0.0102766050283991,0.00593131262410506,0.00409349807494323,0.221080747428016,0.2167074964669,0.420760691280034,0,0
C05_negative_id,ENGINEERING_PRIMARY,matched_control,-10,2,0.0180193479706801,-0.0189196844782007,0.0261275977089957,0.0103419691517135,0.00570939413811598,0.399983609176573,0.399998662123597,0.438683938742854,0,0
C05_negative_id,ENGINEERING_PRIMARY,matched_control,-9,2,0.0108332550584302,-0.0124597953849008,0.0165107818165767,0.00908974644406803,0.00588235571772756,0.11218305898899,0.196266195566039,0.434250296153696,0,0
C05_negative_id,ENGINEERING_PRIMARY,matched_control,-8,2,0.00497153273059014,-0.0064520530858001,0.00814525178943608,0.00737522122998725,0.0049811603741181,0.399981799199277,0.399997575351872,0.451391327131796,0,0
C05_negative_id,ENGINEERING_PRIMARY,matched_control,-7,2,0.00496864346601011,-0.00318439135969939,0.00590150542014943,0.00528649399176235,0.0032724844659834,0.0328596261663933,0.0737670102446618,0.470490249052879,0,0
C05_negative_id,ENGINEERING_PRIMARY,matched_control,-6,2,-0.00205664279453988,-0.00110335219259916,0.00233391637494709,0.00293320888793283,0.00175276882019924,0.4,0.0884948736599874,0.329201003330604,0,0
C05_negative_id,ENGINEERING_PRIMARY,matched_control,-5,2,-0.00982210318624999,0.000248656545199566,0.00982525017894266,0.000505613316623762,0.00278170257535935,0.00561001962574992,0.0172694709422313,0.601568348654679,0,0
