case_id,evidence_role,order,dominant_axis,bin_index,phase_start,phase_end,sample_count,false_safe_count,non_false_safe_count,false_safe_rate,event_phase_resultant_R,total_false_safe_events,valid
C09_S2_boundary,ENGINEERING_PRIMARY,6,d,14,3.40339204138894,3.66519142918809,18,0,18,0,1,6,1
C09_S2_boundary,ENGINEERING_PRIMARY,6,d,15,3.66519142918809,3.92699081698724,12,0,12,0,1,6,1
C09_S2_boundary,ENGINEERING_PRIMARY,6,d,16,3.92699081698724,4.18879020478639,12,0,12,0,1,6,1
C09_S2_boundary,ENGINEERING_PRIMARY,6,d,17,4.18879020478639,4.45058959258554,12,0,12,0,1,6,1
C09_S2_boundary,ENGINEERING_PRIMARY,6,d,18,4.45058959258554,4.71238898038469,12,0,12,0,1,6,1
C09_S2_boundary,ENGINEERING_PRIMARY,6,d,19,4.71238898038469,4.97418836818384,12,0,12,0,1,6,1
C09_S2_boundary,ENGINEERING_PRIMARY,6,d,20,4.97418836818384,5.23598775598299,12,0,12,0,1,6,1
C09_S2_boundary,ENGINEERING_PRIMARY,6,d,21,5.23598775598299,5.49778714378214,12,0,12,0,1,6,1
C09_S2_boundary,ENGINEERING_PRIMARY,6,d,22,5.49778714378214,5.75958653158129,12,0,12,0,1,6,1
C09_S2_boundary,ENGINEERING_PRIMARY,6,d,23,5.75958653158129,6.02138591938044,12,0,12,0,1,6,1
C09_S2_boundary,ENGINEERING_PRIMARY,6,d,24,6.02138591938044,6.28318530717959,12,0,12,0,1,6,1
C09_S2_boundary,ENGINEERING_PRIMARY,12,d,1,0,0.261799387799149,12,0,12,0,1,6,1
C09_S2_boundary,ENGINEERING_PRIMARY,12,d,2,0.261799387799149,0.523598775598299,12,0,12,0,1,6,1
C09_S2_boundary,ENGINEERING_PRIMARY,12,d,3,0.523598775598299,0.785398163397448,12,0,12,0,1,6,1
C09_S2_boundary,ENGINEERING_PRIMARY,12,d,4,0.785398163397448,1.0471975511966,12,0,12,0,1,6,1
C09_S2_boundary,ENGINEERING_PRIMARY,12,d,5,1.0471975511966,1.30899693899575,12,6,6,0.5,1,6,1
C09_S2_boundary,ENGINEERING_PRIMARY,12,d,6,1.30899693899575,1.5707963267949,12,0,12,0,1,6,1
C09_S2_boundary,ENGINEERING_PRIMARY,12,d,7,1.5707963267949,1.83259571459405,12,0,12,0,1,6,1
C09_S2_boundary,ENGINEERING_PRIMARY,12,d,8,1.83259571459405,2.0943951023932,12,0,12,0,1,6,1
C09_S2_boundary,ENGINEERING_PRIMARY,12,d,9,2.0943951023932,2.35619449019234,12,0,12,0,1,6,1
C09_S2_boundary,ENGINEERING_PRIMARY,12,d,10,2.35619449019234,2.61799387799149,12,0,12,0,1,6,1
C09_S2_boundary,ENGINEERING_PRIMARY,12,d,11,2.61799387799149,2.87979326579064,12,0,12,0,1,6,1
C09_S2_boundary,ENGINEERING_PRIMARY,12,d,12,2.87979326579064,3.14159265358979,12,0,12,0,1,6,1
C09_S2_boundary,ENGINEERING_PRIMARY,12,d,13,3.14159265358979,3.40339204138894,12,0,12,0,1,6,1
C09_S2_boundary,ENGINEERING_PRIMARY,12,d,14,3.40339204138894,3.66519142918809,12,0,12,0,1,6,1
C09_S2_boundary,ENGINEERING_PRIMARY,12,d,15,3.66519142918809,3.92699081698724,12,0,12,0,1,6,1
C09_S2_boundary,ENGINEERING_PRIMARY,12,d,16,3.92699081698724,4.18879020478639,12,0,12,0,1,6,1
C09_S2_boundary,ENGINEERING_PRIMARY,12,d,17,4.18879020478639,4.45058959258554,12,0,12,0,1,6,1
C09_S2_boundary,ENGINEERING_PRIMARY,12,d,18,4.45058959258554,4.71238898038469,24,0,24,0,1,6,1
C09_S2_boundary,ENGINEERING_PRIMARY,12,d,19,4.71238898038469,4.97418836818384,12,0,12,0,1,6,1
C09_S2_boundary,ENGINEERING_PRIMARY,12,d,20,4.97418836818384,5.23598775598299,12,0,12,0,1,6,1
C09_S2_boundary,ENGINEERING_PRIMARY,12,d,21,5.23598775598299,5.49778714378214,12,0,12,0,1,6,1
C09_S2_boundary,ENGINEERING_PRIMARY,12,d,22,5.49778714378214,5.75958653158129,12,0,12,0,1,6,1
C09_S2_boundary,ENGINEERING_PRIMARY,12,d,23,5.75958653158129,6.02138591938044,12,0,12,0,1,6,1
C09_S2_boundary,ENGINEERING_PRIMARY,12,d,24,6.02138591938044,6.28318530717959,12,0,12,0,1,6,1
D02_id_step,SECONDARY_DYNAMIC,6,d,1,0,0.261799387799149,13,0,13,0,0.671370402561427,4,1
D02_id_step,SECONDARY_DYNAMIC,6,d,2,0.261799387799149,0.523598775598299,13,0,13,0,0.671370402561427,4,1
D02_id_step,SECONDARY_DYNAMIC,6,d,3,0.523598775598299,0.785398163397448,15,1,14,0.0666666666666667,0.671370402561427,4,1
D02_id_step,SECONDARY_DYNAMIC,6,d,4,0.785398163397448,1.0471975511966,14,1,13,0.0714285714285714,0.671370402561427,4,1
D02_id_step,SECONDARY_DYNAMIC,6,d,5,1.0471975511966,1.30899693899575,15,0,15,0,0.671370402561427,4,1
D02_id_step,SECONDARY_DYNAMIC,6,d,6,1.30899693899575,1.5707963267949,13,0,13,0,0.671370402561427,4,1
D02_id_step,SECONDARY_DYNAMIC,6,d,7,1.5707963267949,1.83259571459405,14,0,14,0,0.671370402561427,4,1
D02_id_step,SECONDARY_DYNAMIC,6,d,8,1.83259571459405,2.0943951023932,13,0,13,0,0.671370402561427,4,1
D02_id_step,SECONDARY_DYNAMIC,6,d,9,2.0943951023932,2.35619449019234,14,0,14,0,0.671370402561427,4,1
D02_id_step,SECONDARY_DYNAMIC,6,d,10,2.35619449019234,2.61799387799149,15,1,14,0.0666666666666667,0.671370402561427,4,1
D02_id_step,SECONDARY_DYNAMIC,6,d,11,2.61799387799149,2.87979326579064,13,0,13,0,0.671370402561427,4,1
D02_id_step,SECONDARY_DYNAMIC,6,d,12,2.87979326579064,3.14159265358979,15,0,15,0,0.671370402561427,4,1
D02_id_step,SECONDARY_DYNAMIC,6,d,13,3.14159265358979,3.40339204138894,13,0,13,0,0.671370402561427,4,1
D02_id_step,SECONDARY_DYNAMIC,6,d,14,3.40339204138894,3.66519142918809,14,0,14,0,0.671370402561427,4,1
D02_id_step,SECONDARY_DYNAMIC,6,d,15,3.66519142918809,3.92699081698724,15,0,15,0,0.671370402561427,4,1
D02_id_step,SECONDARY_DYNAMIC,6,d,16,3.92699081698724,4.18879020478639,13,0,13,0,0.671370402561427,4,1
D02_id_step,SECONDARY_DYNAMIC,6,d,17,4.18879020478639,4.45058959258554,15,0,15,0,0.671370402561427,4,1
D02_id_step,SECONDARY_DYNAMIC,6,d,18,4.45058959258554,4.71238898038469,13,0,13,0,0.671370402561427,4,1
D02_id_step,SECONDARY_DYNAMIC,6,d,19,4.71238898038469,4.97418836818384,14,0,14,0,0.671370402561427,4,1
D02_id_step,SECONDARY_DYNAMIC,6,d,20,4.97418836818384,5.23598775598299,14,0,14,0,0.671370402561427,4,1
D02_id_step,SECONDARY_DYNAMIC,6,d,21,5.23598775598299,5.49778714378214,13,0,13,0,0.671370402561427,4,1
D02_id_step,SECONDARY_DYNAMIC,6,d,22,5.49778714378214,5.75958653158129,15,0,15,0,0.671370402561427,4,1
D02_id_step,SECONDARY_DYNAMIC,6,d,23,5.75958653158129,6.02138591938044,14,0,14,0,0.671370402561427,4,1
D02_id_step,SECONDARY_DYNAMIC,6,d,24,6.02138591938044,6.28318530717959,14,1,13,0.0714285714285714,0.671370402561427,4,1
D02_id_step,SECONDARY_DYNAMIC,12,q,1,0,0.261799387799149,18,0,18,0,0.333683968795954,4,1
D02_id_step,SECONDARY_DYNAMIC,12,q,2,0.261799387799149,0.523598775598299,13,1,12,0.0769230769230769,0.333683968795954,4,1
D02_id_step,SECONDARY_DYNAMIC,12,q,3,0.523598775598299,0.785398163397448,13,0,13,0,0.333683968795954,4,1
D02_id_step,SECONDARY_DYNAMIC,12,q,4,0.785398163397448,1.0471975511966,14,0,14,0,0.333683968795954,4,1
