cohort,case_id,evidence_role,category,range_class,model,sample_count,residual_rms_before,residual_rms_after,rms_relative_reduction,false_safe_count,false_safe_rate,false_safe_relative_reduction,false_safe_absolute_change_pp,false_alarm_count,false_alarm_rate,false_alarm_change_pp,maximum_consecutive_false_safe,improved_case_count,false_safe_improved_case_count,effective_in_multiple_cases
ALL_VALIDATION,,,,,B0,4219,0.0348290800554811,0.0348290800554811,0,138,0.0327091727897606,0,0,0,0,0,2,0,0,0
ALL_VALIDATION,,,,,mean_trend,4219,0.0348290800554811,0.0350924391428159,-0.00756147124515771,129,0.0305759658686893,0.0652173913043478,-0.213320692107134,4,0.000948091964920597,0.0948091964920597,2,0,6,1
ALL_VALIDATION,,,,,6,4219,0.0348290800554811,0.0325506795805011,0.0654166136846166,107,0.025361460061626,0.22463768115942,-0.734771272813463,5,0.00118511495615075,0.118511495615075,2,14,11,1
ALL_VALIDATION,,,,,12,4219,0.0348290800554811,0.0327740372887681,0.0590036476254721,113,0.0267835980090069,0.181159420289855,-0.592557478075373,11,0.00260725290353164,0.260725290353164,2,14,10,1
ALL_VALIDATION,,,,,6+12,4219,0.0348290800554811,0.0303387272893173,0.128925391052846,95,0.0225171841668642,0.311594202898551,-1.01919886228964,16,0.00379236785968239,0.379236785968239,2,14,11,1
ENGINEERING_PRIMARY_VALIDATION,,,,,B0,3302,0.0386241933347546,0.0386241933347546,0,118,0.0357359176256814,0,0,0,0,0,2,0,0,0
ENGINEERING_PRIMARY_VALIDATION,,,,,mean_trend,3302,0.0386241933347546,0.0388940528481073,-0.00698679998346585,112,0.0339188370684434,0.0508474576271187,-0.181708055723804,3,0.000908540278619019,0.0908540278619019,2,0,4,1
ENGINEERING_PRIMARY_VALIDATION,,,,,6,3302,0.0386241933347546,0.0363207732454767,0.0596367170522955,98,0.0296789824348879,0.169491525423729,-0.605693519079346,5,0.00151423379769836,0.151423379769836,2,11,8,1
ENGINEERING_PRIMARY_VALIDATION,,,,,12,3302,0.0386241933347546,0.0363861774898242,0.0579433679179692,100,0.0302846759539673,0.152542372881356,-0.545124167171412,9,0.00272562083585706,0.272562083585706,2,11,7,1
ENGINEERING_PRIMARY_VALIDATION,,,,,6+12,3302,0.0386241933347546,0.0339279459178745,0.121588232954872,88,0.0266505148394912,0.254237288135593,-0.908540278619019,15,0.00454270139309509,0.454270139309509,2,11,8,1
CORE_VALIDATION,,,,,B0,968,0.0153362067363101,0.0153362067363101,0,14,0.0144628099173554,0,0,0,0,0,2,0,0,0
CORE_VALIDATION,,,,,mean_trend,968,0.0153362067363101,0.0159815578095848,-0.0420802278145294,12,0.012396694214876,0.142857142857143,-0.206611570247934,0,0,0,2,0,1,0
CORE_VALIDATION,,,,,6,968,0.0153362067363101,0.0116740784720311,0.238789703819557,4,0.00413223140495868,0.714285714285714,-1.03305785123967,0,0,0,2,3,3,1
CORE_VALIDATION,,,,,12,968,0.0153362067363101,0.0130984956731661,0.145910335040415,13,0.0134297520661157,0.0714285714285714,-0.103305785123967,0,0,0,2,3,1,0
CORE_VALIDATION,,,,,6+12,968,0.0153362067363101,0.00852343684965217,0.444227833113908,10,0.0103305785123967,0.285714285714286,-0.413223140495868,0,0,0,2,3,2,1
PARAMETER_VALIDATION,,,,,B0,2334,0.0448664791513534,0.0448664791513534,0,104,0.0445586975149957,0,0,0,0,0,1,0,0,0
PARAMETER_VALIDATION,,,,,mean_trend,2334,0.0448664791513534,0.0451022577828344,-0.00525511776142729,100,0.0428449014567266,0.0384615384615385,-0.171379605826907,3,0.0012853470437018,0.12853470437018,1,0,3,1
PARAMETER_VALIDATION,,,,,6,2334,0.0448664791513534,0.0425417314075117,0.0518148022268334,94,0.0402742073693231,0.0961538461538461,-0.428449014567266,5,0.00214224507283633,0.214224507283633,1,8,5,1
PARAMETER_VALIDATION,,,,,12,2334,0.0448664791513534,0.0424486962304631,0.0538884032494308,87,0.0372750642673522,0.163461538461538,-0.728363324764353,9,0.0038560411311054,0.38560411311054,1,8,6,1
PARAMETER_VALIDATION,,,,,6+12,2334,0.0448664791513534,0.0399797838770138,0.108916397425676,78,0.0334190231362468,0.25,-1.11396743787489,15,0.006426735218509,0.6426735218509,1,8,6,1
DYNAMIC_SECONDARY_VALIDATION,,,,,B0,917,0.0144662726970365,0.0144662726970365,0,20,0.0218102508178844,0,0,0,0,0,2,0,0,0
DYNAMIC_SECONDARY_VALIDATION,,,,,mean_trend,917,0.0144662726970365,0.0147874568760234,-0.0222022759914333,17,0.0185387131952017,0.15,-0.327153762268266,1,0.00109051254089422,0.109051254089422,2,0,2,1
DYNAMIC_SECONDARY_VALIDATION,,,,,6,917,0.0144662726970365,0.0111612560898808,0.228463590889779,9,0.00981461286804798,0.55,-1.19956379498364,0,0,0,2,3,3,1
DYNAMIC_SECONDARY_VALIDATION,,,,,12,917,0.0144662726970365,0.0132128939397551,0.0866414441045426,13,0.0141766630316249,0.35,-0.763358778625954,2,0.00218102508178844,0.218102508178844,2,3,3,1
DYNAMIC_SECONDARY_VALIDATION,,,,,6+12,917,0.0144662726970365,0.00947815545311917,0.3448101213341,7,0.00763358778625954,0.65,-1.41766630316249,1,0.00109051254089422,0.109051254089422,2,3,3,1
NORMAL_VALIDATION,,,,,B0,300,0.0206920579064926,0.0206920579064926,0,6,0.02,0,0,0,0,0,1,0,0,0
NORMAL_VALIDATION,,,,,mean_trend,300,0.0206920579064926,0.0211690526507893,-0.0230520688880851,6,0.02,0,0,0,0,0,1,0,0,0
NORMAL_VALIDATION,,,,,6,300,0.0206920579064926,0.0156570322277979,0.243331315882061,0,0,1,-2,0,0,0,0,1,1,0
NORMAL_VALIDATION,,,,,12,300,0.0206920579064926,0.0161122947601614,0.221329515267505,6,0.02,0,0,0,0,0,1,1,0,0
NORMAL_VALIDATION,,,,,6+12,300,0.0206920579064926,0.00874995894685021,0.577134425855984,6,0.02,0,0,0,0,0,1,1,0,0
REASONABLE_EXTENSION_VALIDATION,,,,,B0,3002,0.0399765450220738,0.0399765450220738,0,112,0.0373084610259827,0,0,0,0,0,2,0,0,0
REASONABLE_EXTENSION_VALIDATION,,,,,mean_trend,3002,0.0399765450220738,0.0402385173105038,-0.00655314981035238,106,0.0353097934710193,0.0535714285714285,-0.199866755496336,3,0.000999333777481679,0.0999333777481679,2,0,4,1
REASONABLE_EXTENSION_VALIDATION,,,,,6,3002,0.0399765450220738,0.0377694665599431,0.0552093348965516,98,0.0326449033977348,0.125,-0.466355762824783,5,0.0016655562958028,0.16655562958028,2,10,7,1
REASONABLE_EXTENSION_VALIDATION,,,,,12,3002,0.0399765450220738,0.0378195424358549,0.0539567034877053,94,0.0313124583610926,0.160714285714286,-0.599600266489007,9,0.00299800133244504,0.299800133244504,2,10,7,1
REASONABLE_EXTENSION_VALIDATION,,,,,6+12,3002,0.0399765450220738,0.0354751786316365,0.112600185632646,82,0.0273151232511659,0.267857142857143,-0.999333777481679,15,0.00499666888740839,0.499666888740839,2,10,8,1
