case_id,window_id,cycle_id,split,evidence_role,order,amplitude_d,amplitude_q,complex_amplitude,phase_d,phase_q
C05_negative_id,C05_negative_id__steady,1,calibration,ENGINEERING_PRIMARY,1,5.3703898174804e-05,0.000109341410646235,0.000121818113436707,1.90433675731178,-0.355247783581321
C05_negative_id,C05_negative_id__steady,1,calibration,ENGINEERING_PRIMARY,2,0.000286235985442643,0.000209900428326587,0.000354949614979374,2.55466277189343,-0.70955378884815
C05_negative_id,C05_negative_id__steady,1,calibration,ENGINEERING_PRIMARY,3,0.000262899426304898,0.000176549373353934,0.000316679316632948,1.65834620491321,-1.19368000835691
C05_negative_id,C05_negative_id__steady,1,calibration,ENGINEERING_PRIMARY,4,0.000212327174492206,0.00032701863431233,0.000389902572722142,0.833450732157918,-1.71666519284789
C05_negative_id,C05_negative_id__steady,1,calibration,ENGINEERING_PRIMARY,5,0.00103293632803635,0.000412896607820552,0.00111240328412269,1.4140077290544,-1.48197313730935
C05_negative_id,C05_negative_id__steady,1,calibration,ENGINEERING_PRIMARY,6,0.00829731418520896,0.00751099136487429,0.0111919798950537,-0.0113728072502862,-3.10036477023566
C05_negative_id,C05_negative_id__steady,1,calibration,ENGINEERING_PRIMARY,7,0.000304130345772639,0.000486383985685008,0.000573641568185761,2.45323429285576,-1.20006986014779
C05_negative_id,C05_negative_id__steady,1,calibration,ENGINEERING_PRIMARY,8,0.00142837110140477,0.00119555644660607,0.0018626860230188,1.8945183619929,-1.3820720568194
C05_negative_id,C05_negative_id__steady,1,calibration,ENGINEERING_PRIMARY,9,0.00092193841414165,0.000841999811236787,0.00124857283391591,1.54194009323861,-1.34790235120094
C05_negative_id,C05_negative_id__steady,1,calibration,ENGINEERING_PRIMARY,10,0.000878812565709739,0.000927105585438482,0.0012774334785814,2.01291940471536,-1.77033604078589
C05_negative_id,C05_negative_id__steady,1,calibration,ENGINEERING_PRIMARY,11,0.00158916582115407,0.00122411634336523,0.00200596830214691,0.50225047846485,-2.02322883751025
C05_negative_id,C05_negative_id__steady,1,calibration,ENGINEERING_PRIMARY,12,0.00306965666466489,0.00525872610492091,0.00608908796828377,-0.554205811419114,1.9175446495906
C05_negative_id,C05_negative_id__steady,1,calibration,ENGINEERING_PRIMARY,13,0.000311275307954943,0.000218038342876829,0.000380043466338941,2.19408703594842,-0.656981000386015
C05_negative_id,C05_negative_id__steady,1,calibration,ENGINEERING_PRIMARY,14,0.00182619609081114,0.00146940235949618,0.0023439572214925,1.00024731797186,-2.44268665720157
C05_negative_id,C05_negative_id__steady,1,calibration,ENGINEERING_PRIMARY,15,0.00137881488222527,0.00136449081008996,0.0019398365009108,0.698255753635706,-2.30505779644153
C05_negative_id,C05_negative_id__steady,1,calibration,ENGINEERING_PRIMARY,16,0.00207598174569148,0.00157012006120885,0.00260287864009345,1.16041728350379,-2.40757840505836
C05_negative_id,C05_negative_id__steady,1,calibration,ENGINEERING_PRIMARY,17,0.00117729324978324,0.00172469349968974,0.00208820187334875,0.275428490957879,-2.60565302879586
C05_negative_id,C05_negative_id__steady,1,calibration,ENGINEERING_PRIMARY,18,0.00487421259147833,0.00296926742653991,0.00570740724298143,-0.616052333439692,2.46637638565339
C05_negative_id,C05_negative_id__steady,1,calibration,ENGINEERING_PRIMARY,19,0.00102709352044992,0.00164298778374481,0.00193760934073019,2.05328652644483,-1.3884921070191
C05_negative_id,C05_negative_id__steady,1,calibration,ENGINEERING_PRIMARY,20,0.00105451982031298,0.00060016636191755,0.00121334731771668,0.504777046770201,-2.34150094825009
C05_negative_id,C05_negative_id__steady,2,validation,ENGINEERING_PRIMARY,1,0.000164833834299465,0.000206240990502063,0.000264018065846137,-1.23629715232055,2.09757359432683
C05_negative_id,C05_negative_id__steady,2,validation,ENGINEERING_PRIMARY,2,0.000244135592547478,0.000115190744389811,0.000269946467177452,1.18678340848614,-2.11563288839847
C05_negative_id,C05_negative_id__steady,2,validation,ENGINEERING_PRIMARY,3,0.000254984149467803,0.000130694398153666,0.000286527384709679,0.832260436828846,-2.50464456001809
C05_negative_id,C05_negative_id__steady,2,validation,ENGINEERING_PRIMARY,4,0.00027256556615011,0.000379645205047289,0.000467356897420085,1.6647320157431,-0.913560512907347
C05_negative_id,C05_negative_id__steady,2,validation,ENGINEERING_PRIMARY,5,0.00113756695436629,0.000718108910990995,0.00134526539526997,-1.49018744086212,1.59724341331801
C05_negative_id,C05_negative_id__steady,2,validation,ENGINEERING_PRIMARY,6,0.00847640906912168,0.00757421719891665,0.0113674217342128,0.00214396582567221,-3.11591763304192
C05_negative_id,C05_negative_id__steady,2,validation,ENGINEERING_PRIMARY,7,0.00075449817495097,0.0007416092686612,0.00105794697568855,-1.12712250714526,1.74722596897511
C05_negative_id,C05_negative_id__steady,2,validation,ENGINEERING_PRIMARY,8,0.000913201570040084,0.000891023219364955,0.00127587596770657,1.06829734985524,-1.62487743801269
C05_negative_id,C05_negative_id__steady,2,validation,ENGINEERING_PRIMARY,9,0.00102552503744192,0.000844660744026398,0.0013285907477171,-0.892652614719511,1.95784843065315
C05_negative_id,C05_negative_id__steady,2,validation,ENGINEERING_PRIMARY,10,0.000479937523618313,0.000690835188502064,0.000841185641965887,2.15967873158744,-1.69569181751715
C05_negative_id,C05_negative_id__steady,2,validation,ENGINEERING_PRIMARY,11,0.00166056855597799,0.00139753907072897,0.00217039244914758,-2.12027599325979,1.24882395120475
C05_negative_id,C05_negative_id__steady,2,validation,ENGINEERING_PRIMARY,12,0.00342370338610521,0.00537097062837936,0.0063693853994669,-0.622253560615013,1.85157068210397
C05_negative_id,C05_negative_id__steady,2,validation,ENGINEERING_PRIMARY,13,0.00129733134336033,0.00100548949944622,0.00164136459933853,-1.47293900065479,1.61743649599879
C05_negative_id,C05_negative_id__steady,2,validation,ENGINEERING_PRIMARY,14,0.00161621117383001,0.00178253401464453,0.00240615171420626,0.428721839598415,-2.78981589839199
C05_negative_id,C05_negative_id__steady,2,validation,ENGINEERING_PRIMARY,15,0.00176100331633891,0.00144285971843914,0.00227661521721412,-2.35887085955561,0.496534792301315
C05_negative_id,C05_negative_id__steady,2,validation,ENGINEERING_PRIMARY,16,0.000880904001058754,0.000615591480921594,0.00107468354898759,1.20741719817187,-2.38787847693247
C05_negative_id,C05_negative_id__steady,2,validation,ENGINEERING_PRIMARY,17,0.00149869334357185,0.00176536684444392,0.00231572922284288,-2.27227368352482,0.837818983292136
C05_negative_id,C05_negative_id__steady,2,validation,ENGINEERING_PRIMARY,18,0.00459786056028222,0.00245320708479099,0.00521138625824909,-0.679394410210897,2.59752675009784
C05_negative_id,C05_negative_id__steady,2,validation,ENGINEERING_PRIMARY,19,0.00153198199747645,0.00184195079012345,0.00239577785986688,-1.81002597457015,1.23926054917307
C05_negative_id,C05_negative_id__steady,2,validation,ENGINEERING_PRIMARY,20,0.000677751570352881,0.000418602928545912,0.000796602537595137,-0.0595029515285358,2.97333462706376
C05_negative_id,C05_negative_id__steady,3,validation,ENGINEERING_PRIMARY,1,0.000111067151749983,0.000140232539877938,0.000178888449706713,1.90513559757031,-1.56143449506991
C05_negative_id,C05_negative_id__steady,3,validation,ENGINEERING_PRIMARY,2,9.25434775297684e-05,0.000129663527536814,0.000159301367246464,0.217382349954926,-2.9578282582858
C05_negative_id,C05_negative_id__steady,3,validation,ENGINEERING_PRIMARY,3,0.000471678205311913,0.000246544787074865,0.000532226137464196,-1.85532094208547,1.37430227069802
C05_negative_id,C05_negative_id__steady,3,validation,ENGINEERING_PRIMARY,4,0.000279854548921739,0.000194899835512961,0.000341034476901045,-2.64568528490408,-0.403659901022518
C05_negative_id,C05_negative_id__steady,3,validation,ENGINEERING_PRIMARY,5,0.000276972842925696,0.000306506640070129,0.00041311048900436,2.71979492776346,-1.62775317576261
C05_negative_id,C05_negative_id__steady,3,validation,ENGINEERING_PRIMARY,6,0.00906655616113317,0.00779969206787824,0.011959834320621,-0.104510044188055,3.09765876255439
C05_negative_id,C05_negative_id__steady,3,validation,ENGINEERING_PRIMARY,7,0.000495110246880572,0.000281482011609864,0.000569531631629075,1.7504568742163,-1.73498814609414
C05_negative_id,C05_negative_id__steady,3,validation,ENGINEERING_PRIMARY,8,0.000205016667264404,0.00017997749657085,0.000272807135405425,2.01992595656962,-1.7990293269131
C05_negative_id,C05_negative_id__steady,3,validation,ENGINEERING_PRIMARY,9,0.000683985632815243,0.000133462111341369,0.000696884840602351,-2.96911188665471,0.287752761059485
C05_negative_id,C05_negative_id__steady,3,validation,ENGINEERING_PRIMARY,10,0.000687302445427552,0.000134053172051673,0.000700253457276584,2.6717953556542,-1.27109619316112
C05_negative_id,C05_negative_id__steady,3,validation,ENGINEERING_PRIMARY,11,0.000836305874554318,0.000243689775486566,0.000871086805370598,2.2501459915588,-1.17781944519552
C05_negative_id,C05_negative_id__steady,3,validation,ENGINEERING_PRIMARY,12,0.00431667685909027,0.00665725208577222,0.00793427403354106,-0.985598529538011,1.82863320670912
C05_negative_id,C05_negative_id__steady,3,validation,ENGINEERING_PRIMARY,13,0.00103935944436392,0.000880426498782204,0.00136213761211794,1.5188528799315,-1.71571739804258
C05_negative_id,C05_negative_id__steady,3,validation,ENGINEERING_PRIMARY,14,0.000844935761906835,0.000777281648223176,0.00114807804717868,1.15877941262957,-2.51081044421492
C05_negative_id,C05_negative_id__steady,3,validation,ENGINEERING_PRIMARY,15,0.000410455357817079,0.000481133418890791,0.00063242625462127,1.08583975920751,2.39785631011947
C05_negative_id,C05_negative_id__steady,3,validation,ENGINEERING_PRIMARY,16,0.000415524211024161,0.000262715563442449,0.000491609435652057,1.84432063948464,0.799879621440541
C05_negative_id,C05_negative_id__steady,3,validation,ENGINEERING_PRIMARY,17,0.000841093451416692,0.000526124250122346,0.000992091185618965,1.76794726897629,-0.960724139377371
C05_negative_id,C05_negative_id__steady,3,validation,ENGINEERING_PRIMARY,18,0.00509855844027543,0.0035555519343586,0.00621588672088102,-0.9853598782159,1.88685520341507
C05_negative_id,C05_negative_id__steady,3,validation,ENGINEERING_PRIMARY,19,0.0010210902862066,0.000905563809953367,0.00136479712282915,0.60305348954624,-3.00331726397804
C05_negative_id,C05_negative_id__steady,3,validation,ENGINEERING_PRIMARY,20,0.000834178770765683,0.000720055643564822,0.00110196839856037,0.0223845918340433,2.14768430413895
C06_low_bus_43p2V,C06_low_bus_43p2V__steady,1,calibration,ENGINEERING_PRIMARY,1,0.000114767414523437,0.000120610435654412,0.000166488548030011,-1.75756816695558,1.83613054366762
C06_low_bus_43p2V,C06_low_bus_43p2V__steady,1,calibration,ENGINEERING_PRIMARY,2,0.000266086657897426,4.2419374182676e-05,0.000269446678986904,1.17341933020294,-2.96285597017008
C06_low_bus_43p2V,C06_low_bus_43p2V__steady,1,calibration,ENGINEERING_PRIMARY,3,0.00023304911811327,0.00012653120276664,0.000265183024960018,0.513364524045028,-0.473642695000947
C06_low_bus_43p2V,C06_low_bus_43p2V__steady,1,calibration,ENGINEERING_PRIMARY,4,9.45487390440177e-05,0.000240415819334419,0.000258339370288491,-1.44823327106842,-0.740953927293217
C06_low_bus_43p2V,C06_low_bus_43p2V__steady,1,calibration,ENGINEERING_PRIMARY,5,0.000715415566829539,0.00048000120386275,0.000861522251002096,-1.92291865648425,1.43421713151503
C06_low_bus_43p2V,C06_low_bus_43p2V__steady,1,calibration,ENGINEERING_PRIMARY,6,0.00811617502224084,0.00751445868274225,0.0110607136427215,-0.274622497263114,2.85994325239319
C06_low_bus_43p2V,C06_low_bus_43p2V__steady,1,calibration,ENGINEERING_PRIMARY,7,0.000294661888537449,0.000318559493298452,0.000433942138224698,-0.617167427535528,0.397692038112643
C06_low_bus_43p2V,C06_low_bus_43p2V__steady,1,calibration,ENGINEERING_PRIMARY,8,0.000851851797864721,0.000392319365251142,0.000937851784599473,-0.756131120312459,-2.69027849112524
