transfer_type,case_id,evidence_role,held_out_id,model,donor_case_count,donor_cases,train_cycle_count,test_sample_count,rms_before,rms_after,rms_relative_reduction,transfer_pass,valid
leave_one_case_out_same_speed,P05_cross_mismatch,ENGINEERING_PRIMARY,P05_cross_mismatch,6+12,3,P06_controller_high_L;P07_controller_low_L;P08_opposed_20pct,6,250,0.0354890138804281,0.0387253491851021,-0.0911925959841577,0,1
leave_one_case_out_same_speed,P06_controller_high_L,ENGINEERING_PRIMARY,P06_controller_high_L,6,3,P05_cross_mismatch;P07_controller_low_L;P08_opposed_20pct,6,250,0.0767808573547519,0.0769396874533412,-0.00206861585115448,0,1
leave_one_case_out_same_speed,P06_controller_high_L,ENGINEERING_PRIMARY,P06_controller_high_L,12,3,P05_cross_mismatch;P07_controller_low_L;P08_opposed_20pct,6,250,0.0767808573547519,0.0776704800539673,-0.0115865168723637,0,1
leave_one_case_out_same_speed,P06_controller_high_L,ENGINEERING_PRIMARY,P06_controller_high_L,6+12,3,P05_cross_mismatch;P07_controller_low_L;P08_opposed_20pct,6,250,0.0767808573547519,0.0778343471908404,-0.0137207355112108,0,1
leave_one_case_out_same_speed,P07_controller_low_L,ENGINEERING_PRIMARY,P07_controller_low_L,6,3,P05_cross_mismatch;P06_controller_high_L;P08_opposed_20pct,6,250,0.0562560305742246,0.0559595774587083,0.0052697126421879,1,1
leave_one_case_out_same_speed,P07_controller_low_L,ENGINEERING_PRIMARY,P07_controller_low_L,12,3,P05_cross_mismatch;P06_controller_high_L;P08_opposed_20pct,6,250,0.0562560305742246,0.0595943608916421,-0.0593417324923584,0,1
leave_one_case_out_same_speed,P07_controller_low_L,ENGINEERING_PRIMARY,P07_controller_low_L,6+12,3,P05_cross_mismatch;P06_controller_high_L;P08_opposed_20pct,6,250,0.0562560305742246,0.0593120271445743,-0.0543230039367544,0,1
leave_one_case_out_same_speed,P08_opposed_20pct,ENGINEERING_PRIMARY,P08_opposed_20pct,6,3,P05_cross_mismatch;P06_controller_high_L;P07_controller_low_L,6,249,0.0737227694603529,0.0760923567606836,-0.032141864958084,0,1
leave_one_case_out_same_speed,P08_opposed_20pct,ENGINEERING_PRIMARY,P08_opposed_20pct,12,3,P05_cross_mismatch;P06_controller_high_L;P07_controller_low_L,6,249,0.0737227694603529,0.0767643692300898,-0.0412572640990181,0,1
leave_one_case_out_same_speed,P08_opposed_20pct,ENGINEERING_PRIMARY,P08_opposed_20pct,6+12,3,P05_cross_mismatch;P06_controller_high_L;P07_controller_low_L,6,249,0.0737227694603529,0.0789991654179721,-0.0715707778782884,0,1
