cohort,case_id,evidence_role,category,range_class,model,sample_count,residual_rms_before,residual_rms_after,rms_relative_reduction,false_safe_count,false_safe_rate,false_safe_relative_reduction,false_safe_absolute_change_pp,false_alarm_count,false_alarm_rate,false_alarm_change_pp,maximum_consecutive_false_safe,improved_case_count,false_safe_improved_case_count,effective_in_multiple_cases
CASE:D04_torque_ramp,D04_torque_ramp,SECONDARY_DYNAMIC,dynamic,normal,6,250,0.0184571981779873,0.0141232523792755,0.234810601095493,6,0.024,0.4,-1.6,0,0,0,1,0,0,0
CASE:D04_torque_ramp,D04_torque_ramp,SECONDARY_DYNAMIC,dynamic,normal,12,250,0.0184571981779873,0.0156875206398909,0.150059478767453,8,0.032,0.2,-0.8,0,0,0,1,0,0,0
CASE:D04_torque_ramp,D04_torque_ramp,SECONDARY_DYNAMIC,dynamic,normal,6+12,250,0.0184571981779873,0.0102401595600182,0.445194256394184,4,0.016,0.6,-2.4,0,0,0,1,0,0,0
CASE:P01_Ld_minus10,P01_Ld_minus10,ENGINEERING_PRIMARY,parameter,reasonable_extension,B0,334,0.0248133175556565,0.0248133175556565,0,18,0.0538922155688623,0,0,0,0,0,1,0,0,0
CASE:P01_Ld_minus10,P01_Ld_minus10,ENGINEERING_PRIMARY,parameter,reasonable_extension,mean_trend,334,0.0248133175556565,0.0253401575674068,-0.0212321472357959,17,0.0508982035928144,0.0555555555555556,-0.299401197604791,0,0,0,1,0,0,0
CASE:P01_Ld_minus10,P01_Ld_minus10,ENGINEERING_PRIMARY,parameter,reasonable_extension,6,334,0.0248133175556565,0.0234271257073049,0.0558648332792405,15,0.0449101796407186,0.166666666666667,-0.898203592814371,0,0,0,1,0,0,0
CASE:P01_Ld_minus10,P01_Ld_minus10,ENGINEERING_PRIMARY,parameter,reasonable_extension,12,334,0.0248133175556565,0.023989172781133,0.0332138083782995,17,0.0508982035928144,0.0555555555555556,-0.299401197604791,0,0,0,1,0,0,0
CASE:P01_Ld_minus10,P01_Ld_minus10,ENGINEERING_PRIMARY,parameter,reasonable_extension,6+12,334,0.0248133175556565,0.0225508327570201,0.0911802621137486,15,0.0449101796407186,0.166666666666667,-0.898203592814371,0,0,0,1,0,0,0
CASE:P02_Ld_plus10,P02_Ld_plus10,ENGINEERING_PRIMARY,parameter,reasonable_extension,B0,334,0.0215490999324604,0.0215490999324604,0,1,0.0029940119760479,0,0,0,0,0,1,0,0,0
CASE:P02_Ld_plus10,P02_Ld_plus10,ENGINEERING_PRIMARY,parameter,reasonable_extension,mean_trend,334,0.0215490999324604,0.0218331842717586,-0.0131831185612656,1,0.0029940119760479,0,0,0,0,0,1,0,0,0
CASE:P02_Ld_plus10,P02_Ld_plus10,ENGINEERING_PRIMARY,parameter,reasonable_extension,6,334,0.0215490999324604,0.0196045829680985,0.0902365746345075,1,0.0029940119760479,0,0,1,0.0029940119760479,0.29940119760479,1,0,0,0
CASE:P02_Ld_plus10,P02_Ld_plus10,ENGINEERING_PRIMARY,parameter,reasonable_extension,12,334,0.0215490999324604,0.0212862350707328,0.0121984149013896,1,0.0029940119760479,0,0,2,0.00598802395209581,0.598802395209581,1,0,0,0
CASE:P02_Ld_plus10,P02_Ld_plus10,ENGINEERING_PRIMARY,parameter,reasonable_extension,6+12,334,0.0215490999324604,0.0193171595771552,0.103574644059411,1,0.0029940119760479,0,0,5,0.0149700598802395,1.49700598802395,1,0,0,0
CASE:P03_Lq_minus10,P03_Lq_minus10,ENGINEERING_PRIMARY,parameter,reasonable_extension,B0,333,0.025199880818792,0.025199880818792,0,21,0.0630630630630631,0,0,0,0,0,1,0,0,0
CASE:P03_Lq_minus10,P03_Lq_minus10,ENGINEERING_PRIMARY,parameter,reasonable_extension,mean_trend,333,0.025199880818792,0.0256771117152911,-0.0189378235528501,20,0.0600600600600601,0.0476190476190475,-0.3003003003003,0,0,0,1,0,0,0
CASE:P03_Lq_minus10,P03_Lq_minus10,ENGINEERING_PRIMARY,parameter,reasonable_extension,6,333,0.025199880818792,0.0239507362035942,0.0495694651962911,20,0.0600600600600601,0.0476190476190475,-0.3003003003003,0,0,0,1,0,0,0
CASE:P03_Lq_minus10,P03_Lq_minus10,ENGINEERING_PRIMARY,parameter,reasonable_extension,12,333,0.025199880818792,0.0245322775170209,0.0264923198078477,20,0.0600600600600601,0.0476190476190475,-0.3003003003003,0,0,0,1,0,0,0
CASE:P03_Lq_minus10,P03_Lq_minus10,ENGINEERING_PRIMARY,parameter,reasonable_extension,6+12,333,0.025199880818792,0.0232459957859532,0.0775354870480883,21,0.0630630630630631,0,0,0,0,0,1,0,0,0
CASE:P04_Lq_plus10,P04_Lq_plus10,ENGINEERING_PRIMARY,parameter,reasonable_extension,B0,334,0.0240341546641681,0.0240341546641681,0,8,0.0239520958083832,0,0,0,0,0,1,0,0,0
CASE:P04_Lq_plus10,P04_Lq_plus10,ENGINEERING_PRIMARY,parameter,reasonable_extension,mean_trend,334,0.0240341546641681,0.0244213886049883,-0.0161118186277454,8,0.0239520958083832,0,0,0,0,0,1,0,0,0
CASE:P04_Lq_plus10,P04_Lq_plus10,ENGINEERING_PRIMARY,parameter,reasonable_extension,6,334,0.0240341546641681,0.0221722538842135,0.0774689522461297,6,0.0179640718562874,0.25,-0.598802395209581,0,0,0,1,0,0,0
CASE:P04_Lq_plus10,P04_Lq_plus10,ENGINEERING_PRIMARY,parameter,reasonable_extension,12,334,0.0240341546641681,0.0230689716695425,0.040158807668177,7,0.0209580838323353,0.125,-0.299401197604791,3,0.00898203592814371,0.898203592814371,1,0,0,0
CASE:P04_Lq_plus10,P04_Lq_plus10,ENGINEERING_PRIMARY,parameter,reasonable_extension,6+12,334,0.0240341546641681,0.0211177042778857,0.121346077157038,3,0.00898203592814371,0.625,-1.49700598802395,0,0,0,1,0,0,0
