transfer_type,case_id,evidence_role,held_out_id,model,donor_case_count,donor_cases,train_cycle_count,test_sample_count,rms_before,rms_after,rms_relative_reduction,transfer_pass,valid
leave_one_cycle_out,D02_id_step,SECONDARY_DYNAMIC,1,6+12,0,,2,167,0.0124988824309268,0.00866830503964871,0.306473591734879,1,1
leave_one_cycle_out,D02_id_step,SECONDARY_DYNAMIC,2,6,0,,2,167,0.0127831025134682,0.00967261525122047,0.243328038633074,1,1
leave_one_cycle_out,D02_id_step,SECONDARY_DYNAMIC,2,12,0,,2,167,0.0127831025134682,0.0122145630137976,0.0444758617144427,1,1
leave_one_cycle_out,D02_id_step,SECONDARY_DYNAMIC,2,6+12,0,,2,167,0.0127831025134682,0.00889935401557295,0.303818927666687,1,1
leave_one_cycle_out,D02_id_step,SECONDARY_DYNAMIC,3,6,0,,2,167,0.0131562998959834,0.0106173243351944,0.192985533992286,1,1
leave_one_cycle_out,D02_id_step,SECONDARY_DYNAMIC,3,12,0,,2,167,0.0131562998959834,0.0126261921355365,0.0402930736330175,1,1
leave_one_cycle_out,D02_id_step,SECONDARY_DYNAMIC,3,6+12,0,,2,167,0.0131562998959834,0.00994808436681047,0.243853937242064,1,1
leave_one_cycle_out,D03_id_iq_step,SECONDARY_DYNAMIC,1,6,0,,2,167,0.0126485316184653,0.00995567675997027,0.212898614615773,1,1
leave_one_cycle_out,D03_id_iq_step,SECONDARY_DYNAMIC,1,12,0,,2,167,0.0126485316184653,0.0122070215700615,0.0349060319190991,1,1
leave_one_cycle_out,D03_id_iq_step,SECONDARY_DYNAMIC,1,6+12,0,,2,167,0.0126485316184653,0.00938741988102841,0.257825322006239,1,1
leave_one_cycle_out,D03_id_iq_step,SECONDARY_DYNAMIC,2,6,0,,2,167,0.0124509682869291,0.00971436056145515,0.219790755418342,1,1
leave_one_cycle_out,D03_id_iq_step,SECONDARY_DYNAMIC,2,12,0,,2,167,0.0124509682869291,0.0119747639096009,0.0382463730012199,1,1
leave_one_cycle_out,D03_id_iq_step,SECONDARY_DYNAMIC,2,6+12,0,,2,167,0.0124509682869291,0.009093182821278,0.269680669669369,1,1
leave_one_cycle_out,D03_id_iq_step,SECONDARY_DYNAMIC,3,6,0,,2,166,0.0121863236273233,0.00923666246339537,0.242046843177086,1,1
leave_one_cycle_out,D03_id_iq_step,SECONDARY_DYNAMIC,3,12,0,,2,166,0.0121863236273233,0.0116510702476527,0.0439224655474013,1,1
leave_one_cycle_out,D03_id_iq_step,SECONDARY_DYNAMIC,3,6+12,0,,2,166,0.0121863236273233,0.0085212878309176,0.30074991510879,1,1
leave_one_cycle_out,D04_torque_ramp,SECONDARY_DYNAMIC,1,6,0,,3,126,0.0187446079220007,0.0142489910355275,0.239835205152339,1,1
leave_one_cycle_out,D04_torque_ramp,SECONDARY_DYNAMIC,1,12,0,,3,126,0.0187446079220007,0.0158189181508231,0.156081673372518,1,1
leave_one_cycle_out,D04_torque_ramp,SECONDARY_DYNAMIC,1,6+12,0,,3,126,0.0187446079220007,0.0102569674513348,0.452804374782568,1,1
leave_one_cycle_out,D04_torque_ramp,SECONDARY_DYNAMIC,2,6,0,,3,125,0.0184571981779894,0.0141228505090318,0.234832374185937,1,1
leave_one_cycle_out,D04_torque_ramp,SECONDARY_DYNAMIC,2,12,0,,3,125,0.0184571981779894,0.0156870926383312,0.150082667637045,1,1
leave_one_cycle_out,D04_torque_ramp,SECONDARY_DYNAMIC,2,6+12,0,,3,125,0.0184571981779894,0.0102399103718951,0.445207757258281,1,1
leave_one_cycle_out,D04_torque_ramp,SECONDARY_DYNAMIC,3,6,0,,3,125,0.0184571981779849,0.0141228505090275,0.234832374185979,1,1
leave_one_cycle_out,D04_torque_ramp,SECONDARY_DYNAMIC,3,12,0,,3,125,0.0184571981779849,0.015687092638331,0.150082667636845,1,1
leave_one_cycle_out,D04_torque_ramp,SECONDARY_DYNAMIC,3,6+12,0,,3,125,0.0184571981779849,0.0102399103718958,0.445207757258109,1,1
leave_one_cycle_out,D04_torque_ramp,SECONDARY_DYNAMIC,4,6,0,,3,125,0.0184571981779898,0.0141228505090298,0.234832374186059,1,1
leave_one_cycle_out,D04_torque_ramp,SECONDARY_DYNAMIC,4,12,0,,3,125,0.0184571981779898,0.0156870926383301,0.150082667637119,1,1
leave_one_cycle_out,D04_torque_ramp,SECONDARY_DYNAMIC,4,6+12,0,,3,125,0.0184571981779898,0.0102399103718894,0.445207757258601,1,1
leave_one_cycle_out,P01_Ld_minus10,ENGINEERING_PRIMARY,1,6,0,,2,167,0.0252561651881073,0.0239380351628582,0.0521904261962065,1,1
leave_one_cycle_out,P01_Ld_minus10,ENGINEERING_PRIMARY,1,12,0,,2,167,0.0252561651881073,0.0244096972999921,0.033515297425824,1,1
leave_one_cycle_out,P01_Ld_minus10,ENGINEERING_PRIMARY,1,6+12,0,,2,167,0.0252561651881073,0.0230407921154536,0.0877161301469828,1,1
leave_one_cycle_out,P01_Ld_minus10,ENGINEERING_PRIMARY,2,6,0,,2,167,0.0247288319227487,0.0233651126512966,0.0551469343846195,1,1
leave_one_cycle_out,P01_Ld_minus10,ENGINEERING_PRIMARY,2,12,0,,2,167,0.0247288319227487,0.0239520064020937,0.0314137571512387,1,1
leave_one_cycle_out,P01_Ld_minus10,ENGINEERING_PRIMARY,2,6+12,0,,2,167,0.0247288319227487,0.0225396742807257,0.0885265284208244,1,1
leave_one_cycle_out,P01_Ld_minus10,ENGINEERING_PRIMARY,3,6,0,,2,167,0.0248975165020961,0.0234843373550712,0.0567598437742126,1,1
leave_one_cycle_out,P01_Ld_minus10,ENGINEERING_PRIMARY,3,12,0,,2,167,0.0248975165020961,0.0240200548017047,0.0352429408096812,1,1
leave_one_cycle_out,P01_Ld_minus10,ENGINEERING_PRIMARY,3,6+12,0,,2,167,0.0248975165020961,0.0225507761899981,0.094255999866511,1,1
