case_id,evidence_role,axis,order,cycle_count,calibration_cycle_count,validation_cycle_count,mean_speed,frequency_hz,amplitude_mean,amplitude_std,amplitude_cv,circular_mean_phase,phase_resultant_R,peak_snr_db,calibration_amplitude,validation_amplitude,validation_to_calibration_amplitude_ratio,validation_phase_shift,held_out_repeatable,snr_pass,cv_pass,phase_pass,stable_periodic_component
C05_negative_id,ENGINEERING_PRIMARY,d,6,3,1,2,300,359.999999999999,0.00861342647182126,0.000402509168669298,0.0467304353251407,-0.0379011518330934,0.998876297775219,27.1459396720462,0.00829731418520896,0.00877148261512742,1.05714721888725,0.0416058581840895,1,1,1,1,1
C05_negative_id,ENGINEERING_PRIMARY,q,6,3,1,2,300,359.999999999999,0.00762830021055639,0.00015175886494621,0.0198941914656425,-3.13393111200783,0.999314571945608,27.0504359284427,0.00751099136487429,0.00768695463339744,1.02342743587032,0.0508679694368438,1,1,1,1,1
C05_negative_id,ENGINEERING_PRIMARY,dq_positive,6,3,1,2,300,359.999999999999,0.0117643815158144,0.000474851963615154,0.0403635297764552,-0.742995717862668,0.99946637070212,27.1036682519172,0.0114810126786968,0.0119060659343732,1.03702227909434,0.030764477689626,1,1,1,1,1
C05_negative_id,ENGINEERING_PRIMARY,dq_negative,6,3,1,2,300,359.999999999999,0.0112417943641225,0.000350605165131231,0.0311876515238676,-0.707120294247476,0.998569930964171,27.1036682519172,0.0108952822732674,0.01141505040955,1.04770579809189,0.062140305241653,1,1,1,1,1
C05_negative_id,ENGINEERING_PRIMARY,d,12,3,1,2,300,719.999999999998,0.00360334563662012,0.00064262613155218,0.178341518232748,-0.719952591564837,0.982149929004927,14.0191642428339,0.00306965666466489,0.00387019012259774,1.26078924954307,0.270909479581216,1,1,1,1,1
C05_negative_id,ENGINEERING_PRIMARY,q,12,3,1,2,300,719.999999999998,0.00576231627302416,0.000777066464316837,0.134853143683663,1.86591157482945,0.999289907389974,20.8275736983192,0.0052587261049209,0.00601411135707579,1.14364415204055,0.0786692092499046,1,1,1,1,1
C05_negative_id,ENGINEERING_PRIMARY,dq_positive,12,3,1,2,300,719.999999999998,0.00500474354816753,0.00144178705453491,0.28808410274345,-2.18873134284244,0.999688598156672,17.7393421380713,0.0041270417599244,0.00544359444228909,1.31900638737147,0.0306848004233077,1,1,1,1,1
C05_negative_id,ENGINEERING_PRIMARY,dq_negative,12,3,1,2,300,719.999999999998,0.00818024648052106,0.00075774763849002,0.0926313944566807,0.084385492732315,0.995298769687337,17.7393421380713,0.00755787740591474,0.00849143101782422,1.12352060793933,0.165387616420541,1,1,1,1,1
C06_low_bus_43p2V,ENGINEERING_PRIMARY,d,6,3,1,2,300,359.999999999999,0.00777787118317501,0.000368559628224002,0.0473856688474432,-0.298982464304626,0.99945412395264,26.2940130195807,0.00811617502224084,0.00760871926364209,0.937475996117856,0.0375616193714088,1,1,1,1,1
C06_low_bus_43p2V,ENGINEERING_PRIMARY,q,6,3,1,2,300,359.999999999999,0.00724131471338695,0.000236712258571211,0.0326891273118683,2.83517590476875,0.999833458535895,28.9479826166199,0.00751445868274224,0.0071047427287093,0.945476318211197,0.0371580875982248,1,1,1,1,1
C06_low_bus_43p2V,ENGINEERING_PRIMARY,dq_positive,6,3,1,2,300,359.999999999999,0.0105889737217899,0.000490322085469813,0.0463049676344772,-1.05259371958187,0.999789321667854,27.3313695161939,0.0110218995823805,0.0103725107914947,0.94108195361134,0.0419304575689201,1,1,1,1,1
C06_low_bus_43p2V,ENGINEERING_PRIMARY,dq_negative,6,3,1,2,300,359.999999999999,0.0106648117809717,0.000377116153192412,0.0353607884449744,-0.447192379420005,0.99946490968091,27.3313695161939,0.0110993919729187,0.0104475216849982,0.941269729953583,0.0328800585165974,1,1,1,1,1
C06_low_bus_43p2V,ENGINEERING_PRIMARY,d,12,3,1,2,300,719.999999999998,0.00258424424379562,0.000328917041364939,0.127277846184477,-0.580519236986312,0.989964591062466,15.0790325849773,0.0026423343339953,0.00255519919869577,0.967023425393796,0.265908676358891,1,1,1,1,1
C06_low_bus_43p2V,ENGINEERING_PRIMARY,q,12,3,1,2,300,719.999999999998,0.00338629087654556,0.000410057337535314,0.12109335921952,1.51025858608667,0.999206516093727,17.9489039494545,0.00375789261154244,0.00320049000904713,0.851671492478725,0.0526021676410256,1,1,1,1,1
C06_low_bus_43p2V,ENGINEERING_PRIMARY,dq_positive,12,3,1,2,300,719.999999999998,0.00177310308416809,0.000582307009714121,0.328411255337322,-2.30296652274499,0.944782520709215,16.679454847568,0.00230684722030635,0.00150623101609897,0.652939216277591,0.163067221351793,1,1,0,1,0
C06_low_bus_43p2V,ENGINEERING_PRIMARY,dq_negative,12,3,1,2,300,719.999999999998,0.00576495220344395,0.000285631547017426,0.0495462125161751,0.281409900043941,0.997780198901197,16.679454847568,0.00607337065616419,0.00561074297708382,0.923826865628427,0.125773466675685,1,1,1,1,1
C09_S2_boundary,ENGINEERING_PRIMARY,d,6,5,2,3,500,599.999999999996,0.0158319699520943,8.35245014599428e-14,5.2756859514437e-12,-0.378756785261275,1,78.5680121980248,0.0158319699520771,0.0158319699521058,1.00000000000181,1.67575755489326e-11,1,1,1,1,1
C09_S2_boundary,ENGINEERING_PRIMARY,q,6,5,2,3,500,599.999999999996,0.010320920437024,4.27677874465037e-14,4.14379586660543e-12,3.03693158159671,1,75.8962386583609,0.010320920436978,0.0103209204370547,1.00000000000743,2.26348850401645e-11,1,1,1,1,1
C09_S2_boundary,ENGINEERING_PRIMARY,dq_positive,6,5,2,3,500,599.999999999996,0.0211099509498957,5.33646659310312e-14,2.5279388880482e-12,-0.868797308699967,1,77.587163688602,0.0211099509498749,0.0211099509499095,1.00000000000164,2.07292858236483e-11,1,1,1,1,1
C09_S2_boundary,ENGINEERING_PRIMARY,dq_negative,6,5,2,3,500,599.999999999996,0.0163925383438867,1.31918740496074e-13,8.04748707787963e-12,-0.272401044647357,1,77.587163688602,0.0163925383438222,0.0163925383439296,1.00000000000656,1.48303707203505e-11,1,1,1,1,1
C09_S2_boundary,ENGINEERING_PRIMARY,d,12,5,2,3,500,1199.99999999999,0.0142452002298288,1.46673708667987e-13,1.02963599178381e-11,0.649264318780743,1,83.0787585079819,0.0142452002299656,0.0142452002297375,0.999999999983988,6.62219810869607e-12,1,1,1,1,1
C09_S2_boundary,ENGINEERING_PRIMARY,q,12,5,2,3,500,1199.99999999999,0.0101528260170682,1.24804216063915e-13,1.22925593183713e-11,-2.56892818706117,1,71.6572193665566,0.0101528260171525,0.0101528260170121,0.999999999986169,5.09074972893048e-12,1,1,1,1,1
C09_S2_boundary,ENGINEERING_PRIMARY,dq_positive,12,5,2,3,500,1199.99999999999,0.016848446255063,1.60393101016503e-13,9.51975621896323e-12,0.00472511486602453,1,75.8092432689676,0.0168484462552098,0.0168484462549651,0.999999999985473,7.23389036421989e-12,1,1,1,1,1
C09_S2_boundary,ENGINEERING_PRIMARY,dq_negative,12,5,2,3,500,1199.99999999999,0.0181146645078455,2.18056712289009e-13,1.20375793984243e-11,-1.24224102267486,1,75.8092432689676,0.0181146645080186,0.0181146645077301,0.999999999984074,5.13089553970811e-12,1,1,1,1,1
D02_id_step,SECONDARY_DYNAMIC,d,6,3,1,2,300,359.999999999999,0.0112449101907793,0.000399175648780874,0.0354983403165098,-1.66932072816143,0.99993054071984,29.4080742159303,0.0111991396053856,0.0112677954834762,1.00613046006298,0.0103216267977659,1,1,1,1,0
D02_id_step,SECONDARY_DYNAMIC,q,6,3,1,2,300,359.999999999999,0.00147064393250056,0.000276010090862237,0.187679753584494,0.336881643183214,0.980250629978653,6.29880486700603,0.00115276897778921,0.00162958140985624,1.41362358048659,0.305709319664273,1,1,1,1,0
D02_id_step,SECONDARY_DYNAMIC,dq_positive,6,3,1,2,300,359.999999999999,0.00994597682973034,0.000407083677874109,0.0409294818239734,-1.72753404696374,0.999327331810183,23.0332136700468,0.0103003575316255,0.00976878647878277,0.948392951292165,0.0245471772990824,1,1,1,1,0
D02_id_step,SECONDARY_DYNAMIC,dq_negative,6,3,1,2,300,359.999999999999,0.0125793360878284,0.000628090343383356,0.0499303253365723,1.62280884903523,0.999964171801107,23.0332136700468,0.0121409160756026,0.0127985460939413,1.05416642485983,0.00628979925807719,1,1,1,1,0
D02_id_step,SECONDARY_DYNAMIC,d,12,3,1,2,300,719.999999999998,0.00339812979392081,0.000495554611479078,0.145831572521337,-2.95824817762806,0.995365619775782,15.3458170346612,0.00393899440334968,0.00312769748920638,0.794034509555691,0.0607359629291176,1,1,1,1,0
D02_id_step,SECONDARY_DYNAMIC,q,12,3,1,2,300,719.999999999998,0.00447513170932392,0.000253108024367569,0.0565587877201958,2.97672712502268,0.981736502527768,12.0106626312065,0.00476649521480387,0.00432944995658395,0.908308885559658,0.404362865431487,1,1,1,1,0
D02_id_step,SECONDARY_DYNAMIC,dq_positive,12,3,1,2,300,719.999999999998,0.00641660837518135,0.000109315688190936,0.0170363659115859,-2.25296786448296,0.992954585210073,12.9770001456081,0.00652039259928351,0.00636471626313027,0.976124698968227,0.215351348919346,1,1,1,1,0
D02_id_step,SECONDARY_DYNAMIC,dq_negative,12,3,1,2,300,719.999999999998,0.00465039551581309,0.0010635006655868,0.228690368802072,-2.15580669723936,0.983657438111191,12.9770001456081,0.00582707365973226,0.00406205644385351,0.697100582737467,0.384407469510485,1,1,1,1,0
D03_id_iq_step,SECONDARY_DYNAMIC,d,6,3,1,2,300,359.999999999999,0.00848692324989606,6.48078487656618e-05,0.00763620064155235,0.118199997693437,0.999615453482832,31.6868748913248,0.0084139750637589,0.00852339734296464,1.01300482570682,0.0257194791639843,1,1,1,1,0
D03_id_iq_step,SECONDARY_DYNAMIC,q,6,3,1,2,300,359.999999999999,0.00708637616528863,0.000171684199945055,0.0242273619041026,-2.93529848368066,0.999582718408856,30.4601524208481,0.00708523171650447,0.00708694838968071,1.00024228892504,0.0493949772602023,1,1,1,1,0
D03_id_iq_step,SECONDARY_DYNAMIC,dq_positive,6,3,1,2,300,359.999999999999,0.0115247463347545,5.6454765891022e-05,0.00489856906618193,-0.540976632992148,0.99982783131283,31.1403329386856,0.0115499879626416,0.011512125520811,0.996721863091712,0.0300633682209774,1,1,1,1,0
D03_id_iq_step,SECONDARY_DYNAMIC,dq_negative,6,3,1,2,300,359.999999999999,0.0105681811905027,0.000196459884314384,0.0185897535983709,-0.84960570920322,0.999256906343332,31.1403329386856,0.0104205924861818,0.0106419755426632,1.02124476672271,0.0419592326405363,1,1,1,1,0
