"project_id","project_root","relative_path","bytes","last_write_utc","sha256"
"model_error_decomposition","C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_model_error_decomposition_iter01","docs\PREVIOUS_WORK_INVENTORY.md","2985","2026-07-15T08:01:46.9388900Z","80bd643e09f0d28416c38f2323331dba1807cb151cd09908d40c4c5fd3941f09"
"model_error_decomposition","C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_model_error_decomposition_iter01","docs\PROJECT_SCOPE.md","1273","2026-07-15T08:01:46.9388900Z","147ae801a9ec47f347d70abf57af03e0817a20b178978aed19e25378eb7bfa0b"
"model_error_decomposition","C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_model_error_decomposition_iter01","docs\PROTOTYPE_GATE_REPORT.md","389","2026-07-15T08:01:46.9398920Z","a453fe5f2184da9914b30b9eb58418d53b214474e23922184bfce154fa33fe49"
"model_error_decomposition","C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_model_error_decomposition_iter01","docs\SOURCE_PROJECT_INVENTORY.md","2335","2026-07-15T08:01:46.9398920Z","e3f502d0785d60ca34e69d666b00501d8e632bf40131fe8e2b1920cd336c0e03"
"model_error_decomposition","C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_model_error_decomposition_iter01","docs\TIMING_ALIGNMENT_AUDIT.md","4184","2026-07-15T08:01:46.9398920Z","bb2290d10afef3bec8ee9927d3d16cea887b19b47040e39ba0c6a4b2dd86a771"
"model_error_decomposition","C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_model_error_decomposition_iter01","FROZEN_UPSTREAM_VALIDATION.csv","472121","2026-07-15T08:01:46.9212400Z","4d7f1128a3dfe13c41e90ff691bb2b78f4cd9ab92d8d8f9cb784f493979aae1f"
"model_error_decomposition","C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_model_error_decomposition_iter01","HANDOFF.md","11932","2026-07-15T08:01:46.9212400Z","971e34f50b31ec7ad9b25abc724f77e6eb26850a0cc6e268cf707e0f7ed4af19"
"model_error_decomposition","C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_model_error_decomposition_iter01","initialize_project.m","2396","2026-07-15T08:01:46.9398920Z","5c79913ca53deb39c042ad00bd03ac19e1e7d19b6e3c27a10a7590994c880ee4"
"model_error_decomposition","C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_model_error_decomposition_iter01","README.md","4003","2026-07-15T08:01:46.9222461Z","99f44bdc920fad4b72cf3816553a5ea65ae0800472523c6062c5413a021de854"
"model_error_decomposition","C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_model_error_decomposition_iter01","reference\upstream_snapshots\ipmsm_probe\FINAL_IPMSM_PROBE_REPORT.md","3067","2026-07-15T08:01:46.9409007Z","8c13f34fd68580ab787162443fbe6b2253aebfd6fb1bd3e3018a1f42880ddabe"
"model_error_decomposition","C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_model_error_decomposition_iter01","reference\upstream_snapshots\ipmsm_probe\README.md","2556","2026-07-15T08:01:46.9409007Z","b63e025d4ee5ba3b023a524f418fdad9da356c1e152eb50e7fcfcb4e70fdb301"
"model_error_decomposition","C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_model_error_decomposition_iter01","reference\upstream_snapshots\jd_jq_audit\all_constraint_cases.csv","669078","2026-07-15T08:01:46.9443066Z","cdfd03b1aaa0817ff1de5cead31a967b84bbdf3292e1fdc17099617de0197231"
"model_error_decomposition","C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_model_error_decomposition_iter01","reference\upstream_snapshots\jd_jq_audit\README.md","1350","2026-07-15T08:01:46.9419101Z","14a66670c8691fcc6ba9c8b2356a85fb925f736c42ac686f455cc9a0f8bc922e"
"model_error_decomposition","C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_model_error_decomposition_iter01","reference\upstream_snapshots\jd_jq_audit\vector_mode_distribution.csv","98113","2026-07-15T08:01:46.9455155Z","174228ffb51ed3b371097b8fa16e1176641f1cca39d6fa262488299766b6a57e"
"model_error_decomposition","C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_model_error_decomposition_iter01","reference\upstream_snapshots\robust_residual\CALIBRATION_SCENARIOS.csv","3402","2026-07-15T08:01:46.9466962Z","387a6a12fad05ed5cc2f22aac517707c15023ebb646f4aa505db30d84c2b99f7"
"model_error_decomposition","C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_model_error_decomposition_iter01","reference\upstream_snapshots\robust_residual\DATA_SPLIT.md","490","2026-07-15T08:01:46.9466962Z","6b398775cccce09f67bbe14f885d1a0846847972199519c5a828d40228700f42"
"model_error_decomposition","C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_model_error_decomposition_iter01","reference\upstream_snapshots\robust_residual\EXPERIMENT_HANDOFF.md","3515","2026-07-15T08:01:46.9510213Z","32cea93f5a728ea4ad600046d06b67c5a539e08e77270b124a08caf2c8a63ad0"
"model_error_decomposition","C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_model_error_decomposition_iter01","reference\upstream_snapshots\robust_residual\FINAL_ROBUST_CONSTRAINT_REPORT.md","8275","2026-07-15T08:01:46.9520704Z","f92968da977ea19074bd3f74571a5a6db7bbad1c78ea9dfd9dd849c3d86ee716"
"model_error_decomposition","C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_model_error_decomposition_iter01","reference\upstream_snapshots\robust_residual\README.md","3439","2026-07-15T08:01:46.9520704Z","e1eb950e41cbce05b61f4c9b3e56a9f37d71f330af6d7d1c8c1d095a463cd59e"
"model_error_decomposition","C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_model_error_decomposition_iter01","reference\upstream_snapshots\robust_residual\RESIDUAL_ALIGNMENT_AUDIT.md","567","2026-07-15T08:01:46.9520704Z","59fb9fb430186788d52f81c23618ea724a9ddffc4841d500c3b1511914855ac9"
"model_error_decomposition","C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_model_error_decomposition_iter01","reference\upstream_snapshots\robust_residual\RESIDUAL_DATASET_SCHEMA.md","398","2026-07-15T08:01:46.9520704Z","bb5ed9d73e4b465a8313a334faf4c895e1ffc910141fc10850a308d5d8129838"
"model_error_decomposition","C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_model_error_decomposition_iter01","reference\upstream_snapshots\robust_residual\robust_scenario_splits.m","3965","2026-07-15T08:01:46.9530722Z","ff1253c24b0c70748a0c3c5e9f1fd5069996d33dee22a6b0ac25bc7882e32257"
"model_error_decomposition","C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_model_error_decomposition_iter01","reference\upstream_snapshots\robust_residual\TEST_SCENARIOS.csv","6405","2026-07-15T08:01:46.9530722Z","24c9c3f148bcf51fdccfd8234c64151b7e2db57231f541afa4770d3c098f3937"
"model_error_decomposition","C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_model_error_decomposition_iter01","reference\upstream_snapshots\robust_residual\VALIDATION_SCENARIOS.csv","4592","2026-07-15T08:01:46.9530722Z","10d703ae4e44d80c928423ee69c17fd07ff74befd543a11b719f50e03380198f"
"model_error_decomposition","C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_model_error_decomposition_iter01","reference\upstream_snapshots\s2_feasibility\BASELINE_COMPARISON.csv","2825","2026-07-15T08:01:46.9540739Z","b44f75e96d8e12dc91a1e6124b7c67f8c8a48c5aa1a058a9d87a57cf3796ac06"
"model_error_decomposition","C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_model_error_decomposition_iter01","reference\upstream_snapshots\s2_feasibility\FEASIBILITY_CONTROL_DECISION.md","747","2026-07-15T08:01:46.9540739Z","a160e2b88abe09fd5c469815a4402ce96559054b947ca7f3becef321944ea982"
"model_error_decomposition","C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_model_error_decomposition_iter01","reference\upstream_snapshots\s2_feasibility\FINAL_FEASIBILITY_CONTROL_REPORT.md","2462","2026-07-15T08:01:46.9570972Z","76f056cf74375086d15c125e911efcbb2ffb43aa0d9da728857e50ca88582a21"
