cohort_type,cohort,predictor,causality_class,ranking_valid,sample_count,candidate_bank_semantics,top1_flip_vs_P0_rate,top3_flip_vs_P0_rate,mode_flip_vs_P0_rate,feasibility_flip_vs_P0_rate,top1_agreement_with_P5_rate,top1_recovery_eligible_count,top1_recovered_count,top1_recovery_rate,top1_new_error_count,mode_recovery_eligible_count,mode_recovered_count,mode_recovery_rate,mode_new_error_count,top3_jaccard_vs_P5,S2_changed_command_rate,diagnostic_top1_voltage_changed_rate
aggregate,ENGINEERING_PRIMARY,P3c,noncausal_future_endpoint_oracle,0,23699,offline_diagnostic_candidate_bank_not_native_Zhou_candidates,0.0110131229165788,0.055360985695599,0.00932528798683489,0.0268365753829275,NaN,0,0,NaN,0,0,0,NaN,0,NaN,0,0.0413097599054812
aggregate,ENGINEERING_PRIMARY,P4,offline_physical_parameter_oracle,1,23699,offline_diagnostic_candidate_bank_not_native_Zhou_candidates,0.0110131229165788,0.0558673361745221,0.00932528798683489,0.0268365753829275,0.998016793957551,272,243,0.893382352941177,18,226,203,0.898230088495575,18,0.990906789316005,0,0.0413097599054812
aggregate,ENGINEERING_PRIMARY,P5,offline_plant_replay_oracle,1,23699,offline_diagnostic_candidate_bank_not_native_Zhou_candidates,0.0114772775222583,0.0618591501751129,0.00953626735305287,0.0302966369889025,1,272,272,1,0,226,226,1,0,1,0,0.0415207392716992
range,normal,P0,causal_original,1,9323,offline_diagnostic_candidate_bank_not_native_Zhou_candidates,0,0,0,0,0.996567628445779,32,0,0,0,18,0,0,0,0.994583288640995,0,0.00911723694089885
range,normal,P1,causal_original,1,9323,offline_diagnostic_candidate_bank_not_native_Zhou_candidates,0,0,0,0,0.996567628445779,32,0,0,0,18,0,0,0,0.994583288640995,0,0.00911723694089885
range,normal,P2a,causal_previous_period_oracle,1,9313,offline_diagnostic_candidate_bank_not_native_Zhou_candidates,0.00225491248792011,0.00665736067862128,0.00214753570278106,0.0104155481584881,0.997100826801246,32,13,0.40625,8,18,12,0.666666666666667,8,0.994577472350478,0,0.0109524320841834
range,normal,P2b,offline_physical_parameter_oracle,1,9323,offline_diagnostic_candidate_bank_not_native_Zhou_candidates,0.00246701705459616,0.0122278236619114,0.00214523222138797,0.0165182881046873,0.997318459723265,32,15,0.46875,8,18,12,0.666666666666667,8,0.99383245736351,0,0.0111552075512174
range,normal,P2c,noncausal_future_endpoint_oracle,0,9323,offline_diagnostic_candidate_bank_not_native_Zhou_candidates,0.00300332510994315,0.0101898530515928,0.00171618577711037,0.0127641317172584,NaN,0,0,NaN,0,0,0,NaN,0,NaN,0,0.0114769923844256
range,normal,P3a,causal_previous_period_oracle,1,9313,offline_diagnostic_candidate_bank_not_native_Zhou_candidates,0.00225491248792011,0.00665736067862128,0.00214753570278106,0.0104155481584881,0.997100826801246,32,13,0.40625,8,18,12,0.666666666666667,8,0.994577472350478,0,0.0109524320841834
range,normal,P3b,offline_physical_parameter_oracle,1,9323,offline_diagnostic_candidate_bank_not_native_Zhou_candidates,0.00246701705459616,0.0122278236619114,0.00214523222138797,0.0165182881046873,0.997318459723265,32,15,0.46875,8,18,12,0.666666666666667,8,0.99383245736351,0,0.0111552075512174
range,normal,P3c,noncausal_future_endpoint_oracle,0,9323,offline_diagnostic_candidate_bank_not_native_Zhou_candidates,0.00300332510994315,0.0101898530515928,0.00171618577711037,0.0127641317172584,NaN,0,0,NaN,0,0,0,NaN,0,NaN,0,0.0114769923844256
range,normal,P4,offline_physical_parameter_oracle,1,9323,offline_diagnostic_candidate_bank_not_native_Zhou_candidates,0.00300332510994315,0.0101898530515928,0.00171618577711037,0.0127641317172584,0.999356430333584,32,27,0.84375,1,18,15,0.833333333333333,1,0.996031320390432,0,0.0114769923844256
range,normal,P5,offline_plant_replay_oracle,1,9323,offline_diagnostic_candidate_bank_not_native_Zhou_candidates,0.00343237155422074,0.0108334227180092,0.00193070899924917,0.0179126890485895,1,32,32,1,0,18,18,1,0,1,0,0.0119060388287032
range,reasonable_extension,P0,causal_original,1,14376,offline_diagnostic_candidate_bank_not_native_Zhou_candidates,0,0,0,0,0.98330550918197,240,0,0,0,208,0,0,0,0.952525041736227,NaN,0.0583611574846967
range,reasonable_extension,P1,causal_original,1,14376,offline_diagnostic_candidate_bank_not_native_Zhou_candidates,0.158110740122426,0.277893711741792,0.0971062882582081,0.29646633277685,0.839315525876461,240,83,0.345833333333333,2153,208,70,0.336538461538462,1289,0.857971619365609,NaN,0.179396215915415
range,reasonable_extension,P2a,causal_previous_period_oracle,1,14364,offline_diagnostic_candidate_bank_not_native_Zhou_candidates,0.0236006683375104,0.0718462823725982,0.0114870509607352,0.0382205513784461,0.962475633528265,240,20,0.0833333333333333,319,208,9,0.0432692307692308,156,0.937517404622668,NaN,0.0749094959621275
range,reasonable_extension,P2b,offline_physical_parameter_oracle,1,14376,offline_diagnostic_candidate_bank_not_native_Zhou_candidates,0.239774624373957,0.347245409015025,0.10649693934335,0.313439065108514,0.759390651085142,240,113,0.470833333333333,3332,208,100,0.480769230769231,1429,0.829904006677796,NaN,0.266138007790762
range,reasonable_extension,P2c,noncausal_future_endpoint_oracle,0,14376,offline_diagnostic_candidate_bank_not_native_Zhou_candidates,0.0249026154702282,0.0671953255425709,0.0207289927657206,0.0372148024485253,NaN,0,0,NaN,0,0,0,NaN,0,NaN,NaN,0.0667084028937117
range,reasonable_extension,P3a,causal_previous_period_oracle,1,14364,offline_diagnostic_candidate_bank_not_native_Zhou_candidates,0.0151768309663046,0.084864940128098,0.0144806460595934,0.0346003898635478,0.995405179615706,240,196,0.816666666666667,22,208,186,0.894230769230769,22,0.985588972431078,NaN,0.0582706766917293
range,reasonable_extension,P3b,offline_physical_parameter_oracle,1,14376,offline_diagnostic_candidate_bank_not_native_Zhou_candidates,0.0153728436282693,0.0901502504173623,0.0144685587089594,0.0397189760712298,0.995061213132999,240,195,0.8125,26,208,182,0.875,26,0.984592376182526,NaN,0.0596828046744574
range,reasonable_extension,P3c,noncausal_future_endpoint_oracle,0,14376,offline_diagnostic_candidate_bank_not_native_Zhou_candidates,0.0162075681691708,0.084654980523094,0.014259877573734,0.0359627156371731,NaN,0,0,NaN,0,0,0,NaN,0,NaN,NaN,0.0606566499721758
range,reasonable_extension,P4,offline_physical_parameter_oracle,1,14376,offline_diagnostic_candidate_bank_not_native_Zhou_candidates,0.0162075681691708,0.0854897050639955,0.014259877573734,0.0359627156371731,0.997148024485253,240,216,0.9,17,208,188,0.903846153846154,17,0.98758347245409,NaN,0.0606566499721758
range,reasonable_extension,P5,offline_plant_replay_oracle,1,14376,offline_diagnostic_candidate_bank_not_native_Zhou_candidates,0.01669449081803,0.0949499165275459,0.0144685587089594,0.0383277685030607,1,240,240,1,0,208,208,1,0,1,NaN,0.0607262103505843
range,stress_test,P0,causal_original,1,454,offline_diagnostic_candidate_bank_not_native_Zhou_candidates,0,0,0,0,0.995594713656388,2,0,0,0,1,0,0,0,0.964757709251101,0,0.0198237885462555
range,stress_test,P1,causal_original,1,454,offline_diagnostic_candidate_bank_not_native_Zhou_candidates,0,0,0,0,0.995594713656388,2,0,0,0,1,0,0,0,0.964757709251101,0,0.0198237885462555
range,stress_test,P2a,causal_previous_period_oracle,1,452,offline_diagnostic_candidate_bank_not_native_Zhou_candidates,0.00442477876106195,0.0376106194690266,0.00221238938053097,0.00442477876106195,1,2,2,1,0,1,1,1,0,0.948008849557522,0,0.0199115044247788
range,stress_test,P2b,offline_physical_parameter_oracle,1,454,offline_diagnostic_candidate_bank_not_native_Zhou_candidates,0.00440528634361234,0.039647577092511,0.00220264317180617,0.0242290748898678,1,2,2,1,0,1,1,1,0,0.949339207048458,0,0.0198237885462555
range,stress_test,P2c,noncausal_future_endpoint_oracle,0,454,offline_diagnostic_candidate_bank_not_native_Zhou_candidates,0.00440528634361234,0.0462555066079295,0.00220264317180617,0.0242290748898678,NaN,0,0,NaN,0,0,0,NaN,0,NaN,0,0.0198237885462555
range,stress_test,P3a,causal_previous_period_oracle,1,452,offline_diagnostic_candidate_bank_not_native_Zhou_candidates,0.00442477876106195,0.0376106194690266,0.00221238938053097,0.00442477876106195,1,2,2,1,0,1,1,1,0,0.948008849557522,0,0.0199115044247788
range,stress_test,P3b,offline_physical_parameter_oracle,1,454,offline_diagnostic_candidate_bank_not_native_Zhou_candidates,0.00440528634361234,0.039647577092511,0.00220264317180617,0.0242290748898678,1,2,2,1,0,1,1,1,0,0.949339207048458,0,0.0198237885462555
range,stress_test,P3c,noncausal_future_endpoint_oracle,0,454,offline_diagnostic_candidate_bank_not_native_Zhou_candidates,0.00440528634361234,0.0462555066079295,0.00220264317180617,0.0242290748898678,NaN,0,0,NaN,0,0,0,NaN,0,NaN,0,0.0198237885462555
range,stress_test,P4,offline_physical_parameter_oracle,1,454,offline_diagnostic_candidate_bank_not_native_Zhou_candidates,0.00440528634361234,0.0462555066079295,0.00220264317180617,0.0242290748898678,1,2,2,1,0,1,1,1,0,0.970264317180617,0,0.0198237885462555
range,stress_test,P5,offline_plant_replay_oracle,1,454,offline_diagnostic_candidate_bank_not_native_Zhou_candidates,0.00440528634361234,0.0704845814977974,0.00220264317180617,0.0462555066079295,1,2,2,1,0,1,1,1,0,1,0,0.0198237885462555
category,boundary,P0,causal_original,1,454,offline_diagnostic_candidate_bank_not_native_Zhou_candidates,0,0,0,0,0.995594713656388,2,0,0,0,1,0,0,0,0.964757709251101,0,0.0198237885462555
