cohort_type,cohort,predictor,causality_class,registered_sample_count,valid_sample_count,ed_mean_A,eq_mean_A,ed_rms_A,eq_rms_A,vector_rms_A,ed_peak_A,eq_peak_A,vector_peak_A,false_safe_d_count,false_safe_q_count,false_safe_joint_count,false_safe_joint_rate,false_alarm_joint_rate,maximum_consecutive_false_safe,predicted_joint_pass_rate,actual_joint_pass_rate,steady_vector_rms_A,dynamic_vector_rms_A,S2_near_vector_rms_A,top1_flip_vs_P0_rate,mode_flip_vs_P0_rate,diagnostic_top1_voltage_changed_rate
category,boundary,P2b,offline_physical_parameter_oracle,454,454,0.00455247330227377,0.000702853986198883,0.0281888663104042,0.0124841246278387,0.0308296213338609,0.181810713263062,0.0357677474149003,0.185295621136495,10,0,10,0.0220264317180617,0,1,0.973568281938326,0.951541850220264,NaN,0.0308296213338609,0.108242062359958,0.00440528634361234,0.00220264317180617,0.0198237885462555
category,boundary,P2c,noncausal_future_endpoint_oracle,454,454,0.00244837715292774,1.77713250117082e-05,0.0130574417638819,0.00497853571054199,0.0139743551993754,0.0933492054385902,0.0173050326247286,0.0949396561514683,10,0,10,0.0220264317180617,0,1,0.973568281938326,0.951541850220264,NaN,0.0139743551993754,0.0586207588942896,0.00440528634361234,0.00220264317180617,0.0198237885462555
category,boundary,P3a,causal_previous_period_oracle,454,452,0.00673211751334985,0.000121615342082558,0.0340422532277902,0.0120056347876717,0.0360972335710085,0.166675358284371,0.0347627603624456,0.167518425766855,19,0,19,0.0420353982300885,0,1,0.993362831858407,0.951327433628319,NaN,0.0360972335710085,0.113212497772575,0.00440528634361234,0.00220264317180617,0.0198237885462555
category,boundary,P3b,offline_physical_parameter_oracle,454,454,0.00455247330227377,0.000702853986198883,0.0281888663104042,0.0124841246278387,0.0308296213338609,0.181810713263062,0.0357677474149003,0.185295621136495,10,0,10,0.0220264317180617,0,1,0.973568281938326,0.951541850220264,NaN,0.0308296213338609,0.108242062359958,0.00440528634361234,0.00220264317180617,0.0198237885462555
category,boundary,P3c,noncausal_future_endpoint_oracle,454,454,0.00244837715292774,1.77713250117082e-05,0.0130574417638819,0.00497853571054199,0.0139743551993754,0.0933492054385902,0.0173050326247286,0.0949396561514683,10,0,10,0.0220264317180617,0,1,0.973568281938326,0.951541850220264,NaN,0.0139743551993754,0.0586207588942896,0.00440528634361234,0.00220264317180617,0.0198237885462555
category,boundary,P4,offline_physical_parameter_oracle,454,454,0.00235856911096807,0.000622641004032737,0.0130157292941149,0.0050946455987994,0.0139772895382133,0.092756268720603,0.0169855040814526,0.0942986359173332,10,0,10,0.0220264317180617,0,1,0.973568281938326,0.951541850220264,NaN,0.0139772895382133,0.0584588393544592,0.00440528634361234,0.00220264317180617,0.0198237885462555
category,boundary,P5,offline_plant_replay_oracle,454,454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.951541850220264,0.951541850220264,NaN,0,0,0.00440528634361234,0.00220264317180617,0.0198237885462555
category,core,P0,causal_original,9613,9613,0.00474391866950247,-0.000609268394804373,0.0329408831354271,0.00783207298827183,0.0338591663960512,0.459917054327821,0.109836110733889,0.46255376443799,104,15,110,0.0114428378237803,0,11,0.999167793612816,0.987724955789036,0.01056640472323,0.0466003696627185,0.353093590642577,0,0,0.0237178820347446
category,core,P1,causal_original,9613,9613,0.00474391866950247,-0.000609268394804373,0.0329408831354271,0.00783207298827183,0.0338591663960512,0.459917054327821,0.109836110733889,0.46255376443799,104,15,110,0.0114428378237803,0,11,0.999167793612816,0.987724955789036,0.01056640472323,0.0466003696627185,0.353093590642577,0,0,0.0237178820347446
category,core,P2a,causal_previous_period_oracle,9613,9604,0.00206039811173997,-0.00026606456419914,0.0162487532781976,0.00626700938333317,0.0174154353866483,0.226504837204002,0.0559477633344851,0.228728886976785,79,3,72,0.00749687630154102,0.00364431486880466,11,0.991670137442732,0.987817576009996,0.0102327434315059,0.0223696783342241,0.159631470708725,0.000104025798398003,0.000104025798398003,0.0236138562363466
category,core,P2b,offline_physical_parameter_oracle,9613,9613,0.00131841302789958,-1.41134496740334e-05,0.0151982169793518,0.00784593273502232,0.017103931122229,0.160877296983175,0.0486699384717424,0.165797262259824,66,2,57,0.00592947050868615,0.0101945282430043,10,0.983459898054718,0.987724955789036,0.0142692250480243,0.0195102380813044,0.107536113267396,0.000624154790388016,0.000624154790388016,0.0239259336315406
category,core,P2c,noncausal_future_endpoint_oracle,9613,9613,0.00068973247201254,-8.69610154112846e-05,0.00609533980787776,0.00273643719310872,0.00668141121959486,0.0789780959559464,0.021535656627155,0.0798402972654877,59,0,56,0.00582544471028815,0.00405700613752211,10,0.989493394361802,0.987724955789036,0.00472276547440387,0.00817128194691112,0.0537311732830481,0.000416103193592011,0.000312077395194008,0.0237178820347446
category,core,P3a,causal_previous_period_oracle,9613,9604,0.00206039811173997,-0.00026606456419914,0.0162487532781976,0.00626700938333317,0.0174154353866483,0.226504837204002,0.0559477633344851,0.228728886976785,79,3,72,0.00749687630154102,0.00364431486880466,11,0.991670137442732,0.987817576009996,0.0102327434315059,0.0223696783342241,0.159631470708725,0.000104025798398003,0.000104025798398003,0.0236138562363466
category,core,P3b,offline_physical_parameter_oracle,9613,9613,0.00131841302789958,-1.41134496740334e-05,0.0151982169793518,0.00784593273502232,0.017103931122229,0.160877296983175,0.0486699384717424,0.165797262259824,66,2,57,0.00592947050868615,0.0101945282430043,10,0.983459898054718,0.987724955789036,0.0142692250480243,0.0195102380813044,0.107536113267396,0.000624154790388016,0.000624154790388016,0.0239259336315406
category,core,P3c,noncausal_future_endpoint_oracle,9613,9613,0.00068973247201254,-8.69610154112846e-05,0.00609533980787776,0.00273643719310872,0.00668141121959486,0.0789780959559464,0.021535656627155,0.0798402972654877,59,0,56,0.00582544471028815,0.00405700613752211,10,0.989493394361802,0.987724955789036,0.00472276547440387,0.00817128194691112,0.0537311732830481,0.000416103193592011,0.000312077395194008,0.0237178820347446
category,core,P4,offline_physical_parameter_oracle,9613,9613,0.000631147882374026,6.51436339229632e-05,0.0060645628675816,0.00277630099953393,0.00666984032903806,0.078776495254052,0.0212195678833589,0.0796270003664315,59,0,56,0.00582544471028815,0.00405700613752211,10,0.989493394361802,0.987724955789036,0.00473467827515045,0.00814559400948674,0.0532457501872718,0.000416103193592011,0.000312077395194008,0.0237178820347446
category,core,P5,offline_plant_replay_oracle,9613,9613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.987724955789036,0.987724955789036,0,0,0,0.00208051596796005,0.00176843857276605,0.0253822948091127
category,dynamic,P0,causal_original,4502,4502,0.00608081507898577,-0.000380624184930172,0.0351177712426888,0.0103810449696395,0.0366199938792389,0.569829626910681,0.106986007389367,0.571712315009716,132,22,145,0.0322079075966237,0,2,0.997112394491337,0.964904486894713,0.0148678355814113,0.0456397232291263,NaN,0,0,0.0339848956019547
