cohort_type,cohort,predictor,causality_class,sample_count,true_violation_predicted_violation,true_safe_predicted_safe,false_safe_count,false_alarm_count,false_safe_rate,false_alarm_rate,violation_recall,safe_specificity,maximum_consecutive_false_safe
range,stress_test,P2b,offline_physical_parameter_oracle,454,12,432,10,0,0.0220264317180617,0,0.545454545454545,1,1
range,stress_test,P2c,noncausal_future_endpoint_oracle,454,12,432,10,0,0.0220264317180617,0,0.545454545454545,1,1
range,stress_test,P3a,causal_previous_period_oracle,452,3,430,19,0,0.0420353982300885,0,0.136363636363636,1,1
range,stress_test,P3b,offline_physical_parameter_oracle,454,12,432,10,0,0.0220264317180617,0,0.545454545454545,1,1
range,stress_test,P3c,noncausal_future_endpoint_oracle,454,12,432,10,0,0.0220264317180617,0,0.545454545454545,1,1
range,stress_test,P4,offline_physical_parameter_oracle,454,12,432,10,0,0.0220264317180617,0,0.545454545454545,1,1
range,stress_test,P5,offline_plant_replay_oracle,454,22,432,0,0,0,0,1,1,0
category,boundary,P0,causal_original,454,1,432,21,0,0.0462555066079295,0,0.0454545454545455,1,1
category,boundary,P1,causal_original,454,1,432,21,0,0.0462555066079295,0,0.0454545454545455,1,1
category,boundary,P2a,causal_previous_period_oracle,452,3,430,19,0,0.0420353982300885,0,0.136363636363636,1,1
category,boundary,P2b,offline_physical_parameter_oracle,454,12,432,10,0,0.0220264317180617,0,0.545454545454545,1,1
category,boundary,P2c,noncausal_future_endpoint_oracle,454,12,432,10,0,0.0220264317180617,0,0.545454545454545,1,1
category,boundary,P3a,causal_previous_period_oracle,452,3,430,19,0,0.0420353982300885,0,0.136363636363636,1,1
category,boundary,P3b,offline_physical_parameter_oracle,454,12,432,10,0,0.0220264317180617,0,0.545454545454545,1,1
category,boundary,P3c,noncausal_future_endpoint_oracle,454,12,432,10,0,0.0220264317180617,0,0.545454545454545,1,1
category,boundary,P4,offline_physical_parameter_oracle,454,12,432,10,0,0.0220264317180617,0,0.545454545454545,1,1
category,boundary,P5,offline_plant_replay_oracle,454,22,432,0,0,0,0,1,1,0
category,core,P0,causal_original,9613,8,9495,110,0,0.0114428378237803,0,0.0677966101694915,1,11
category,core,P1,causal_original,9613,8,9495,110,0,0.0114428378237803,0,0.0677966101694915,1,11
category,core,P2a,causal_previous_period_oracle,9604,45,9452,72,35,0.00749687630154102,0.00364431486880466,0.384615384615385,0.996310741014019,11
category,core,P2b,offline_physical_parameter_oracle,9613,61,9397,57,98,0.00592947050868615,0.0101945282430043,0.516949152542373,0.989678778304371,10
category,core,P2c,noncausal_future_endpoint_oracle,9613,62,9456,56,39,0.00582544471028815,0.00405700613752211,0.525423728813559,0.995892575039494,10
category,core,P3a,causal_previous_period_oracle,9604,45,9452,72,35,0.00749687630154102,0.00364431486880466,0.384615384615385,0.996310741014019,11
category,core,P3b,offline_physical_parameter_oracle,9613,61,9397,57,98,0.00592947050868615,0.0101945282430043,0.516949152542373,0.989678778304371,10
category,core,P3c,noncausal_future_endpoint_oracle,9613,62,9456,56,39,0.00582544471028815,0.00405700613752211,0.525423728813559,0.995892575039494,10
category,core,P4,offline_physical_parameter_oracle,9613,62,9456,56,39,0.00582544471028815,0.00405700613752211,0.525423728813559,0.995892575039494,10
category,core,P5,offline_plant_replay_oracle,9613,118,9495,0,0,0,0,1,1,0
category,dynamic,P0,causal_original,4502,13,4344,145,0,0.0322079075966237,0,0.0822784810126582,1,2
category,dynamic,P1,causal_original,4502,13,4344,145,0,0.0322079075966237,0,0.0822784810126582,1,2
category,dynamic,P2a,causal_previous_period_oracle,4497,92,4330,66,9,0.0146764509673115,0.00200133422281521,0.582278481012658,0.997925789352385,1
category,dynamic,P2b,offline_physical_parameter_oracle,4502,104,4305,54,39,0.011994669035984,0.00866281652598845,0.658227848101266,0.991022099447514,1
category,dynamic,P2c,noncausal_future_endpoint_oracle,4502,103,4325,55,19,0.0122167925366504,0.00422034651266104,0.651898734177215,0.995626151012891,1
category,dynamic,P3a,causal_previous_period_oracle,4497,92,4330,66,9,0.0146764509673115,0.00200133422281521,0.582278481012658,0.997925789352385,1
category,dynamic,P3b,offline_physical_parameter_oracle,4502,104,4305,54,39,0.011994669035984,0.00866281652598845,0.658227848101266,0.991022099447514,1
category,dynamic,P3c,noncausal_future_endpoint_oracle,4502,103,4325,55,19,0.0122167925366504,0.00422034651266104,0.651898734177215,0.995626151012891,1
category,dynamic,P4,offline_physical_parameter_oracle,4502,103,4325,55,19,0.0122167925366504,0.00422034651266104,0.651898734177215,0.995626151012891,1
category,dynamic,P5,offline_plant_replay_oracle,4502,158,4344,0,0,0,0,1,1,0
category,parameter,P0,causal_original,9584,0,9121,463,0,0.0483096828046745,0,0,1,1
category,parameter,P1,causal_original,9584,256,5115,207,4006,0.0215984974958264,0.417988313856427,0.552915766738661,0.560793772612652,1
category,parameter,P2a,causal_previous_period_oracle,9576,166,8795,296,319,0.0309106098579783,0.033312447786132,0.359307359307359,0.964998902786921,1
category,parameter,P2b,offline_physical_parameter_oracle,9584,329,5071,134,4050,0.0139816360601002,0.422579298831386,0.710583153347732,0.55596974016007,1
category,parameter,P2c,noncausal_future_endpoint_oracle,9584,192,8861,271,260,0.0282762938230384,0.0271285475792988,0.414686825053996,0.971494353689288,1
category,parameter,P3a,causal_previous_period_oracle,9576,398,9079,64,35,0.00668337510442774,0.00365497076023392,0.861471861471861,0.99615975422427,1
category,parameter,P3b,offline_physical_parameter_oracle,9584,389,9066,74,55,0.0077212020033389,0.00573873121869783,0.840172786177106,0.993969959434273,1
category,parameter,P3c,noncausal_future_endpoint_oracle,9584,420,9107,43,14,0.00448664440734558,0.00146076794657763,0.907127429805616,0.998465080583269,1
category,parameter,P4,offline_physical_parameter_oracle,9584,420,9107,43,14,0.00448664440734558,0.00146076794657763,0.907127429805616,0.998465080583269,1
category,parameter,P5,offline_plant_replay_oracle,9584,463,9121,0,0,0,0,1,1,0
phase,dynamic,P0,causal_original,12791,22,12333,436,0,0.0340864670471425,0,0.0480349344978166,1,11
phase,dynamic,P1,causal_original,12791,153,10334,305,1999,0.0238448909389414,0.156281760612931,0.334061135371179,0.837914538230763,11
phase,dynamic,P2a,causal_previous_period_oracle,12767,198,12129,258,182,0.0202083496514451,0.0142555024672985,0.434210526315789,0.985216473072862,11
phase,dynamic,P2b,offline_physical_parameter_oracle,12791,311,10255,147,2078,0.0114924556328669,0.162457978265968,0.679039301310044,0.831508959701614,10
phase,dynamic,P2c,noncausal_future_endpoint_oracle,12791,244,12172,214,161,0.0167305136424048,0.0125869752169494,0.532751091703057,0.986945593124139,10
phase,dynamic,P3a,causal_previous_period_oracle,12767,315,12270,141,41,0.0110440980653247,0.00321140440197384,0.690789473684211,0.996669645032897,11
phase,dynamic,P3b,offline_physical_parameter_oracle,12791,339,12242,119,91,0.00930341646470174,0.00711437729653663,0.740174672489083,0.9926214222006,10
phase,dynamic,P3c,noncausal_future_endpoint_oracle,12791,357,12295,101,38,0.00789617699945274,0.00297083887108123,0.779475982532751,0.996918835644207,10
phase,dynamic,P4,offline_physical_parameter_oracle,12791,357,12295,101,38,0.00789617699945274,0.00297083887108123,0.779475982532751,0.996918835644207,10
phase,dynamic,P5,offline_plant_replay_oracle,12791,458,12333,0,0,0,0,1,1,0
phase,steady,P0,causal_original,11362,0,11059,303,0,0.0266678401689843,0,0,1,2
phase,steady,P1,causal_original,11362,125,9052,178,2007,0.0156662559408555,0.176641436366837,0.412541254125413,0.818518853422552,2
phase,steady,P2a,causal_previous_period_oracle,11362,108,10878,195,181,0.017162471395881,0.0159302939623306,0.356435643564356,0.983633239895108,1
phase,steady,P2b,offline_physical_parameter_oracle,11362,195,8950,108,2109,0.00950536877310333,0.18561872909699,0.643564356435644,0.809295596346867,1
phase,steady,P2c,noncausal_future_endpoint_oracle,11362,125,10902,178,157,0.0156662559408555,0.0138179897905298,0.412541254125413,0.985803418030563,1
phase,steady,P3a,causal_previous_period_oracle,11362,223,11021,80,38,0.00704101390600246,0.00334448160535117,0.735973597359736,0.996563884618862,1
phase,steady,P3b,offline_physical_parameter_oracle,11362,227,10958,76,101,0.00668896321070234,0.00888928005632811,0.749174917491749,0.990867167013292,1
phase,steady,P3c,noncausal_future_endpoint_oracle,11362,240,11025,63,34,0.00554479845097694,0.00299243091005105,0.792079207920792,0.996925580974772,1
phase,steady,P4,offline_physical_parameter_oracle,11362,240,11025,63,34,0.00554479845097694,0.00299243091005105,0.792079207920792,0.996925580974772,1
phase,steady,P5,offline_plant_replay_oracle,11362,303,11059,0,0,0,0,1,1,0
case,C01_nominal_100rpm_10A,P0,causal_original,1198,0,1195,3,0,0.00250417362270451,0,0,1,1
case,C01_nominal_100rpm_10A,P1,causal_original,1198,0,1195,3,0,0.00250417362270451,0,0,1,1
case,C01_nominal_100rpm_10A,P2a,causal_previous_period_oracle,1197,1,1190,2,4,0.00167084377610693,0.00334168755221387,0.333333333333333,0.996649916247906,1
case,C01_nominal_100rpm_10A,P2b,offline_physical_parameter_oracle,1198,3,1193,0,2,0,0.00166944908180301,1,0.998326359832636,0
case,C01_nominal_100rpm_10A,P2c,noncausal_future_endpoint_oracle,1198,3,1193,0,2,0,0.00166944908180301,1,0.998326359832636,0
case,C01_nominal_100rpm_10A,P3a,causal_previous_period_oracle,1197,1,1190,2,4,0.00167084377610693,0.00334168755221387,0.333333333333333,0.996649916247906,1
case,C01_nominal_100rpm_10A,P3b,offline_physical_parameter_oracle,1198,3,1193,0,2,0,0.00166944908180301,1,0.998326359832636,0
case,C01_nominal_100rpm_10A,P3c,noncausal_future_endpoint_oracle,1198,3,1193,0,2,0,0.00166944908180301,1,0.998326359832636,0
case,C01_nominal_100rpm_10A,P4,offline_physical_parameter_oracle,1198,3,1193,0,2,0,0.00166944908180301,1,0.998326359832636,0
case,C01_nominal_100rpm_10A,P5,offline_plant_replay_oracle,1198,3,1195,0,0,0,0,1,1,0
case,C02_light_100rpm_4A,P0,causal_original,1198,0,1197,1,0,0.000834724540901503,0,0,1,1
case,C02_light_100rpm_4A,P1,causal_original,1198,0,1197,1,0,0.000834724540901503,0,0,1,1
case,C02_light_100rpm_4A,P2a,causal_previous_period_oracle,1197,1,1192,0,4,0,0.00334168755221387,1,0.996655518394649,0
case,C02_light_100rpm_4A,P2b,offline_physical_parameter_oracle,1198,1,1182,0,15,0,0.0125208681135225,1,0.987468671679198,0
case,C02_light_100rpm_4A,P2c,noncausal_future_endpoint_oracle,1198,1,1195,0,2,0,0.00166944908180301,1,0.998329156223893,0
case,C02_light_100rpm_4A,P3a,causal_previous_period_oracle,1197,1,1192,0,4,0,0.00334168755221387,1,0.996655518394649,0
