candidate,false_safe_rate,false_alarm_rate,vector_rms_A,phase_thd,torque_ripple_Nm,numerically_stable,selected
design_default,0.0397885364496383,0,0.09782335502957,1.45788969227052,0.076642182668548,1,1
conservative,0.0431274346132443,0,0.107432263412064,1.48176051183798,0.0776574379913786,1,0
aggressive,0.0428491930996105,0,0.0949357426612479,1.44109337993806,0.075582305224839,1,0
