method,cohort,sample_count,false_safe_rate,false_alarm_rate,vector_rms_A,phase_thd,torque_ripple_Nm,id_tracking_rms_A,iq_tracking_rms_A,alpha_boundary_hit_rate,alpha_update_rate,gate_freeze_rate,decision_gate_rate,s2_gate_rate,execution_mean_us,termination_semantics_pass,estimator_finite,S2_count,illegal_duration_count
B0,core,9613,0.0114428378237803,0,0.0338591663960513,1.44483840001553,0.0699326801478877,0.226331046437629,0.413486471287492,0,0,1,0,0,2604.98778100818,1,1,8,1
B0,dynamic,4502,0.0322079075966237,0,0.0366199938792389,2.95364002371287,0.0699805098135659,0.217957243205376,0.501459578815185,0,0,1,0,0,2428.37466026374,1,1,0,2
B0,parameter,9584,0.0483096828046745,0,0.0580975128547079,1.35896655933194,0.061330803100858,0.180798700698335,0.230485246995754,0,0,1,0,0,1658.39781452359,1,1,0,0
B0,boundary,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,0,0
