method,evidence_scope,phase_thd,torque_ripple_Nm,id_tracking_rms_A,iq_tracking_rms_A,S2_count,illegal_duration_count
B0,MINIMAL_GATE_ONLY,1.33402048901742,0.0719005563626519,0.244172586732191,0.532852227038171,8,1
B1,MINIMAL_GATE_ONLY,1.34447167559234,0.0700427342786411,0.286435547327805,0.875525064977872,2,1
B2,MINIMAL_GATE_ONLY,1.29305817995786,0.0684960685264241,0.210390310871334,0.893667093901348,5,1
P,MINIMAL_GATE_ONLY,1.28411156121817,0.0681411705276301,0.214044445580743,0.89071497396158,4,1
RLS,MINIMAL_GATE_ONLY,2.45344973735707,0.0713615570818224,0.68260421324652,1.16349692869868,8,2
