method,cohort,evidence_scope,sample_count,false_safe_rate,false_alarm_rate,vector_rms_A,phase_thd,torque_ripple_Nm,id_tracking_rms_A,iq_tracking_rms_A,alpha_boundary_hit_rate,alpha_update_rate,gate_freeze_rate,decision_gate_rate,s2_gate_rate,execution_mean_us,termination_semantics_pass,estimator_finite,S2_count,illegal_duration_count
B0,ENGINEERING_PRIMARY,MINIMAL_GATE_ONLY,4821,0.0352623936942543,0,0.0613188538370079,1.33402048901742,0.0719005563626519,0.244172586732191,0.532852227038171,0,0,1,0,0,723.500341318702,1,1,8,1
B1,ENGINEERING_PRIMARY,MINIMAL_GATE_ONLY,4797,0.0910986032937252,0.000208463623097769,0.169447864898382,1.34447167559234,0.0700427342786411,0.286435547327805,0.875525064977872,0,0.0393333333333333,0.960666666666667,0.642857142857143,0.970761904761905,1003.86058147218,1,1,2,1
B2,ENGINEERING_PRIMARY,MINIMAL_GATE_ONLY,4796,0.0417014178482068,0,0.138255241606659,1.29305817995786,0.0684960685264241,0.210390310871334,0.893667093901348,0,0.0293333333333333,0.970666666666667,0.633166666666667,0.966,11733.2289392538,1,1,5,1
P,ENGINEERING_PRIMARY,MINIMAL_GATE_ONLY,4796,0.0375312760633862,0,0.132351629288697,1.28411156121817,0.0681411705276301,0.214044445580743,0.89071497396158,0,0.0293333333333333,0.970666666666667,0.663333333333333,0.966,979.16215849522,1,1,4,1
RLS,ENGINEERING_PRIMARY,MINIMAL_GATE_ONLY,3645,0.605486968449931,0.000274348422496571,0.639194471701143,2.45344973735707,0.0713615570818224,0.68260421324652,1.16349692869868,0.121833333333333,0.653,0.347,0.597857142857143,0.966761904761905,1734.46277509067,1,1,8,2
