case_id,method,repeat,category,range_class,trace_rows,completed,illegal,ed_mean_A,eq_mean_A,ed_rms_A,eq_rms_A,vector_rms_A,vector_peak_A,false_safe_rate,false_alarm_rate,max_false_safe_run,actual_violation_rate,id_tracking_rms_A,iq_tracking_rms_A,id_steady_error_A,iq_steady_error_A,torque_mean_Nm,torque_ripple_Nm,phase_thd,thd_valid,thd_cycles,switching_actions,equivalent_switching_Hz,voltage_utilization_mean,S2_count,illegal_duration_count,alpha_d_mean,alpha_q_mean,alpha_d_variance,alpha_q_variance,alpha_d_min,alpha_d_max,alpha_q_min,alpha_q_max,alpha_boundary_hit_rate,alpha_update_rate,gate_freeze_rate,F_d_rms,F_q_rms,decision_gate_rate,s2_gate_rate,reset_count,reacquire_count,execution_mean_us,execution_p95_us,execution_p99_us,execution_max_us,estimator_finite,timing_pass
C01_nominal_100rpm_10A,P,1,core,normal,1200,1,0,-0.00138318957501389,0.0029543250817671,0.0076830001372781,0.0299880205612671,0.0309565803714233,0.564393097298535,0.00667779632721202,0,3,0.00667779632721202,0.225520601521915,0.265782053502183,0.0430530067727382,-0.183862859984085,4.76757654700119,0.0777584073184112,NaN,0,1,2656,22151.4236626578,0.160651189680658,0,0,1256.72469329764,833.665563418843,4.17390341875331,0.0928089565834529,1250,1259.76371341574,832.136904413147,834.150298867106,0,0.0466666666666667,0.953333333333333,1825.4867287735,3588.6098380975,0.325833333333333,0.999166666666667,0,0,780.921646623497,1396.1,1780.42000000001,3275.4,1,1
D03_id_iq_step,P,1,dynamic,reasonable_extension,1200,1,0,-0.00645409559234752,0.00646224140495864,0.0394318530260628,0.081780839885214,0.0907908409774908,1.69529459659468,0.0525876460767947,0,5,0.0567612687813022,0.251117874340154,0.481365806504242,-0.0353068405693851,-0.0724821382385549,8.20330337229651,0.0768810482952087,1.59178359000564,1,3,4042,33710.8638721623,0.423284673735938,0,0,1217.78435897146,832.688609245265,333.117628216721,0.733281859273423,1193.09576404732,1250,830.917134156664,833.950831145742,0,0.04,0.96,7711.84554328351,8649.50386627987,0.605,0.999166666666667,0,0,689.695282146161,1156.7,1722.68,14975.4,1,1
P08_opposed_20pct,P,1,parameter,reasonable_extension,1200,1,0,-0.00587455870946506,0.00779980779655326,0.0440912641627969,0.129350853767703,0.136659002432724,2.73987924263311,0.0667779632721202,0,4,0.0676126878130217,0.189889604483793,0.276811449439666,-0.0585739430874707,-0.0585736354998994,8.23353321314704,0.0769947092027071,1.3408096977641,1,4,4250,35445.6139180331,0.55320657291976,1,0,1178.85537673314,880.341126959193,521.255639550194,681.37883371019,1145.4970670237,1250,833.333333333333,924.120615850891,0,0.0391666666666667,0.960833333333333,9798.26717820218,12016.5818220918,0.735,0.999166666666667,0,0,523.932932469935,783.4,1136.42,2156,1,1
