upstream_project,source_absolute_path,source_relative_path,file_size_bytes,modified_time,sha256,copied_to_new_project,byte_identical,destination_absolute_path,destination_relative_path,use_in_new_project
robust_residual,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_ipmsm_robust_constraint_iter01\RESIDUAL_DATASET_SCHEMA.md,RESIDUAL_DATASET_SCHEMA.md,393,2026-07-13T12:22:59.000,9b44f17e80816e7c54f956209415187e36d54d740e901161b7a58e0f44d69fb1,1,1,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_model_error_decomposition_iter01\reference\upstream_snapshots\robust_residual\RESIDUAL_DATASET_SCHEMA.md,reference\upstream_snapshots\robust_residual\RESIDUAL_DATASET_SCHEMA.md,frozen evidence snapshot
robust_residual,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_ipmsm_robust_constraint_iter01\TEST_SCENARIOS.csv,TEST_SCENARIOS.csv,6405,2026-07-13T12:20:38.000,24c9c3f148bcf51fdccfd8234c64151b7e2db57231f541afa4770d3c098f3937,1,1,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_model_error_decomposition_iter01\reference\upstream_snapshots\robust_residual\TEST_SCENARIOS.csv,reference\upstream_snapshots\robust_residual\TEST_SCENARIOS.csv,frozen evidence snapshot
robust_residual,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_ipmsm_robust_constraint_iter01\VALIDATION_SCENARIOS.csv,VALIDATION_SCENARIOS.csv,4592,2026-07-13T12:20:38.000,10d703ae4e44d80c928423ee69c17fd07ff74befd543a11b719f50e03380198f,1,1,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_model_error_decomposition_iter01\reference\upstream_snapshots\robust_residual\VALIDATION_SCENARIOS.csv,reference\upstream_snapshots\robust_residual\VALIDATION_SCENARIOS.csv,frozen evidence snapshot
robust_residual,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_ipmsm_robust_constraint_iter01\config\robust_scenario_splits.m,config\robust_scenario_splits.m,3919,2026-07-13T12:19:23.000,c492f55dbfd21ed7d33a2386eeff2efe031bbedf289cf3e97a08fb45e08538e8,1,1,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_model_error_decomposition_iter01\reference\upstream_snapshots\robust_residual\robust_scenario_splits.m,reference\upstream_snapshots\robust_residual\robust_scenario_splits.m,frozen evidence snapshot
s2_feasibility,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_ipmsm_feasibility_control_iter01\BASELINE_COMPARISON.csv,BASELINE_COMPARISON.csv,2825,2026-07-13T11:03:43.000,b44f75e96d8e12dc91a1e6124b7c67f8c8a48c5aa1a058a9d87a57cf3796ac06,1,1,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_model_error_decomposition_iter01\reference\upstream_snapshots\s2_feasibility\BASELINE_COMPARISON.csv,reference\upstream_snapshots\s2_feasibility\BASELINE_COMPARISON.csv,frozen evidence snapshot
s2_feasibility,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_ipmsm_feasibility_control_iter01\FEASIBILITY_CONTROL_DECISION.md,FEASIBILITY_CONTROL_DECISION.md,732,2026-07-13T11:14:36.000,580d82c66bca64767ee515b12f1ec8f72dbb263fa9b2c3c1d6e5fab12106da5f,1,1,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_model_error_decomposition_iter01\reference\upstream_snapshots\s2_feasibility\FEASIBILITY_CONTROL_DECISION.md,reference\upstream_snapshots\s2_feasibility\FEASIBILITY_CONTROL_DECISION.md,frozen evidence snapshot
s2_feasibility,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_ipmsm_feasibility_control_iter01\FINAL_FEASIBILITY_CONTROL_REPORT.md,FINAL_FEASIBILITY_CONTROL_REPORT.md,2419,2026-07-13T11:14:36.000,7525efcb366c34e12f640af4b78815c976e8a0f5d8d10bacc07dabfb672bad0c,1,1,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_model_error_decomposition_iter01\reference\upstream_snapshots\s2_feasibility\FINAL_FEASIBILITY_CONTROL_REPORT.md,reference\upstream_snapshots\s2_feasibility\FINAL_FEASIBILITY_CONTROL_REPORT.md,frozen evidence snapshot
s2_feasibility,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_ipmsm_feasibility_control_iter01\NEGATIVE_ID_ADMISSION.csv,NEGATIVE_ID_ADMISSION.csv,15199,2026-07-13T11:07:28.000,17b05c394d7e838a87be92ff9b9a20d34a51990c6a768a12128b10f6af8d7112,1,1,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_model_error_decomposition_iter01\reference\upstream_snapshots\s2_feasibility\NEGATIVE_ID_ADMISSION.csv,reference\upstream_snapshots\s2_feasibility\NEGATIVE_ID_ADMISSION.csv,frozen evidence snapshot
s2_feasibility,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_ipmsm_feasibility_control_iter01\SIX_CONDITION_COMPARISON.csv,SIX_CONDITION_COMPARISON.csv,21727,2026-07-13T11:04:51.000,f684e21689226a50303e69c0111683da2624c49a20eb3e1a25271b8ce13306a8,1,1,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_model_error_decomposition_iter01\reference\upstream_snapshots\s2_feasibility\SIX_CONDITION_COMPARISON.csv,reference\upstream_snapshots\s2_feasibility\SIX_CONDITION_COMPARISON.csv,frozen evidence snapshot
sequence_decomposition,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_sequence_decomposition_iter01\HANDOFF.md,HANDOFF.md,7480,2026-07-15T13:10:52.000,80a6fdd7840d1e9d0c26bc73693f91a7a0020e2d0d50b488d504d3e8e2d18110,1,1,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_model_error_decomposition_iter01\reference\upstream_snapshots\sequence_decomposition\HANDOFF.md,reference\upstream_snapshots\sequence_decomposition\HANDOFF.md,frozen evidence snapshot
sequence_decomposition,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_sequence_decomposition_iter01\README.md,README.md,4449,2026-07-15T13:10:52.000,daaab6dc7d2242291dad698302872d2f0ea7e047076ca9a2fabb9f5409fa80e7,1,1,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_model_error_decomposition_iter01\reference\upstream_snapshots\sequence_decomposition\README.md,reference\upstream_snapshots\sequence_decomposition\README.md,frozen evidence snapshot
sequence_decomposition,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_sequence_decomposition_iter01\RUN_AND_REPRODUCE.md,RUN_AND_REPRODUCE.md,5310,2026-07-15T12:44:42.000,6706d9db6b59036524f9755d930c361b9147087ac52b24bc7ba2638235be0949,1,1,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_model_error_decomposition_iter01\reference\upstream_snapshots\sequence_decomposition\RUN_AND_REPRODUCE.md,reference\upstream_snapshots\sequence_decomposition\RUN_AND_REPRODUCE.md,frozen evidence snapshot
sequence_decomposition,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_sequence_decomposition_iter01\config\acceptance_thresholds.m,config\acceptance_thresholds.m,714,2026-07-13T11:37:22.000,bad30f48339e85a2c047ba3600b7238afe667b108210eb39b64ce4e61036f0e3,1,1,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_model_error_decomposition_iter01\config\acceptance_thresholds.m,config\acceptance_thresholds.m,runtime frozen configuration
sequence_decomposition,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_sequence_decomposition_iter01\config\base_parameters.m,config\base_parameters.m,477,2026-07-13T11:37:22.000,c605ab586d625adcd2c6c5a0db006c1a1be42717a465b3a857099413fee5e4bc,1,1,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_model_error_decomposition_iter01\config\base_parameters.m,config\base_parameters.m,runtime frozen configuration
sequence_decomposition,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_sequence_decomposition_iter01\config\control_scenario.m,config\control_scenario.m,787,2026-07-13T10:33:28.000,325482f030c78cd5328305e5c12c2d78b572c1cadd356788a3052844b191dc43,1,1,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_model_error_decomposition_iter01\config\control_scenario.m,config\control_scenario.m,runtime frozen configuration
sequence_decomposition,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_sequence_decomposition_iter01\config\implementation_assumptions.m,config\implementation_assumptions.m,2025,2026-07-13T11:41:41.000,ff97f107e57861483252a37be3e150c182767c82188bcdf2731a3df551e1a85f,1,1,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_model_error_decomposition_iter01\config\implementation_assumptions.m,config\implementation_assumptions.m,runtime frozen configuration
sequence_decomposition,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_sequence_decomposition_iter01\config\ipmsm_parameters.m,config\ipmsm_parameters.m,614,2026-07-13T10:33:28.000,410cfe82a3369486e85e7790930c1f1f75ecc997b2f681bd0d91d5dbbbeb39da,1,1,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_model_error_decomposition_iter01\config\ipmsm_parameters.m,config\ipmsm_parameters.m,runtime frozen configuration
sequence_decomposition,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_sequence_decomposition_iter01\config\sequence_parameters.m,config\sequence_parameters.m,554,2026-07-15T12:42:16.000,ba2f065e4c9c41de759a6aa0b9bca7ded357e8b469df5cec2f2cac2ec0fee4b7,1,1,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_model_error_decomposition_iter01\config\sequence_parameters.m,config\sequence_parameters.m,runtime frozen configuration
sequence_decomposition,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_sequence_decomposition_iter01\config\sequence_scenarios.m,config\sequence_scenarios.m,3357,2026-07-15T12:59:01.000,cb94bda6dd04d02cf5750f92d9dae81039470d4708674caf5db30091b3448546,1,1,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_model_error_decomposition_iter01\config\sequence_scenarios.m,config\sequence_scenarios.m,runtime frozen configuration
sequence_decomposition,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_sequence_decomposition_iter01\config\six_condition_matrix.m,config\six_condition_matrix.m,392,2026-07-13T10:33:28.000,e05100a644fde9a9b9ca8bd3553bdb04f60b5148888228eafceab2ade1746189,1,1,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_model_error_decomposition_iter01\config\six_condition_matrix.m,config\six_condition_matrix.m,runtime frozen configuration
sequence_decomposition,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_sequence_decomposition_iter01\docs\PREVIOUS_WORK_INVENTORY.md,docs\PREVIOUS_WORK_INVENTORY.md,5316,2026-07-15T12:45:54.000,2a3eb9d542aecf4bdc63f57311a41e68d400a34db81a9b02b47a8a3d0a6af865,1,1,C:\Users\catkin\Documents\baseline_zhou\zhou_icf_mpc_model_error_decomposition_iter01\reference\upstream_snapshots\sequence_decomposition\PREVIOUS_WORK_INVENTORY.md,reference\upstream_snapshots\sequence_decomposition\PREVIOUS_WORK_INVENTORY.md,frozen evidence snapshot
