case_id,method,freeze_reason_d,freeze_reason_q,sample_index,time_s,alpha_d,alpha_q,F_d,F_q,F_pred_d,F_pred_q,gate_exc_d,gate_exc_q,gate_s2,gate_decision,alpha_update_d,alpha_update_q,reset_event,u_hp_d,u_hp_q,y_hp_d,y_hp_q
C01_nominal_100rpm_10A,B2,startup_no_completed_command,startup_no_completed_command,1,0,1250,833.333333333333,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN
C01_nominal_100rpm_10A,B2,trusted_post_s2_execution,trusted_post_s2_execution,2,0.0001,1250,833.333333333333,0,0,0,0,0,0,1,0,0,0,0,NaN,NaN,NaN,NaN
C01_nominal_100rpm_10A,B2,not_slow_tick,not_slow_tick,3,0.0002,1250,833.333333333333,-6.69790769152082,-704.083456487751,-6.69790769152082,-704.083456487751,0,0,1,0,0,0,0,-0.0202524012450623,-3.2232101443422,-50.6573782567286,-2675.36923324613
C01_nominal_100rpm_10A,B2,not_slow_tick,not_slow_tick,4,0.0003,1250,833.333333333333,-24.7808475826962,-1226.44268305467,-24.7808475826962,-1226.44268305467,0,0,1,0,0,0,0,-0.0192397811828092,-3.06204963712509,-97.7506440095242,-2519.92798154804
C01_nominal_100rpm_10A,B2,not_slow_tick,not_slow_tick,5,0.0004,1250,833.333333333333,-31.9519238074833,-1615.57772112026,-31.9519238074833,-1615.57772112026,0,0,1,0,0,0,0,-2.30343649614083,4.23430153608765,-2925.02520279484,3568.78631139293
C01_nominal_100rpm_10A,B2,not_slow_tick,not_slow_tick,6,0.0005,1250,833.333333333333,-29.9808904112449,-1915.86900719899,-29.9808904112449,-1915.86900719899,0,0,1,1,0,0,0,4.82521813726201,1.95334427979593,6016.007062236,1633.90648430493
C01_nominal_100rpm_10A,B2,not_slow_tick,not_slow_tick,7,0.0006,1250,833.333333333333,-13.8263096133074,-2151.11685719859,-13.8263096133074,-2151.11685719859,0,0,1,0,0,0,0,-3.11362994857521,6.93594424394111,-3851.00730274057,5747.65547719472
C01_nominal_100rpm_10A,B2,not_slow_tick,not_slow_tick,8,0.0007,1250,833.333333333333,24.4582848127527,-2329.30641576141,24.4582848127527,-2329.30641576141,0,0,1,1,0,0,0,-1.38851322670323,1.45535418995094,-1597.22200350461,1175.44805180086
C01_nominal_100rpm_10A,B2,not_slow_tick,not_slow_tick,9,0.0008,1250,833.333333333333,60.6728157690915,-2461.67497037796,60.6728157690915,-2461.67497037796,0,0,1,1,0,0,0,-0.773365069042984,-0.418824219179891,-806.703659403206,-379.660199455776
C01_nominal_100rpm_10A,B2,not_slow_tick,not_slow_tick,10,0.0009,1250,833.333333333333,82.3827269155403,-2569.84308049823,82.3827269155403,-2569.84308049823,0,0,1,1,0,0,0,5.7868944317145,1.88284600342513,7364.90683182956,1506.14188242217
C01_nominal_100rpm_10A,B2,not_slow_tick,not_slow_tick,11,0.001,1250,833.333333333333,110.77965564377,-2663.67933519763,110.77965564377,-2663.67933519763,0,0,1,1,0,0,0,-2.62784313157833,6.59039137239867,-3114.04447949591,5383.94252524015
C01_nominal_100rpm_10A,B2,not_slow_tick,not_slow_tick,12,0.0011,1250,833.333333333333,158.129812374681,-2737.61725934372,158.129812374681,-2737.61725934372,0,0,1,0,0,0,0,-1.35150006027333,1.78556431386374,-1428.15426341149,1371.79170485374
C01_nominal_100rpm_10A,B2,not_slow_tick,not_slow_tick,13,0.0012,1250,833.333333333333,207.861966020765,-2794.54497879256,207.861966020765,-2794.54497879256,0,0,1,0,0,0,0,-1.21257065330707,1.72156785262882,-1213.51930812815,1318.66799823708
C01_nominal_100rpm_10A,B2,not_slow_tick,not_slow_tick,14,0.0013,1250,833.333333333333,257.145206991848,-2838.60187609988,257.145206991848,-2838.60187609988,0,0,1,0,0,0,0,-0.92911272227565,0.901206303125399,-828.766916965392,635.659758259953
C01_nominal_100rpm_10A,B2,not_slow_tick,not_slow_tick,15,0.0014,1250,833.333333333333,301.060491636097,-2872.12223044179,301.060491636097,-2872.12223044179,0,0,1,1,0,0,0,-0.601140321679174,-0.298489098158067,-409.011770633192,-360.134323932441
C01_nominal_100rpm_10A,B2,not_slow_tick,not_slow_tick,16,0.0015,1250,833.333333333333,338.097109763428,-2897.293667715,338.097109763428,-2897.293667715,0,0,1,1,0,0,0,-0.537429020852461,-0.181032216412873,-330.912738525342,-256.802370468518
C01_nominal_100rpm_10A,B2,not_slow_tick,not_slow_tick,17,0.0016,1250,833.333333333333,375.754299898285,-2926.07082653219,375.754299898285,-2926.07082653219,0,0,1,1,0,0,0,2.78109725624957,5.74315272459744,3837.74439182474,4647.70091593631
C01_nominal_100rpm_10A,B2,not_slow_tick,not_slow_tick,18,0.0017,1250,833.333333333333,417.140378620467,-2958.81107357126,417.140378620467,-2958.81107357126,0,0,1,0,0,0,0,-0.789541541663419,1.20218871626295,-593.678639382181,828.079190599482
C01_nominal_100rpm_10A,B2,not_slow_tick,not_slow_tick,19,0.0018,1250,833.333333333333,459.033835097229,-2986.26760307677,459.033835097229,-2986.26760307677,0,0,1,0,0,0,0,-0.683849690573213,1.19542759211949,-439.981429650796,820.107049401334
C01_nominal_100rpm_10A,B2,window_incomplete,window_incomplete,20,0.0019,1250,833.333333333333,501.094270651544,-3010.10879109653,501.094270651544,-3010.10879109653,0,0,1,0,0,0,0,-0.583126371716816,1.19556969700282,-294.385511110966,816.684195288007
C01_nominal_100rpm_10A,B2,not_slow_tick,not_slow_tick,21,0.002,1250,833.333333333333,542.939261528123,-3031.54663593069,542.939261528123,-3031.54663593069,0,0,1,0,0,0,0,-0.479738276764986,1.13697446584764,-147.737791096726,763.319605755858
C01_nominal_100rpm_10A,B2,not_slow_tick,not_slow_tick,22,0.0021,1250,833.333333333333,584.15802275213,-3051.44725949421,584.15802275213,-3051.44725949421,0,1,1,0,0,0,0,-0.382211746781957,1.08669725042894,-11.0533127079398,716.105370265507
C01_nominal_100rpm_10A,B2,not_slow_tick,not_slow_tick,23,0.0022,1250,833.333333333333,624.464693908024,-3070.46124529298,624.464693908024,-3070.46124529298,0,1,1,0,0,0,0,-0.289922885080647,1.04310247486063,116.664076784203,673.71380533386
