case_id,method,pending_command_id,selected_core_id,selected_final_id,sample_index,time_s,Jd_pred,Jq_pred,Jd_actual,Jq_actual,false_safe,false_alarm,mode,selected_core,selected_final,S2_triggered
C01_nominal_100rpm_10A,B2,0;3;2;3;0|4.3966671045284219e-05;3.9135741444541633e-06;4.2395096205232372e-06;3.9135741444541633e-06;4.3966671045284219e-05,0|0.0001,0|0.0001,1,0,7.10110381217108e-06,0.0799406250737953,6.74469324216363e-10,0.0793261316919461,0,0,1,1,1,0
C01_nominal_100rpm_10A,B2,0|0.0001,0|0.0001,0|0.0001,2,0.0001,7.03943059786818e-06,0.0400062276700572,6.28680462770668e-05,0.579122502884407,1,0,1,1,1,0
C01_nominal_100rpm_10A,B2,0|0.0001,0;3;0|3.7664698229114816e-05;2.4670603541770369e-05;3.7664698229114816e-05,0;3;0|3.7664698229114816e-05;2.4670603541770369e-05;3.7664698229114816e-05,3,0.0002,0.0912307766387215,0.0383630512417611,0.0985672581364319,0.375399462406167,1,0,2,2,2,0
C01_nominal_100rpm_10A,B2,0;3;0|3.7664698229114816e-05;2.4670603541770369e-05;3.7664698229114816e-05,0;2;0|3.8592757992845735e-05;2.2814484014308527e-05;3.8592757992845735e-05,0;2;0|3.8592757992845735e-05;2.2814484014308527e-05;3.8592757992845735e-05,4,0.0003,0.095224100400907,0.111957475284596,0.09350562827859,0.421570367914352,1,0,2,2,2,0
C01_nominal_100rpm_10A,B2,0;2;0|3.8592757992845735e-05;2.2814484014308527e-05;3.8592757992845735e-05,0;3;0|3.2599508356957946e-05;3.4800983286084119e-05;3.2599508356957946e-05,0;3;0|3.2599508356957946e-05;3.4800983286084119e-05;3.2599508356957946e-05,5,0.0004,0.00790129261773461,1.10933564796705e-31,0.0066327776029285,0.0596555140418674,0,0,2,2,2,0
C01_nominal_100rpm_10A,B2,0;3;0|3.2599508356957946e-05;3.4800983286084119e-05;3.2599508356957946e-05,0;3;0|4.142766282699172e-05;1.7144674346016565e-05;4.142766282699172e-05,0;3;0|4.142766282699172e-05;1.7144674346016565e-05;4.142766282699172e-05,6,0.0005,0.0756743225548393,0.0102696916048812,0.0633521523127066,0.0842388137212143,0,0,2,2,2,0
C01_nominal_100rpm_10A,B2,0;3;0|4.142766282699172e-05;1.7144674346016565e-05;4.142766282699172e-05,0;3;0|4.4522283375681839e-05;1.0955433248636334e-05;4.4522283375681839e-05,0;3;0|4.4522283375681839e-05;1.0955433248636334e-05;4.4522283375681839e-05,7,0.0006,0.144991342058759,0.123693258006257,0.120512551157125,0.243781877808761,1,0,2,2,2,0
C01_nominal_100rpm_10A,B2,0;3;0|4.4522283375681839e-05;1.0955433248636334e-05;4.4522283375681839e-05,0;2;0|3.701093227929799e-05;2.5978135441404028e-05;3.701093227929799e-05,0;2;0|3.701093227929799e-05;2.5978135441404028e-05;3.701093227929799e-05,8,0.0007,0.149407502751028,0.153105845999184,0.170836643878315,0.250739488605077,1,0,2,2,2,0
C01_nominal_100rpm_10A,B2,0;2;0|3.701093227929799e-05;2.5978135441404028e-05;3.701093227929799e-05,0;3;0|3.2581162324653568e-05;3.4837675350692869e-05;3.2581162324653568e-05,0;3;0|3.2581162324653568e-05;3.4837675350692869e-05;3.2581162324653568e-05,9,0.0008,0.00762101155466509,0,0.0119929071183921,0.00839395997574839,0,0,2,2,2,0
C01_nominal_100rpm_10A,B2,0;3;0|3.2581162324653568e-05;3.4837675350692869e-05;3.2581162324653568e-05,0;3;0|4.0177158543853642e-05;1.9645682912292724e-05;4.0177158543853642e-05,0;3;0|4.0177158543853642e-05;1.9645682912292724e-05;4.0177158543853642e-05,10,0.0009,0.0044044113547156,4.93038065763132e-32,0.00110404763441718,0.00585122448717467,0,0,2,2,2,0
C01_nominal_100rpm_10A,B2,0;3;0|4.0177158543853642e-05;1.9645682912292724e-05;4.0177158543853642e-05,0;3;0|4.01616176008651e-05;1.9676764798269812e-05;4.01616176008651e-05,0;3;0|4.01616176008651e-05;1.9676764798269812e-05;4.01616176008651e-05,11,0.001,0.0418030512026746,0,0.0258855937097389,0.00356887355638911,0,0,2,2,2,0
C01_nominal_100rpm_10A,B2,0;3;0|4.01616176008651e-05;1.9676764798269812e-05;4.01616176008651e-05,0;3;0|4.1418412046877489e-05;1.716317590624503e-05;4.1418412046877489e-05,0;3;0|4.1418412046877489e-05;1.716317590624503e-05;4.1418412046877489e-05,12,0.0011,0.089412280420634,0.00382609426654844,0.0647394539560347,0.0116514859465697,0,0,2,2,2,0
C01_nominal_100rpm_10A,B2,0;3;0|4.1418412046877489e-05;1.716317590624503e-05;4.1418412046877489e-05,0;3;0|4.3370814456668137e-05;1.3258371086663726e-05;4.3370814456668137e-05,0;3;0|4.3370814456668137e-05;1.3258371086663726e-05;4.3370814456668137e-05,13,0.0012,0.122761861240466,0.0493649787995237,0.0949663781261138,0.0663674977486109,0,0,2,2,2,0
C01_nominal_100rpm_10A,B2,0;3;0|4.3370814456668137e-05;1.3258371086663726e-05;4.3370814456668137e-05,0;3;0|4.3214609974219162e-05;1.3570780051561676e-05;4.3214609974219162e-05,0;3;0|4.3214609974219162e-05;1.3570780051561676e-05;4.3214609974219162e-05,14,0.0013,0.154132286207241,0.13800139900264,0.126611117419936,0.158654160090572,0,0,2,2,2,0
C01_nominal_100rpm_10A,B2,0;3;0|4.3214609974219162e-05;1.3570780051561676e-05;4.3214609974219162e-05,0;3;2;3;0|3.0539467218385434e-05;1.160954941602555e-05;1.5701966731178047e-05;1.160954941602555e-05;3.0539467218385434e-05,0;3;2;3;0|3.0539467218385434e-05;1.160954941602555e-05;1.5701966731178047e-05;1.160954941602555e-05;3.0539467218385434e-05,15,0.0014,4.67745018257608e-14,8.10344651937158e-13,0.00112771051943338,0.0005806886558464,0,0,3,3,3,0
C01_nominal_100rpm_10A,B2,0;3;2;3;0|3.0539467218385434e-05;1.160954941602555e-05;1.5701966731178047e-05;1.160954941602555e-05;3.0539467218385434e-05,0;3;0|4.0479938944797323e-05;1.9040122110405352e-05;4.0479938944797323e-05,0;3;0|4.0479938944797323e-05;1.9040122110405352e-05;4.0479938944797323e-05,16,0.0015,0.00344129963242439,0,0.000541938140367963,0.000755407537089143,0,0,2,2,2,0
C01_nominal_100rpm_10A,B2,0;3;0|4.0479938944797323e-05;1.9040122110405352e-05;4.0479938944797323e-05,0;3;0|4.0408245602963128e-05;1.9183508794073753e-05;4.0408245602963128e-05,0;3;0|4.0408245602963128e-05;1.9183508794073753e-05;4.0408245602963128e-05,17,0.0016,0.0109279684455458,0,0.00450059873534961,0.000748172129581284,0,0,2,2,2,0
C01_nominal_100rpm_10A,B2,0;3;0|4.0408245602963128e-05;1.9183508794073753e-05;4.0408245602963128e-05,0;3;0|4.0324404308518165e-05;1.9351191382963678e-05;4.0324404308518165e-05,0;3;0|4.0324404308518165e-05;1.9351191382963678e-05;4.0324404308518165e-05,18,0.0017,0.0184020475818509,0,0.00958112954978908,0.000541248125436946,0,0,2,2,2,0
C01_nominal_100rpm_10A,B2,0;3;0|4.0324404308518165e-05;1.9351191382963678e-05;4.0324404308518165e-05,0;3;0|4.0336461165913374e-05;1.9327077668173254e-05;4.0336461165913374e-05,0;3;0|4.0336461165913374e-05;1.9327077668173254e-05;4.0336461165913374e-05,19,0.0018,0.0232748576592071,0,0.0131773828893695,0.000420075027901589,0,0,2,2,2,0
C01_nominal_100rpm_10A,B2,0;3;0|4.0336461165913374e-05;1.9327077668173254e-05;4.0336461165913374e-05,0;3;0|4.0338057779771384e-05;1.9323884440457237e-05;4.0338057779771384e-05,0;3;0|4.0338057779771384e-05;1.9323884440457237e-05;4.0338057779771384e-05,20,0.0019,0.0241808868464859,0,0.0139457317527759,0.000348911460721226,0,0,2,2,2,0
C01_nominal_100rpm_10A,B2,0;3;0|4.0338057779771384e-05;1.9323884440457237e-05;4.0338057779771384e-05,0;3;0|4.033124638353451e-05;1.9337507232930986e-05;4.033124638353451e-05,0;3;0|4.033124638353451e-05;1.9337507232930986e-05;4.033124638353451e-05,21,0.002,0.0209489733948228,0,0.0116651994345004,0.000308209839036383,0,0,2,2,2,0
C01_nominal_100rpm_10A,B2,0;3;0|4.033124638353451e-05;1.9337507232930986e-05;4.033124638353451e-05,0;3;0|4.0317673182819723e-05;1.9364653634360561e-05;4.0317673182819723e-05,0;3;0|4.0317673182819723e-05;1.9364653634360561e-05;4.0317673182819723e-05,22,0.0021,0.0145323377821967,0,0.00717717684599118,0.000287408156827147,0,0,2,2,2,0
C01_nominal_100rpm_10A,B2,0;3;0|4.0317673182819723e-05;1.9364653634360561e-05;4.0317673182819723e-05,0;3;0|4.0298152141146238e-05;1.9403695717707535e-05;4.0298152141146238e-05,0;3;0|4.0298152141146238e-05;1.9403695717707535e-05;4.0298152141146238e-05,23,0.0022,0.00691652688893592,0,0.00234134411115601,0.00028024338281862,0,0,2,2,2,0
C01_nominal_100rpm_10A,B2,0;3;0|4.0298152141146238e-05;1.9403695717707535e-05;4.0298152141146238e-05,0;3;0|4.0273297560498484e-05;1.9453404879003037e-05;4.0273297560498484e-05,0;3;0|4.0273297560498484e-05;1.9453404879003037e-05;4.0273297560498484e-05,24,0.0023,0.00107370206419449,0,7.25846091111232e-07,0.000282907105884947,0,0,2,2,2,0
C01_nominal_100rpm_10A,B2,0;3;0|4.0273297560498484e-05;1.9453404879003037e-05;4.0273297560498484e-05,0;3;0|4.0243571149141654e-05;1.9512857701716693e-05;4.0243571149141654e-05,0;3;0|4.0243571149141654e-05;1.9512857701716693e-05;4.0243571149141654e-05,25,0.0024,0.000929911759837484,0,0.00395440699858656,0.000293007830779895,0,0,2,2,2,0
C01_nominal_100rpm_10A,B2,0;3;0|4.0243571149141654e-05;1.9512857701716693e-05;4.0243571149141654e-05,0;3;0|4.0209316741484448e-05;1.9581366517031112e-05;4.0209316741484448e-05,0;3;0|4.0209316741484448e-05;1.9581366517031112e-05;4.0209316741484448e-05,26,0.0025,0.0113414190843279,0,0.0189363001162588,0.000308984358186963,0,0,2,2,2,0
C01_nominal_100rpm_10A,B2,0;3;0|4.0209316741484448e-05;1.9581366517031112e-05;4.0209316741484448e-05,0;3;0|4.0170788631777358e-05;1.9658422736445283e-05;4.0170788631777358e-05,0;3;0|4.0170788631777358e-05;1.9658422736445283e-05;4.0170788631777358e-05,27,0.0026,0.0380778065378181,0,0.0505989406963431,0.000329774565439927,0,0,2,2,2,0
C01_nominal_100rpm_10A,B2,0;3;0|4.0170788631777358e-05;1.9658422736445283e-05;4.0170788631777358e-05,0;3;0|4.0128172788915289e-05;1.9743654422169423e-05;4.0128172788915289e-05,0;3;0|4.0128172788915289e-05;1.9743654422169423e-05;4.0128172788915289e-05,28,0.0027,0.0878103763514611,0,0.105501667986773,0.000354626739482195,0,0,2,2,2,0
C01_nominal_100rpm_10A,B2,0;3;0|4.0128172788915289e-05;1.9743654422169423e-05;4.0128172788915289e-05,0;3;0|4.7487554728728069e-05;5.0248905425438686e-06;4.7487554728728069e-05,0;3;0|4.7487554728728069e-05;5.0248905425438686e-06;4.7487554728728069e-05,29,0.0028,0.159895838643726,0.155966779742718,0.179245367747331,0.170465645949897,1,0,2,2,2,0
C01_nominal_100rpm_10A,B2,0;3;0|4.7487554728728069e-05;5.0248905425438686e-06;4.7487554728728069e-05,0;3;4;3;0|2.8903544536601741e-05;1.3254257421394631e-05;1.5684396084007262e-05;1.3254257421394631e-05;2.8903544536601741e-05,0;3;4;3;0|2.8903544536601741e-05;1.3254257421394631e-05;1.5684396084007262e-05;1.3254257421394631e-05;2.8903544536601741e-05,30,0.0029,2.70478485165741e-15,1.36426352661257e-12,0.000476982386914617,0.000220642318516658,0,0,3,3,3,0
C01_nominal_100rpm_10A,B2,0;3;4;3;0|2.8903544536601741e-05;1.3254257421394631e-05;1.5684396084007262e-05;1.3254257421394631e-05;2.8903544536601741e-05,0;3;0|4.0022566396177508e-05;1.9954867207644995e-05;4.0022566396177508e-05,0;3;0|4.0022566396177508e-05;1.9954867207644995e-05;4.0022566396177508e-05,31,0.003,0.0176565500584584,0,0.0273524691370323,0.000186699670670957,0,0,2,2,2,0
C01_nominal_100rpm_10A,B2,0;3;0|4.0022566396177508e-05;1.9954867207644995e-05;4.0022566396177508e-05,0;3;0|4.0024531989400281e-05;1.995093602119944e-05;4.0024531989400281e-05,0;3;0|4.0024531989400281e-05;1.995093602119944e-05;4.0024531989400281e-05,32,0.0031,0.0802243856122742,0,0.102985927222528,0.00024797036214605,0,0,2,2,2,0
C01_nominal_100rpm_10A,B2,0;3;0|4.0024531989400281e-05;1.995093602119944e-05;4.0024531989400281e-05,0;4;0|4.1714225285933105e-05;1.6571549428133792e-05;4.1714225285933105e-05,0;4;0|4.1714225285933105e-05;1.6571549428133792e-05;4.1714225285933105e-05,33,0.0032,0.0220333480087901,0.0826406287310243,0.0132250881836685,0.0912644970479625,0,0,2,2,2,0
C01_nominal_100rpm_10A,B2,0;4;0|4.1714225285933105e-05;1.6571549428133792e-05;4.1714225285933105e-05,0;3;0|3.448877035089676e-05;3.1022459298206478e-05;3.448877035089676e-05,0;3;0|3.448877035089676e-05;3.1022459298206478e-05;3.448877035089676e-05,34,0.0033,0.00492080447972325,0,0.0107666155678842,0.000115759309551796,0,0,2,2,2,0
C01_nominal_100rpm_10A,B2,0;3;0|3.448877035089676e-05;3.1022459298206478e-05;3.448877035089676e-05,0;3;0|3.9924119480613465e-05;2.0151761038773075e-05;3.9924119480613465e-05,0;3;0|3.9924119480613465e-05;2.0151761038773075e-05;3.9924119480613465e-05,35,0.0034,0.0708901754223289,0,0.0911291118431276,0.00018102476506377,0,0,2,2,2,0
C01_nominal_100rpm_10A,B2,0;3;0|3.9924119480613465e-05;2.0151761038773075e-05;3.9924119480613465e-05,0;4;0|4.1705242346954023e-05;1.6589515306091963e-05;4.1705242346954023e-05,0;4;0|4.1705242346954023e-05;1.6589515306091963e-05;4.1705242346954023e-05,36,0.0035,0.0204140953206449,0.075827079963376,0.0118357578543558,0.0844811345565153,0,0,2,2,2,0
C01_nominal_100rpm_10A,B2,0;4;0|4.1705242346954023e-05;1.6589515306091963e-05;4.1705242346954023e-05,0;3;0|3.457326360177643e-05;3.0853472796447139e-05;3.457326360177643e-05,0;3;0|3.457326360177643e-05;3.0853472796447139e-05;3.457326360177643e-05,37,0.0036,0.0178351666371891,0,0.0277952072884954,0.000143593830707157,0,0,2,2,2,0
C01_nominal_100rpm_10A,B2,0;3;0|3.457326360177643e-05;3.0853472796447139e-05;3.457326360177643e-05,0;3;0|4.2260146886350487e-05;1.5479706227299025e-05;4.2260146886350487e-05,0;3;0|4.2260146886350487e-05;1.5479706227299025e-05;4.2260146886350487e-05,38,0.0037,0.120493934353093,0.0171071758142607,0.144378663552139,0.0211150290468604,0,0,2,2,2,0
C01_nominal_100rpm_10A,B2,0;3;0|4.2260146886350487e-05;1.5479706227299025e-05;4.2260146886350487e-05,0;4;0|3.8838106112393967e-05;2.2323787775212067e-05;3.8838106112393967e-05,0;4;0|3.8838106112393967e-05;2.2323787775212067e-05;3.8838106112393967e-05,39,0.0038,0.0468613825386845,0.0922872410112684,0.0346358919923111,0.101655559488162,0,0,2,2,2,0
C01_nominal_100rpm_10A,B2,0;4;0|3.8838106112393967e-05;2.2323787775212067e-05;3.8838106112393967e-05,0;3;0|3.3922826744812223e-05;3.2154346510375553e-05;3.3922826744812223e-05,0;3;0|3.3922826744812223e-05;3.2154346510375553e-05;3.3922826744812223e-05,40,0.0039,0.0143270540930054,0,0.0240559765935446,0.000207379221516369,0,0,2,2,2,0
C01_nominal_100rpm_10A,B2,0;3;0|3.3922826744812223e-05;3.2154346510375553e-05;3.3922826744812223e-05,0;3;0|4.367274099829896e-05;1.2654518003402089e-05;4.367274099829896e-05,0;3;0|4.367274099829896e-05;1.2654518003402089e-05;4.367274099829896e-05,41,0.004,0.123967468932166,0.0448673309327402,0.146763918039634,0.052315495187292,0,0,2,2,2,0
C01_nominal_100rpm_10A,B2,0;3;0|4.367274099829896e-05;1.2654518003402089e-05;4.367274099829896e-05,0;4;0|3.7439431381099135e-05;2.5121137237801739e-05;3.7439431381099135e-05,0;4;0|3.7439431381099135e-05;2.5121137237801739e-05;3.7439431381099135e-05,42,0.0041,0.0722335079837478,0.106143060015261,0.055868063784765,0.116112274484188,0,0,2,2,2,0
