case_id,method,pending_command_id,selected_core_id,selected_final_id,sample_index,time_s,Jd_pred,Jq_pred,Jd_actual,Jq_actual,false_safe,false_alarm,mode,selected_core,selected_final,S2_triggered
C01_nominal_100rpm_10A,B0,0;3;2;3;0|4.3966671045284219e-05;3.9135741444541633e-06;4.2395096205232372e-06;3.9135741444541633e-06;4.3966671045284219e-05,0|0.0001,0|0.0001,1,0,7.10110381217108e-06,0.0799469662867261,6.74469324216363e-10,0.0793261316919461,0,0,1,1,1,0
C01_nominal_100rpm_10A,B0,0|0.0001,0;3;0|3.8439744229029196e-05;2.3120511541941607e-05;3.8439744229029196e-05,0;3;0|3.8439744229029196e-05;2.3120511541941607e-05;3.8439744229029196e-05,2,0.0001,0.0842058134811371,0.0326455659255523,0.0861573191347731,0.0314337896866343,0,0,2,2,2,0
C01_nominal_100rpm_10A,B0,0;3;0|3.8439744229029196e-05;2.3120511541941607e-05;3.8439744229029196e-05,0;2;0|4.0235640897447726e-05;1.952871820510455e-05;4.0235640897447726e-05,0;2;0|4.0235640897447726e-05;1.952871820510455e-05;4.0235640897447726e-05,3,0.0002,0.0537776512933031,0.076545606101421,0.0545493434212305,0.075607492125838,0,0,2,2,2,0
C01_nominal_100rpm_10A,B0,0;2;0|4.0235640897447726e-05;1.952871820510455e-05;4.0235640897447726e-05,0;3;0|3.5168943583526011e-05;2.966211283294798e-05;3.5168943583526011e-05,0;3;0|3.5168943583526011e-05;2.966211283294798e-05;3.5168943583526011e-05,4,0.0003,0.0136802853815484,1.23259516440783e-32,0.0115918540121598,2.25571968280419e-05,0,0,2,2,2,0
C01_nominal_100rpm_10A,B0,0;3;0|3.5168943583526011e-05;2.966211283294798e-05;3.5168943583526011e-05,0;3;0|4.2854851731178269e-05;1.4290296537643465e-05;4.2854851731178269e-05,0;3;0|4.2854851731178269e-05;1.4290296537643465e-05;4.2854851731178269e-05,5,0.0004,0.0760174904498385,0.0136053228037828,0.0644931942518249,0.0156948001700812,0,0,2,2,2,0
C01_nominal_100rpm_10A,B0,0;3;0|4.2854851731178269e-05;1.4290296537643465e-05;4.2854851731178269e-05,0;3;0|4.4940787430983821e-05;1.0118425138032368e-05;4.4940787430983821e-05,0;3;0|4.4940787430983821e-05;1.0118425138032368e-05;4.4940787430983821e-05,6,0.0005,0.141669728950605,0.118026226230602,0.120122435506302,0.123111138517012,0,0,2,2,2,0
C01_nominal_100rpm_10A,B0,0;3;0|4.4940787430983821e-05;1.0118425138032368e-05;4.4940787430983821e-05,0;2;0|3.7586026658704401e-05;2.4827946682591203e-05;3.7586026658704401e-05,0;2;0|3.7586026658704401e-05;2.4827946682591203e-05;3.7586026658704401e-05,7,0.0006,0.120687634984605,0.133301999558148,0.137755528834697,0.138834305865812,0,0,2,2,2,0
C01_nominal_100rpm_10A,B0,0;2;0|3.7586026658704401e-05;2.4827946682591203e-05;3.7586026658704401e-05,0;3;0|3.3499172891182272e-05;3.300165421763546e-05;3.3499172891182272e-05,0;3;0|3.3499172891182272e-05;3.300165421763546e-05;3.3499172891182272e-05,8,0.0007,0.00245771331325394,0,0.0044839972123476,0.000159237449596336,0,0,2,2,2,0
C01_nominal_100rpm_10A,B0,0;3;0|3.3499172891182272e-05;3.300165421763546e-05;3.3499172891182272e-05,0;3;0|4.0531914349669352e-05;1.8936171300661298e-05;4.0531914349669352e-05,0;3;0|4.0531914349669352e-05;1.8936171300661298e-05;4.0531914349669352e-05,9,0.0008,0.0109262705719192,0,0.00651681975995807,0.00025501783369329,0,0,2,2,2,0
C01_nominal_100rpm_10A,B0,0;3;0|4.0531914349669352e-05;1.8936171300661298e-05;4.0531914349669352e-05,0;3;0|4.0462596572733379e-05;1.9074806854533243e-05;4.0462596572733379e-05,0;3;0|4.0462596572733379e-05;1.9074806854533243e-05;4.0462596572733379e-05,10,0.0009,0.0615716436395899,0,0.0461934321198642,0.000215661351577725,0,0,2,2,2,0
C01_nominal_100rpm_10A,B0,0;3;0|4.0462596572733379e-05;1.9074806854533243e-05;4.0462596572733379e-05,0;3;0|4.3468472204123904e-05;1.3063055591752202e-05;4.3468472204123904e-05,0;3;0|4.3468472204123904e-05;1.3063055591752202e-05;4.3468472204123904e-05,11,0.001,0.104287170910618,0.0249232885330381,0.0819656561326453,0.0285557165296161,0,0,2,2,2,0
C01_nominal_100rpm_10A,B0,0;3;0|4.3468472204123904e-05;1.3063055591752202e-05;4.3468472204123904e-05,0;3;0|4.3742993735079856e-05;1.2514012529840288e-05;4.3742993735079856e-05,0;3;0|4.3742993735079856e-05;1.2514012529840288e-05;4.3742993735079856e-05,12,0.0011,0.143796068379925,0.10914066037192,0.119321851339284,0.113250010526829,0,0,2,2,2,0
C01_nominal_100rpm_10A,B0,0;3;0|4.3742993735079856e-05;1.2514012529840288e-05;4.3742993735079856e-05,0;3;2;3;0|3.1478556876737729e-05;1.0538590681878772e-05;1.5965704882767e-05;1.0538590681878772e-05;3.1478556876737729e-05,0;3;2;3;0|3.1478556876737729e-05;1.0538590681878772e-05;1.5965704882767e-05;1.0538590681878772e-05;3.1478556876737729e-05,13,0.0012,4.57275452850131e-14,5.87093552363789e-13,0.000769738234569726,3.15104642695366e-05,0,0,3,3,3,0
